Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,col,row,Material,ng RNA,IFI44L Copies,EMRI Copies,WellName,MasterMix,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
JG073N,1,FAM,-inf,False,A1,0.0,FAM,JG073N_001,UNKNOWN,,13.207853,0,0,0,RNA,100,8.035439548834928,6.049177958632402,A1,TaqMan Fast Virus,40,0.44060765227149273,0.7859682440757751,-0.23927209784508113
JG073N,2,FAM,-inf,False,A2,0.0,FAM,JG073N_002,UNKNOWN,,13.239576,2,1,0,RNA,100,8.035439548834928,5.663911998866674,A2,TaqMan Fast Virus,40,0.4046128768247446,0.7284495830535889,-0.2855890680402596
JG073N,3,FAM,-inf,False,A3,0.0,FAM,JG073N_003,UNKNOWN,,14.053524,4,2,0,RNA,100,8.035439548834928,5.278646039100947,A3,TaqMan Fast Virus,40,0.3536470756623208,0.6212586164474487,-0.39878360028449344
JG073N,4,FAM,-inf,False,A4,0.0,FAM,JG073N_004,UNKNOWN,,14.407451,6,3,0,RNA,100,8.035439548834928,4.89338007933522,A4,TaqMan Fast Virus,40,0.28334431990961045,0.501017689704895,-0.5291504167095822
JG073N,5,FAM,-inf,False,A5,0.0,FAM,JG073N_005,UNKNOWN,,16.077196,8,4,0,RNA,100,8.035439548834928,4.508114119569492,A5,TaqMan Fast Virus,40,0.20963378362175822,0.29165342450141907,-0.6917674318617819
JG073N,6,FAM,-inf,False,A6,0.0,FAM,JG073N_006,UNKNOWN,,16.034868,10,5,0,RNA,100,8.035439548834928,4.122848159803764,A6,TaqMan Fast Virus,40,0.17618989509509184,0.23273058235645294,-0.7292029147464505
JG073N,7,FAM,-inf,False,A7,0.0,FAM,JG073N_007,UNKNOWN,,63.24934,12,6,0,RNA,100,8.035439548834928,3.7375822000380374,A7,TaqMan Fast Virus,40,0.11590732066668445,0.013784760609269142,-0.8540982102309577
JG073N,8,FAM,-inf,False,A8,0.0,FAM,JG073N_008,UNKNOWN,,60.312195,14,7,0,RNA,100,8.035439548834928,,A8,TaqMan Fast Virus,40,0.06770704558060525,-0.00010171390022151172,-0.9322929544193947
JG073N,9,FAM,-inf,False,A9,0.0,FAM,JG073N_009,UNKNOWN,,18.24689,16,8,0,RNA,10,6.926774234491026,4.904823622694598,A9,TaqMan Fast Virus,40,0.15921829299657772,0.30502423644065857,-0.6769227357221975
JG073N,10,FAM,-inf,False,A10,0.0,FAM,JG073N_010,UNKNOWN,,19.149607,18,9,0,RNA,10,6.926774234491026,4.51955766292887,A10,TaqMan Fast Virus,40,0.1192183448167903,0.21458062529563904,-0.7479313566502107
JG073N,11,FAM,-inf,False,A11,0.0,FAM,JG073N_011,UNKNOWN,,70.29238,20,10,0,RNA,10,6.926774234491026,4.134291703163142,A11,TaqMan Fast Virus,40,0.0540284640092127,0.009245793335139751,-0.8591532593381302
JG073N,12,FAM,-inf,False,A12,0.0,FAM,JG073N_012,UNKNOWN,,73.42533,22,11,0,RNA,10,6.926774234491026,3.7490257433974143,A12,TaqMan Fast Virus,40,0.043256154593129606,0.008511675521731377,-0.8810051605239211
JG073N,13,FAM,-inf,False,A13,0.0,FAM,JG073N_013,UNKNOWN,,65.40773,24,12,0,RNA,10,6.926774234491026,3.3637597836316866,A13,TaqMan Fast Virus,40,0.024435008215505465,-0.002469372469931841,-0.9125438323141609
