Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
1,TET_Z_IBFQ,8,1,A1,JG076A_001,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,TET,IBFQ,Z
2,TET_Z_IBFQ,8,2,A2,JG076A_002,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,TET,IBFQ,Z
3,TET_Z_IBFQ,8,3,A3,JG076A_003,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,TET,IBFQ,Z
4,TET_Z_IBFQ,8,4,A4,JG076A_004,TaqMan Fast Advanced,S056.1.4,FP001-RP001x,TET,IBFQ,Z
5,TET_Z_IBFQ,8,5,A5,JG076A_005,TaqMan Fast Advanced,S056.1.5,FP001-RP001x,TET,IBFQ,Z
6,TET_Z_IBFQ,8,6,A6,JG076A_006,TaqMan Fast Advanced,S056.1.6,FP001-RP001x,TET,IBFQ,Z
8,TET_Z_IBFQ,8,7,A7,JG076A_007,TaqMan Fast Advanced,S056.1.8,FP001-RP001x,TET,IBFQ,Z
9,TET_Z_IBFQ,8,8,A8,JG076A_008,TaqMan Fast Advanced,S056.1.9,FP001-RP001x,TET,IBFQ,Z
1,TET_BHQ1,8,9,A9,JG076A_009,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,TET,BHQ1,None
2,TET_BHQ1,8,10,A10,JG076A_010,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,TET,BHQ1,None
3,TET_BHQ1,8,11,A11,JG076A_011,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,TET,BHQ1,None
4,TET_BHQ1,8,12,A12,JG076A_012,TaqMan Fast Advanced,S056.1.4,FP001-RP001x,TET,BHQ1,None
5,TET_BHQ1,8,13,A13,JG076A_013,TaqMan Fast Advanced,S056.1.5,FP001-RP001x,TET,BHQ1,None
6,TET_BHQ1,8,14,A14,JG076A_014,TaqMan Fast Advanced,S056.1.6,FP001-RP001x,TET,BHQ1,None
8,TET_BHQ1,8,15,A15,JG076A_015,TaqMan Fast Advanced,S056.1.8,FP001-RP001x,TET,BHQ1,None
9,TET_BHQ1,8,16,A16,JG076A_016,TaqMan Fast Advanced,S056.1.9,FP001-RP001x,TET,BHQ1,None
1,SUN_Z_IBFQ,8,17,A17,JG076A_017,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,SUN,IBFQ,Z
2,SUN_Z_IBFQ,8,18,A18,JG076A_018,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,SUN,IBFQ,Z
3,SUN_Z_IBFQ,8,19,A19,JG076A_019,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,SUN,IBFQ,Z
4,SUN_Z_IBFQ,8,20,A20,JG076A_020,TaqMan Fast Advanced,S056.1.4,FP001-RP001x,SUN,IBFQ,Z
5,SUN_Z_IBFQ,8,21,A21,JG076A_021,TaqMan Fast Advanced,S056.1.5,FP001-RP001x,SUN,IBFQ,Z
6,SUN_Z_IBFQ,8,22,A22,JG076A_022,TaqMan Fast Advanced,S056.1.6,FP001-RP001x,SUN,IBFQ,Z
8,SUN_Z_IBFQ,8,23,A23,JG076A_023,TaqMan Fast Advanced,S056.1.8,FP001-RP001x,SUN,IBFQ,Z
9,SUN_Z_IBFQ,8,24,A24,JG076A_024,TaqMan Fast Advanced,S056.1.9,FP001-RP001x,SUN,IBFQ,Z
1,TET_Z_IBFQ,8,25,B1,JG076A_025,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,TET,IBFQ,Z
2,TET_Z_IBFQ,8,26,B2,JG076A_026,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,TET,IBFQ,Z
3,TET_Z_IBFQ,8,27,B3,JG076A_027,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,TET,IBFQ,Z
4,TET_Z_IBFQ,8,28,B4,JG076A_028,TaqMan Fast Advanced,S056.1.4,FP001-RP001x,TET,IBFQ,Z
5,TET_Z_IBFQ,8,29,B5,JG076A_029,TaqMan Fast Advanced,S056.1.5,FP001-RP001x,TET,IBFQ,Z
6,TET_Z_IBFQ,8,30,B6,JG076A_030,TaqMan Fast Advanced,S056.1.6,FP001-RP001x,TET,IBFQ,Z
8,TET_Z_IBFQ,8,31,B7,JG076A_031,TaqMan Fast Advanced,S056.1.8,FP001-RP001x,TET,IBFQ,Z
9,TET_Z_IBFQ,8,32,B8,JG076A_032,TaqMan Fast Advanced,S056.1.9,FP001-RP001x,TET,IBFQ,Z
1,TET_BHQ1,8,33,B9,JG076A_033,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,TET,BHQ1,None
2,TET_BHQ1,8,34,B10,JG076A_034,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,TET,BHQ1,None
3,TET_BHQ1,8,35,B11,JG076A_035,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,TET,BHQ1,None
4,TET_BHQ1,8,36,B12,JG076A_036,TaqMan Fast Advanced,S056.1.4,FP001-RP001x,TET,BHQ1,None
5,TET_BHQ1,8,37,B13,JG076A_037,TaqMan Fast Advanced,S056.1.5,FP001-RP001x,TET,BHQ1,None
6,TET_BHQ1,8,38,B14,JG076A_038,TaqMan Fast Advanced,S056.1.6,FP001-RP001x,TET,BHQ1,None
8,TET_BHQ1,8,39,B15,JG076A_039,TaqMan Fast Advanced,S056.1.8,FP001-RP001x,TET,BHQ1,None
9,TET_BHQ1,8,40,B16,JG076A_040,TaqMan Fast Advanced,S056.1.9,FP001-RP001x,TET,BHQ1,None
1,SUN_Z_IBFQ,8,41,B17,JG076A_041,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,SUN,IBFQ,Z
2,SUN_Z_IBFQ,8,42,B18,JG076A_042,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,SUN,IBFQ,Z
3,SUN_Z_IBFQ,8,43,B19,JG076A_043,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,SUN,IBFQ,Z
4,SUN_Z_IBFQ,8,44,B20,JG076A_044,TaqMan Fast Advanced,S056.1.4,FP001-RP001x,SUN,IBFQ,Z
5,SUN_Z_IBFQ,8,45,B21,JG076A_045,TaqMan Fast Advanced,S056.1.5,FP001-RP001x,SUN,IBFQ,Z
6,SUN_Z_IBFQ,8,46,B22,JG076A_046,TaqMan Fast Advanced,S056.1.6,FP001-RP001x,SUN,IBFQ,Z
8,SUN_Z_IBFQ,8,47,B23,JG076A_047,TaqMan Fast Advanced,S056.1.8,FP001-RP001x,SUN,IBFQ,Z
9,SUN_Z_IBFQ,8,48,B24,JG076A_048,TaqMan Fast Advanced,S056.1.9,FP001-RP001x,SUN,IBFQ,Z
1,TET_Z_IBFQ,6,49,C1,JG076A_049,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,TET,IBFQ,Z
2,TET_Z_IBFQ,6,50,C2,JG076A_050,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,TET,IBFQ,Z
3,TET_Z_IBFQ,6,51,C3,JG076A_051,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,TET,IBFQ,Z
4,TET_Z_IBFQ,6,52,C4,JG076A_052,TaqMan Fast Advanced,S056.1.4,FP001-RP001x,TET,IBFQ,Z
5,TET_Z_IBFQ,6,53,C5,JG076A_053,TaqMan Fast Advanced,S056.1.5,FP001-RP001x,TET,IBFQ,Z
6,TET_Z_IBFQ,6,54,C6,JG076A_054,TaqMan Fast Advanced,S056.1.6,FP001-RP001x,TET,IBFQ,Z
8,TET_Z_IBFQ,6,55,C7,JG076A_055,TaqMan Fast Advanced,S056.1.8,FP001-RP001x,TET,IBFQ,Z
9,TET_Z_IBFQ,6,56,C8,JG076A_056,TaqMan Fast Advanced,S056.1.9,FP001-RP001x,TET,IBFQ,Z
1,TET_BHQ1,6,57,C9,JG076A_057,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,TET,BHQ1,None
2,TET_BHQ1,6,58,C10,JG076A_058,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,TET,BHQ1,None
3,TET_BHQ1,6,59,C11,JG076A_059,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,TET,BHQ1,None
