Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
1,FAM_Z_IBFQ,8,1,A1,JG076B_001,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,FAM,IBFQ,Z
2,FAM_Z_IBFQ,8,2,A2,JG076B_002,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,FAM,IBFQ,Z
3,FAM_Z_IBFQ,8,3,A3,JG076B_003,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,FAM,IBFQ,Z
4,FAM_Z_IBFQ,8,4,A4,JG076B_004,TaqMan Fast Advanced,S056.1.4,FP001-RP001x,FAM,IBFQ,Z
5,FAM_Z_IBFQ,8,5,A5,JG076B_005,TaqMan Fast Advanced,S056.1.5,FP001-RP001x,FAM,IBFQ,Z
6,FAM_Z_IBFQ,8,6,A6,JG076B_006,TaqMan Fast Advanced,S056.1.6,FP001-RP001x,FAM,IBFQ,Z
8,FAM_Z_IBFQ,8,7,A7,JG076B_007,TaqMan Fast Advanced,S056.1.8,FP001-RP001x,FAM,IBFQ,Z
9,FAM_Z_IBFQ,8,8,A8,JG076B_008,TaqMan Fast Advanced,S056.1.9,FP001-RP001x,FAM,IBFQ,Z
1,FAM_BHQ1,8,9,A9,JG076B_009,TaqMan Fast Advanced,S056.1.1,FP001-RP001x,FAM,BHQ1,None
2,FAM_BHQ1,8,10,A10,JG076B_010,TaqMan Fast Advanced,S056.1.2,FP001-RP001x,FAM,BHQ1,None
3,FAM_BHQ1,8,11,A11,JG076B_011,TaqMan Fast Advanced,S056.1.3,FP001-RP001x,FAM,BHQ1,None
4,FAM_BHQ1,8,12,A12,JG076B_012,TaqMan Fast Advanced,S056.1.4,FP001-RP001x,FAM,BHQ1,None
5,FAM_BHQ1,8,13,A13,JG076B_013,TaqMan Fast Advanced,S056.1.5,FP001-RP001x,FAM,BHQ1,None
6,FAM_BHQ1,8,14,A14,JG076B_014,TaqMan Fast Advanced,S056.1.6,FP001-RP001x,FAM,BHQ1,None
