Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
1,FAM_Z_IBFQ,8,1,A1,JG076D_001,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,FAM,IBFQ,Z
2,FAM_Z_IBFQ,8,2,A2,JG076D_002,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,FAM,IBFQ,Z
3,FAM_Z_IBFQ,8,3,A3,JG076D_003,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,FAM,IBFQ,Z
5,FAM_Z_IBFQ,8,4,A4,JG076D_004,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,FAM,IBFQ,Z
6,FAM_Z_IBFQ,8,5,A5,JG076D_005,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,FAM,IBFQ,Z
7,FAM_Z_IBFQ,8,6,A6,JG076D_006,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,FAM,IBFQ,Z
8,FAM_Z_IBFQ,8,7,A7,JG076D_007,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,FAM,IBFQ,Z
9,FAM_Z_IBFQ,8,8,A8,JG076D_008,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,FAM,IBFQ,Z
1,FAM_BHQ1,8,9,A9,JG076D_009,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,FAM,BHQ1,None
2,FAM_BHQ1,8,10,A10,JG076D_010,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,FAM,BHQ1,None
3,FAM_BHQ1,8,11,A11,JG076D_011,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,FAM,BHQ1,None
5,FAM_BHQ1,8,12,A12,JG076D_012,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,FAM,BHQ1,None
6,FAM_BHQ1,8,13,A13,JG076D_013,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,FAM,BHQ1,None
7,FAM_BHQ1,8,14,A14,JG076D_014,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,FAM,BHQ1,None
8,FAM_BHQ1,8,15,A15,JG076D_015,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,FAM,BHQ1,None
9,FAM_BHQ1,8,16,A16,JG076D_016,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,FAM,BHQ1,None
1,FAM_TAM,8,17,A17,JG076D_017,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,FAM,TAM,None
2,FAM_TAM,8,18,A18,JG076D_018,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,FAM,TAM,None
3,FAM_TAM,8,19,A19,JG076D_019,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,FAM,TAM,None
5,FAM_TAM,8,20,A20,JG076D_020,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,FAM,TAM,None
6,FAM_TAM,8,21,A21,JG076D_021,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,FAM,TAM,None
7,FAM_TAM,8,22,A22,JG076D_022,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,FAM,TAM,None
8,FAM_TAM,8,23,A23,JG076D_023,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,FAM,TAM,None
9,FAM_TAM,8,24,A24,JG076D_024,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,FAM,TAM,None
1,FAM_Z_IBFQ,8,25,B1,JG076D_025,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,FAM,IBFQ,Z
2,FAM_Z_IBFQ,8,26,B2,JG076D_026,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,FAM,IBFQ,Z
3,FAM_Z_IBFQ,8,27,B3,JG076D_027,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,FAM,IBFQ,Z
5,FAM_Z_IBFQ,8,28,B4,JG076D_028,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,FAM,IBFQ,Z
6,FAM_Z_IBFQ,8,29,B5,JG076D_029,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,FAM,IBFQ,Z
7,FAM_Z_IBFQ,8,30,B6,JG076D_030,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,FAM,IBFQ,Z
8,FAM_Z_IBFQ,8,31,B7,JG076D_031,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,FAM,IBFQ,Z
9,FAM_Z_IBFQ,8,32,B8,JG076D_032,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,FAM,IBFQ,Z
1,FAM_BHQ1,8,33,B9,JG076D_033,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,FAM,BHQ1,None
2,FAM_BHQ1,8,34,B10,JG076D_034,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,FAM,BHQ1,None
3,FAM_BHQ1,8,35,B11,JG076D_035,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,FAM,BHQ1,None
5,FAM_BHQ1,8,36,B12,JG076D_036,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,FAM,BHQ1,None
6,FAM_BHQ1,8,37,B13,JG076D_037,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,FAM,BHQ1,None
7,FAM_BHQ1,8,38,B14,JG076D_038,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,FAM,BHQ1,None
8,FAM_BHQ1,8,39,B15,JG076D_039,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,FAM,BHQ1,None
9,FAM_BHQ1,8,40,B16,JG076D_040,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,FAM,BHQ1,None
1,FAM_TAM,8,41,B17,JG076D_041,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,FAM,TAM,None
2,FAM_TAM,8,42,B18,JG076D_042,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,FAM,TAM,None
3,FAM_TAM,8,43,B19,JG076D_043,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,FAM,TAM,None
5,FAM_TAM,8,44,B20,JG076D_044,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,FAM,TAM,None
6,FAM_TAM,8,45,B21,JG076D_045,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,FAM,TAM,None
7,FAM_TAM,8,46,B22,JG076D_046,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,FAM,TAM,None
8,FAM_TAM,8,47,B23,JG076D_047,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,FAM,TAM,None
9,FAM_TAM,8,48,B24,JG076D_048,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,FAM,TAM,None
1,FAM_Z_IBFQ,6,49,C1,JG076D_049,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,FAM,IBFQ,Z
2,FAM_Z_IBFQ,6,50,C2,JG076D_050,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,FAM,IBFQ,Z
3,FAM_Z_IBFQ,6,51,C3,JG076D_051,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,FAM,IBFQ,Z
