* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
1	S075_WT	JG075A_001	EVAGREEN	100000000	None	STANDARD
2	S075_WT	JG075A_002	EVAGREEN	100000000	None	STANDARD
3	S075_WT	JG075A_003	EVAGREEN	100000000	None	STANDARD
4	S075_WT	JG075A_004	EVAGREEN	100000000	None	STANDARD
5	S075_WT	JG075A_005	EVAGREEN	100000000	None	STANDARD
6	S075_WT	JG075A_006	EVAGREEN	100000000	None	STANDARD
7	S075_WT	JG075A_007	EVAGREEN	100000000	None	STANDARD
8	S075_WT	JG075A_008	EVAGREEN	100000000	None	STANDARD
9	S075_WT	JG075A_009	EVAGREEN	100000000	None	STANDARD
10	S075_WT	JG075A_010	EVAGREEN	100000000	None	STANDARD
11	S075_WT	JG075A_011	EVAGREEN	100000000	None	STANDARD
12	S075_WT	JG075A_012	EVAGREEN	100000000	None	STANDARD
13	S075_WT	JG075A_013	EVAGREEN	100000000	None	STANDARD
14	S075_WT	JG075A_014	EVAGREEN	100000000	None	STANDARD
15	S075_WT	JG075A_015	EVAGREEN	100000000	None	STANDARD
25	S075_WT	JG075A_025	EVAGREEN	10000000	None	STANDARD
26	S075_WT	JG075A_026	EVAGREEN	10000000	None	STANDARD
27	S075_WT	JG075A_027	EVAGREEN	10000000	None	STANDARD
28	S075_WT	JG075A_028	EVAGREEN	10000000	None	STANDARD
29	S075_WT	JG075A_029	EVAGREEN	10000000	None	STANDARD
30	S075_WT	JG075A_030	EVAGREEN	10000000	None	STANDARD
31	S075_WT	JG075A_031	EVAGREEN	10000000	None	STANDARD
32	S075_WT	JG075A_032	EVAGREEN	10000000	None	STANDARD
33	S075_WT	JG075A_033	EVAGREEN	10000000	None	STANDARD
34	S075_WT	JG075A_034	EVAGREEN	10000000	None	STANDARD
35	S075_WT	JG075A_035	EVAGREEN	10000000	None	STANDARD
36	S075_WT	JG075A_036	EVAGREEN	10000000	None	STANDARD
37	S075_WT	JG075A_037	EVAGREEN	10000000	None	STANDARD
38	S075_WT	JG075A_038	EVAGREEN	10000000	None	STANDARD
39	S075_WT	JG075A_039	EVAGREEN	10000000	None	STANDARD
49	S075_WT	JG075A_049	EVAGREEN	1000000	None	STANDARD
50	S075_WT	JG075A_050	EVAGREEN	1000000	None	STANDARD
51	S075_WT	JG075A_051	EVAGREEN	1000000	None	STANDARD
52	S075_WT	JG075A_052	EVAGREEN	1000000	None	STANDARD
53	S075_WT	JG075A_053	EVAGREEN	1000000	None	STANDARD
54	S075_WT	JG075A_054	EVAGREEN	1000000	None	STANDARD
55	S075_WT	JG075A_055	EVAGREEN	1000000	None	STANDARD
56	S075_WT	JG075A_056	EVAGREEN	1000000	None	STANDARD
57	S075_WT	JG075A_057	EVAGREEN	1000000	None	STANDARD
58	S075_WT	JG075A_058	EVAGREEN	1000000	None	STANDARD
59	S075_WT	JG075A_059	EVAGREEN	1000000	None	STANDARD
60	S075_WT	JG075A_060	EVAGREEN	1000000	None	STANDARD
61	S075_WT	JG075A_061	EVAGREEN	1000000	None	STANDARD
62	S075_WT	JG075A_062	EVAGREEN	1000000	None	STANDARD
63	S075_WT	JG075A_063	EVAGREEN	1000000	None	STANDARD
73	S075_WT	JG075A_073	EVAGREEN	100000	None	STANDARD
74	S075_WT	JG075A_074	EVAGREEN	100000	None	STANDARD
75	S075_WT	JG075A_075	EVAGREEN	100000	None	STANDARD
76	S075_WT	JG075A_076	EVAGREEN	100000	None	STANDARD
77	S075_WT	JG075A_077	EVAGREEN	100000	None	STANDARD
78	S075_WT	JG075A_078	EVAGREEN	100000	None	STANDARD
79	S075_WT	JG075A_079	EVAGREEN	100000	None	STANDARD
80	S075_WT	JG075A_080	EVAGREEN	100000	None	STANDARD
81	S075_WT	JG075A_081	EVAGREEN	100000	None	STANDARD
82	S075_WT	JG075A_082	EVAGREEN	100000	None	STANDARD
