Target,lg10_Copies,Blocker,Blocker μM,Configuration,Well,WellName,Sample
S075_WT,8,MMMMx,3.1622776601683795,2+2,1,A1,JG075C_001
S075_WT,8,MMMMx,1.7782794100389228,2+2,2,A2,JG075C_002
S075_WT,8,MMMMx,1.0,2+2,3,A3,JG075C_003
S075_WT,8,MMMMx,0.5623413251903491,2+2,4,A4,JG075C_004
S075_WT,8,MMMMx,0.31622776601683794,2+2,5,A5,JG075C_005
S075_WT,8,MMMMx,0.1778279410038923,2+2,6,A6,JG075C_006
S075_WT,8,MMMMx,0.1,2+2,7,A7,JG075C_007
S075_WT,8,MMMMx,0.0,2+2,8,A8,JG075C_008
S075_WT,8,MMMMx,3.1622776601683795,7+2,9,A9,JG075C_009
S075_WT,8,MMMMx,1.7782794100389228,7+2,10,A10,JG075C_010
S075_WT,8,MMMMx,1.0,7+2,11,A11,JG075C_011
S075_WT,8,MMMMx,0.5623413251903491,7+2,12,A12,JG075C_012
S075_WT,8,MMMMx,0.31622776601683794,7+2,13,A13,JG075C_013
S075_WT,8,MMMMx,0.1778279410038923,7+2,14,A14,JG075C_014
S075_WT,8,MMMMx,0.1,7+2,15,A15,JG075C_015
S075_WT,8,MMMMx,0.0,7+2,16,A16,JG075C_016
S075_WT,7,MMMMx,3.1622776601683795,2+2,25,B1,JG075C_025
S075_WT,7,MMMMx,1.7782794100389228,2+2,26,B2,JG075C_026
S075_WT,7,MMMMx,1.0,2+2,27,B3,JG075C_027
S075_WT,7,MMMMx,0.5623413251903491,2+2,28,B4,JG075C_028
S075_WT,7,MMMMx,0.31622776601683794,2+2,29,B5,JG075C_029
S075_WT,7,MMMMx,0.1778279410038923,2+2,30,B6,JG075C_030
S075_WT,7,MMMMx,0.1,2+2,31,B7,JG075C_031
S075_WT,7,MMMMx,0.0,2+2,32,B8,JG075C_032
S075_WT,7,MMMMx,3.1622776601683795,7+2,33,B9,JG075C_033
S075_WT,7,MMMMx,1.7782794100389228,7+2,34,B10,JG075C_034
S075_WT,7,MMMMx,1.0,7+2,35,B11,JG075C_035
S075_WT,7,MMMMx,0.5623413251903491,7+2,36,B12,JG075C_036
S075_WT,7,MMMMx,0.31622776601683794,7+2,37,B13,JG075C_037
S075_WT,7,MMMMx,0.1778279410038923,7+2,38,B14,JG075C_038
S075_WT,7,MMMMx,0.1,7+2,39,B15,JG075C_039
S075_WT,7,MMMMx,0.0,7+2,40,B16,JG075C_040
S075_WT,6,MMMMx,3.1622776601683795,2+2,49,C1,JG075C_049
S075_WT,6,MMMMx,1.7782794100389228,2+2,50,C2,JG075C_050
S075_WT,6,MMMMx,1.0,2+2,51,C3,JG075C_051
S075_WT,6,MMMMx,0.5623413251903491,2+2,52,C4,JG075C_052
S075_WT,6,MMMMx,0.31622776601683794,2+2,53,C5,JG075C_053
S075_WT,6,MMMMx,0.1778279410038923,2+2,54,C6,JG075C_054
S075_WT,6,MMMMx,0.1,2+2,55,C7,JG075C_055
S075_WT,6,MMMMx,0.0,2+2,56,C8,JG075C_056
S075_WT,6,MMMMx,3.1622776601683795,7+2,57,C9,JG075C_057
S075_WT,6,MMMMx,1.7782794100389228,7+2,58,C10,JG075C_058
S075_WT,6,MMMMx,1.0,7+2,59,C11,JG075C_059
S075_WT,6,MMMMx,0.5623413251903491,7+2,60,C12,JG075C_060
S075_WT,6,MMMMx,0.31622776601683794,7+2,61,C13,JG075C_061
S075_WT,6,MMMMx,0.1778279410038923,7+2,62,C14,JG075C_062
S075_WT,6,MMMMx,0.1,7+2,63,C15,JG075C_063
S075_WT,6,MMMMx,0.0,7+2,64,C16,JG075C_064
S075_WT,5,MMMMx,3.1622776601683795,2+2,73,D1,JG075C_073
S075_WT,5,MMMMx,1.7782794100389228,2+2,74,D2,JG075C_074
S075_WT,5,MMMMx,1.0,2+2,75,D3,JG075C_075
S075_WT,5,MMMMx,0.5623413251903491,2+2,76,D4,JG075C_076
S075_WT,5,MMMMx,0.31622776601683794,2+2,77,D5,JG075C_077
S075_WT,5,MMMMx,0.1778279410038923,2+2,78,D6,JG075C_078
S075_WT,5,MMMMx,0.1,2+2,79,D7,JG075C_079
S075_WT,5,MMMMx,0.0,2+2,80,D8,JG075C_080
S075_WT,5,MMMMx,3.1622776601683795,7+2,81,D9,JG075C_081
S075_WT,5,MMMMx,1.7782794100389228,7+2,82,D10,JG075C_082
S075_WT,5,MMMMx,1.0,7+2,83,D11,JG075C_083
S075_WT,5,MMMMx,0.5623413251903491,7+2,84,D12,JG075C_084
S075_WT,5,MMMMx,0.31622776601683794,7+2,85,D13,JG075C_085
S075_WT,5,MMMMx,0.1778279410038923,7+2,86,D14,JG075C_086
S075_WT,5,MMMMx,0.1,7+2,87,D15,JG075C_087
S075_WT,5,MMMMx,0.0,7+2,88,D16,JG075C_088
S075_WT,4,MMMMx,3.1622776601683795,2+2,97,E1,JG075C_097
S075_WT,4,MMMMx,1.7782794100389228,2+2,98,E2,JG075C_098
S075_WT,4,MMMMx,1.0,2+2,99,E3,JG075C_099
S075_WT,4,MMMMx,0.5623413251903491,2+2,100,E4,JG075C_100
S075_WT,4,MMMMx,0.31622776601683794,2+2,101,E5,JG075C_101
S075_WT,4,MMMMx,0.1778279410038923,2+2,102,E6,JG075C_102
S075_WT,4,MMMMx,0.1,2+2,103,E7,JG075C_103
S075_WT,4,MMMMx,0.0,2+2,104,E8,JG075C_104
S075_WT,4,MMMMx,3.1622776601683795,7+2,105,E9,JG075C_105
S075_WT,4,MMMMx,1.7782794100389228,7+2,106,E10,JG075C_106
S075_WT,4,MMMMx,1.0,7+2,107,E11,JG075C_107
S075_WT,4,MMMMx,0.5623413251903491,7+2,108,E12,JG075C_108
S075_WT,4,MMMMx,0.31622776601683794,7+2,109,E13,JG075C_109
S075_WT,4,MMMMx,0.1778279410038923,7+2,110,E14,JG075C_110
S075_WT,4,MMMMx,0.1,7+2,111,E15,JG075C_111
S075_WT,4,MMMMx,0.0,7+2,112,E16,JG075C_112
S075_WT,3,MMMMx,3.1622776601683795,2+2,121,F1,JG075C_121
S075_WT,3,MMMMx,1.7782794100389228,2+2,122,F2,JG075C_122
S075_WT,3,MMMMx,1.0,2+2,123,F3,JG075C_123
S075_WT,3,MMMMx,0.5623413251903491,2+2,124,F4,JG075C_124
S075_WT,3,MMMMx,0.31622776601683794,2+2,125,F5,JG075C_125
S075_WT,3,MMMMx,0.1778279410038923,2+2,126,F6,JG075C_126
S075_WT,3,MMMMx,0.1,2+2,127,F7,JG075C_127
S075_WT,3,MMMMx,0.0,2+2,128,F8,JG075C_128
S075_WT,3,MMMMx,3.1622776601683795,7+2,129,F9,JG075C_129
S075_WT,3,MMMMx,1.7782794100389228,7+2,130,F10,JG075C_130
S075_WT,3,MMMMx,1.0,7+2,131,F11,JG075C_131
S075_WT,3,MMMMx,0.5623413251903491,7+2,132,F12,JG075C_132
S075_WT,3,MMMMx,0.31622776601683794,7+2,133,F13,JG075C_133
S075_WT,3,MMMMx,0.1778279410038923,7+2,134,F14,JG075C_134
S075_WT,3,MMMMx,0.1,7+2,135,F15,JG075C_135
S075_WT,3,MMMMx,0.0,7+2,136,F16,JG075C_136
S075_WT,2,MMMMx,3.1622776601683795,2+2,145,G1,JG075C_145
S075_WT,2,MMMMx,1.7782794100389228,2+2,146,G2,JG075C_146
S075_WT,2,MMMMx,1.0,2+2,147,G3,JG075C_147
S075_WT,2,MMMMx,0.5623413251903491,2+2,148,G4,JG075C_148
S075_WT,2,MMMMx,0.31622776601683794,2+2,149,G5,JG075C_149
S075_WT,2,MMMMx,0.1778279410038923,2+2,150,G6,JG075C_150
S075_WT,2,MMMMx,0.1,2+2,151,G7,JG075C_151
S075_WT,2,MMMMx,0.0,2+2,152,G8,JG075C_152
S075_WT,2,MMMMx,3.1622776601683795,7+2,153,G9,JG075C_153
S075_WT,2,MMMMx,1.7782794100389228,7+2,154,G10,JG075C_154
S075_WT,2,MMMMx,1.0,7+2,155,G11,JG075C_155
S075_WT,2,MMMMx,0.5623413251903491,7+2,156,G12,JG075C_156
S075_WT,2,MMMMx,0.31622776601683794,7+2,157,G13,JG075C_157
S075_WT,2,MMMMx,0.1778279410038923,7+2,158,G14,JG075C_158
S075_WT,2,MMMMx,0.1,7+2,159,G15,JG075C_159
S075_WT,2,MMMMx,0.0,7+2,160,G16,JG075C_160
S075_WT,1,MMMMx,3.1622776601683795,2+2,169,H1,JG075C_169
S075_WT,1,MMMMx,1.7782794100389228,2+2,170,H2,JG075C_170
S075_WT,1,MMMMx,1.0,2+2,171,H3,JG075C_171
S075_WT,1,MMMMx,0.5623413251903491,2+2,172,H4,JG075C_172
S075_WT,1,MMMMx,0.31622776601683794,2+2,173,H5,JG075C_173
S075_WT,1,MMMMx,0.1778279410038923,2+2,174,H6,JG075C_174
S075_WT,1,MMMMx,0.1,2+2,175,H7,JG075C_175
S075_WT,1,MMMMx,0.0,2+2,176,H8,JG075C_176
S075_WT,1,MMMMx,3.1622776601683795,7+2,177,H9,JG075C_177
S075_WT,1,MMMMx,1.7782794100389228,7+2,178,H10,JG075C_178
S075_WT,1,MMMMx,1.0,7+2,179,H11,JG075C_179
S075_WT,1,MMMMx,0.5623413251903491,7+2,180,H12,JG075C_180
S075_WT,1,MMMMx,0.31622776601683794,7+2,181,H13,JG075C_181
S075_WT,1,MMMMx,0.1778279410038923,7+2,182,H14,JG075C_182
S075_WT,1,MMMMx,0.1,7+2,183,H15,JG075C_183
S075_WT,1,MMMMx,0.0,7+2,184,H16,JG075C_184
S075_SNV,8,MMMMx,3.1622776601683795,2+2,193,I1,JG075C_193
S075_SNV,8,MMMMx,1.7782794100389228,2+2,194,I2,JG075C_194
S075_SNV,8,MMMMx,1.0,2+2,195,I3,JG075C_195
S075_SNV,8,MMMMx,0.5623413251903491,2+2,196,I4,JG075C_196
S075_SNV,8,MMMMx,0.31622776601683794,2+2,197,I5,JG075C_197
S075_SNV,8,MMMMx,0.1778279410038923,2+2,198,I6,JG075C_198
S075_SNV,8,MMMMx,0.1,2+2,199,I7,JG075C_199
S075_SNV,8,MMMMx,0.0,2+2,200,I8,JG075C_200
S075_SNV,8,MMMMx,3.1622776601683795,7+2,201,I9,JG075C_201
S075_SNV,8,MMMMx,1.7782794100389228,7+2,202,I10,JG075C_202
S075_SNV,8,MMMMx,1.0,7+2,203,I11,JG075C_203
S075_SNV,8,MMMMx,0.5623413251903491,7+2,204,I12,JG075C_204
S075_SNV,8,MMMMx,0.31622776601683794,7+2,205,I13,JG075C_205
S075_SNV,8,MMMMx,0.1778279410038923,7+2,206,I14,JG075C_206
S075_SNV,8,MMMMx,0.1,7+2,207,I15,JG075C_207
S075_SNV,8,MMMMx,0.0,7+2,208,I16,JG075C_208
S075_SNV,7,MMMMx,3.1622776601683795,2+2,217,J1,JG075C_217
S075_SNV,7,MMMMx,1.7782794100389228,2+2,218,J2,JG075C_218
S075_SNV,7,MMMMx,1.0,2+2,219,J3,JG075C_219
S075_SNV,7,MMMMx,0.5623413251903491,2+2,220,J4,JG075C_220
S075_SNV,7,MMMMx,0.31622776601683794,2+2,221,J5,JG075C_221
S075_SNV,7,MMMMx,0.1778279410038923,2+2,222,J6,JG075C_222
S075_SNV,7,MMMMx,0.1,2+2,223,J7,JG075C_223
S075_SNV,7,MMMMx,0.0,2+2,224,J8,JG075C_224
S075_SNV,7,MMMMx,3.1622776601683795,7+2,225,J9,JG075C_225
S075_SNV,7,MMMMx,1.7782794100389228,7+2,226,J10,JG075C_226
S075_SNV,7,MMMMx,1.0,7+2,227,J11,JG075C_227
S075_SNV,7,MMMMx,0.5623413251903491,7+2,228,J12,JG075C_228
S075_SNV,7,MMMMx,0.31622776601683794,7+2,229,J13,JG075C_229
S075_SNV,7,MMMMx,0.1778279410038923,7+2,230,J14,JG075C_230
S075_SNV,7,MMMMx,0.1,7+2,231,J15,JG075C_231
S075_SNV,7,MMMMx,0.0,7+2,232,J16,JG075C_232
S075_SNV,6,MMMMx,3.1622776601683795,2+2,241,K1,JG075C_241
S075_SNV,6,MMMMx,1.7782794100389228,2+2,242,K2,JG075C_242
S075_SNV,6,MMMMx,1.0,2+2,243,K3,JG075C_243
S075_SNV,6,MMMMx,0.5623413251903491,2+2,244,K4,JG075C_244
S075_SNV,6,MMMMx,0.31622776601683794,2+2,245,K5,JG075C_245
S075_SNV,6,MMMMx,0.1778279410038923,2+2,246,K6,JG075C_246
S075_SNV,6,MMMMx,0.1,2+2,247,K7,JG075C_247
S075_SNV,6,MMMMx,0.0,2+2,248,K8,JG075C_248
S075_SNV,6,MMMMx,3.1622776601683795,7+2,249,K9,JG075C_249
S075_SNV,6,MMMMx,1.7782794100389228,7+2,250,K10,JG075C_250
S075_SNV,6,MMMMx,1.0,7+2,251,K11,JG075C_251
S075_SNV,6,MMMMx,0.5623413251903491,7+2,252,K12,JG075C_252
S075_SNV,6,MMMMx,0.31622776601683794,7+2,253,K13,JG075C_253
S075_SNV,6,MMMMx,0.1778279410038923,7+2,254,K14,JG075C_254
S075_SNV,6,MMMMx,0.1,7+2,255,K15,JG075C_255
S075_SNV,6,MMMMx,0.0,7+2,256,K16,JG075C_256
S075_SNV,5,MMMMx,3.1622776601683795,2+2,265,L1,JG075C_265
S075_SNV,5,MMMMx,1.7782794100389228,2+2,266,L2,JG075C_266
S075_SNV,5,MMMMx,1.0,2+2,267,L3,JG075C_267
S075_SNV,5,MMMMx,0.5623413251903491,2+2,268,L4,JG075C_268
S075_SNV,5,MMMMx,0.31622776601683794,2+2,269,L5,JG075C_269
S075_SNV,5,MMMMx,0.1778279410038923,2+2,270,L6,JG075C_270
S075_SNV,5,MMMMx,0.1,2+2,271,L7,JG075C_271
S075_SNV,5,MMMMx,0.0,2+2,272,L8,JG075C_272
S075_SNV,5,MMMMx,3.1622776601683795,7+2,273,L9,JG075C_273
S075_SNV,5,MMMMx,1.7782794100389228,7+2,274,L10,JG075C_274
S075_SNV,5,MMMMx,1.0,7+2,275,L11,JG075C_275
S075_SNV,5,MMMMx,0.5623413251903491,7+2,276,L12,JG075C_276
S075_SNV,5,MMMMx,0.31622776601683794,7+2,277,L13,JG075C_277
S075_SNV,5,MMMMx,0.1778279410038923,7+2,278,L14,JG075C_278
S075_SNV,5,MMMMx,0.1,7+2,279,L15,JG075C_279
S075_SNV,5,MMMMx,0.0,7+2,280,L16,JG075C_280
S075_SNV,4,MMMMx,3.1622776601683795,2+2,289,M1,JG075C_289
S075_SNV,4,MMMMx,1.7782794100389228,2+2,290,M2,JG075C_290
S075_SNV,4,MMMMx,1.0,2+2,291,M3,JG075C_291
S075_SNV,4,MMMMx,0.5623413251903491,2+2,292,M4,JG075C_292
S075_SNV,4,MMMMx,0.31622776601683794,2+2,293,M5,JG075C_293
S075_SNV,4,MMMMx,0.1778279410038923,2+2,294,M6,JG075C_294
S075_SNV,4,MMMMx,0.1,2+2,295,M7,JG075C_295
S075_SNV,4,MMMMx,0.0,2+2,296,M8,JG075C_296
S075_SNV,4,MMMMx,3.1622776601683795,7+2,297,M9,JG075C_297
S075_SNV,4,MMMMx,1.7782794100389228,7+2,298,M10,JG075C_298
S075_SNV,4,MMMMx,1.0,7+2,299,M11,JG075C_299
S075_SNV,4,MMMMx,0.5623413251903491,7+2,300,M12,JG075C_300
S075_SNV,4,MMMMx,0.31622776601683794,7+2,301,M13,JG075C_301
S075_SNV,4,MMMMx,0.1778279410038923,7+2,302,M14,JG075C_302
S075_SNV,4,MMMMx,0.1,7+2,303,M15,JG075C_303
S075_SNV,4,MMMMx,0.0,7+2,304,M16,JG075C_304
S075_SNV,3,MMMMx,3.1622776601683795,2+2,313,N1,JG075C_313
S075_SNV,3,MMMMx,1.7782794100389228,2+2,314,N2,JG075C_314
S075_SNV,3,MMMMx,1.0,2+2,315,N3,JG075C_315
S075_SNV,3,MMMMx,0.5623413251903491,2+2,316,N4,JG075C_316
S075_SNV,3,MMMMx,0.31622776601683794,2+2,317,N5,JG075C_317
S075_SNV,3,MMMMx,0.1778279410038923,2+2,318,N6,JG075C_318
S075_SNV,3,MMMMx,0.1,2+2,319,N7,JG075C_319
S075_SNV,3,MMMMx,0.0,2+2,320,N8,JG075C_320
S075_SNV,3,MMMMx,3.1622776601683795,7+2,321,N9,JG075C_321
S075_SNV,3,MMMMx,1.7782794100389228,7+2,322,N10,JG075C_322
S075_SNV,3,MMMMx,1.0,7+2,323,N11,JG075C_323
S075_SNV,3,MMMMx,0.5623413251903491,7+2,324,N12,JG075C_324
S075_SNV,3,MMMMx,0.31622776601683794,7+2,325,N13,JG075C_325
S075_SNV,3,MMMMx,0.1778279410038923,7+2,326,N14,JG075C_326
S075_SNV,3,MMMMx,0.1,7+2,327,N15,JG075C_327
S075_SNV,3,MMMMx,0.0,7+2,328,N16,JG075C_328
S075_SNV,2,MMMMx,3.1622776601683795,2+2,337,O1,JG075C_337
S075_SNV,2,MMMMx,1.7782794100389228,2+2,338,O2,JG075C_338
S075_SNV,2,MMMMx,1.0,2+2,339,O3,JG075C_339
S075_SNV,2,MMMMx,0.5623413251903491,2+2,340,O4,JG075C_340
S075_SNV,2,MMMMx,0.31622776601683794,2+2,341,O5,JG075C_341
S075_SNV,2,MMMMx,0.1778279410038923,2+2,342,O6,JG075C_342
S075_SNV,2,MMMMx,0.1,2+2,343,O7,JG075C_343
S075_SNV,2,MMMMx,0.0,2+2,344,O8,JG075C_344
S075_SNV,2,MMMMx,3.1622776601683795,7+2,345,O9,JG075C_345
S075_SNV,2,MMMMx,1.7782794100389228,7+2,346,O10,JG075C_346
S075_SNV,2,MMMMx,1.0,7+2,347,O11,JG075C_347
S075_SNV,2,MMMMx,0.5623413251903491,7+2,348,O12,JG075C_348
S075_SNV,2,MMMMx,0.31622776601683794,7+2,349,O13,JG075C_349
S075_SNV,2,MMMMx,0.1778279410038923,7+2,350,O14,JG075C_350
S075_SNV,2,MMMMx,0.1,7+2,351,O15,JG075C_351
S075_SNV,2,MMMMx,0.0,7+2,352,O16,JG075C_352
