* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
1	S075_WTFAM	JG075C_001	FAM	100000000	None	STANDARD
1	S075_WTHEX	JG075C_001	HEX	100000000	None	STANDARD
2	S075_WTFAM	JG075C_002	FAM	100000000	None	STANDARD
2	S075_WTHEX	JG075C_002	HEX	100000000	None	STANDARD
3	S075_WTFAM	JG075C_003	FAM	100000000	None	STANDARD
3	S075_WTHEX	JG075C_003	HEX	100000000	None	STANDARD
4	S075_WTFAM	JG075C_004	FAM	100000000	None	STANDARD
4	S075_WTHEX	JG075C_004	HEX	100000000	None	STANDARD
5	S075_WTFAM	JG075C_005	FAM	100000000	None	STANDARD
5	S075_WTHEX	JG075C_005	HEX	100000000	None	STANDARD
6	S075_WTFAM	JG075C_006	FAM	100000000	None	STANDARD
6	S075_WTHEX	JG075C_006	HEX	100000000	None	STANDARD
7	S075_WTFAM	JG075C_007	FAM	100000000	None	STANDARD
7	S075_WTHEX	JG075C_007	HEX	100000000	None	STANDARD
8	S075_WTFAM	JG075C_008	FAM	100000000	None	STANDARD
8	S075_WTHEX	JG075C_008	HEX	100000000	None	STANDARD
9	S075_WTFAM	JG075C_009	FAM	100000000	None	STANDARD
9	S075_WTHEX	JG075C_009	HEX	100000000	None	STANDARD
10	S075_WTFAM	JG075C_010	FAM	100000000	None	STANDARD
10	S075_WTHEX	JG075C_010	HEX	100000000	None	STANDARD
11	S075_WTFAM	JG075C_011	FAM	100000000	None	STANDARD
11	S075_WTHEX	JG075C_011	HEX	100000000	None	STANDARD
12	S075_WTFAM	JG075C_012	FAM	100000000	None	STANDARD
12	S075_WTHEX	JG075C_012	HEX	100000000	None	STANDARD
13	S075_WTFAM	JG075C_013	FAM	100000000	None	STANDARD
13	S075_WTHEX	JG075C_013	HEX	100000000	None	STANDARD
14	S075_WTFAM	JG075C_014	FAM	100000000	None	STANDARD
14	S075_WTHEX	JG075C_014	HEX	100000000	None	STANDARD
15	S075_WTFAM	JG075C_015	FAM	100000000	None	STANDARD
15	S075_WTHEX	JG075C_015	HEX	100000000	None	STANDARD
16	S075_WTFAM	JG075C_016	FAM	100000000	None	STANDARD
16	S075_WTHEX	JG075C_016	HEX	100000000	None	STANDARD
25	S075_WTFAM	JG075C_025	FAM	10000000	None	STANDARD
25	S075_WTHEX	JG075C_025	HEX	10000000	None	STANDARD
26	S075_WTFAM	JG075C_026	FAM	10000000	None	STANDARD
26	S075_WTHEX	JG075C_026	HEX	10000000	None	STANDARD
27	S075_WTFAM	JG075C_027	FAM	10000000	None	STANDARD
27	S075_WTHEX	JG075C_027	HEX	10000000	None	STANDARD
28	S075_WTFAM	JG075C_028	FAM	10000000	None	STANDARD
28	S075_WTHEX	JG075C_028	HEX	10000000	None	STANDARD
29	S075_WTFAM	JG075C_029	FAM	10000000	None	STANDARD
29	S075_WTHEX	JG075C_029	HEX	10000000	None	STANDARD
30	S075_WTFAM	JG075C_030	FAM	10000000	None	STANDARD
30	S075_WTHEX	JG075C_030	HEX	10000000	None	STANDARD
31	S075_WTFAM	JG075C_031	FAM	10000000	None	STANDARD
31	S075_WTHEX	JG075C_031	HEX	10000000	None	STANDARD
32	S075_WTFAM	JG075C_032	FAM	10000000	None	STANDARD
32	S075_WTHEX	JG075C_032	HEX	10000000	None	STANDARD
