WT_lg10_Copies,SNV_lg10_Copies,Blocker μM,Well,WellName,Sample,Blocker
8,1,0.0,1,A1,JG075D_001,L-MMMMx
8,2,0.0,2,A2,JG075D_002,L-MMMMx
8,3,0.0,3,A3,JG075D_003,L-MMMMx
8,4,0.0,4,A4,JG075D_004,L-MMMMx
8,5,0.0,5,A5,JG075D_005,L-MMMMx
8,6,0.0,6,A6,JG075D_006,L-MMMMx
8,7,0.0,7,A7,JG075D_007,L-MMMMx
8,8,0.0,8,A8,JG075D_008,L-MMMMx
8,1,0.1,9,A9,JG075D_009,L-MMMMx
8,2,0.1,10,A10,JG075D_010,L-MMMMx
8,3,0.1,11,A11,JG075D_011,L-MMMMx
8,4,0.1,12,A12,JG075D_012,L-MMMMx
8,5,0.1,13,A13,JG075D_013,L-MMMMx
8,6,0.1,14,A14,JG075D_014,L-MMMMx
8,7,0.1,15,A15,JG075D_015,L-MMMMx
8,8,0.1,16,A16,JG075D_016,L-MMMMx
8,1,0.31622776601683794,17,A17,JG075D_017,L-MMMMx
8,2,0.31622776601683794,18,A18,JG075D_018,L-MMMMx
8,3,0.31622776601683794,19,A19,JG075D_019,L-MMMMx
8,4,0.31622776601683794,20,A20,JG075D_020,L-MMMMx
8,5,0.31622776601683794,21,A21,JG075D_021,L-MMMMx
8,6,0.31622776601683794,22,A22,JG075D_022,L-MMMMx
8,7,0.31622776601683794,23,A23,JG075D_023,L-MMMMx
8,8,0.31622776601683794,24,A24,JG075D_024,L-MMMMx
7,1,0.0,25,B1,JG075D_025,L-MMMMx
7,2,0.0,26,B2,JG075D_026,L-MMMMx
7,3,0.0,27,B3,JG075D_027,L-MMMMx
7,4,0.0,28,B4,JG075D_028,L-MMMMx
7,5,0.0,29,B5,JG075D_029,L-MMMMx
7,6,0.0,30,B6,JG075D_030,L-MMMMx
7,7,0.0,31,B7,JG075D_031,L-MMMMx
7,8,0.0,32,B8,JG075D_032,L-MMMMx
7,1,0.1,33,B9,JG075D_033,L-MMMMx
7,2,0.1,34,B10,JG075D_034,L-MMMMx
7,3,0.1,35,B11,JG075D_035,L-MMMMx
7,4,0.1,36,B12,JG075D_036,L-MMMMx
7,5,0.1,37,B13,JG075D_037,L-MMMMx
7,6,0.1,38,B14,JG075D_038,L-MMMMx
7,7,0.1,39,B15,JG075D_039,L-MMMMx
7,8,0.1,40,B16,JG075D_040,L-MMMMx
7,1,0.31622776601683794,41,B17,JG075D_041,L-MMMMx
7,2,0.31622776601683794,42,B18,JG075D_042,L-MMMMx
7,3,0.31622776601683794,43,B19,JG075D_043,L-MMMMx
7,4,0.31622776601683794,44,B20,JG075D_044,L-MMMMx
7,5,0.31622776601683794,45,B21,JG075D_045,L-MMMMx
7,6,0.31622776601683794,46,B22,JG075D_046,L-MMMMx
7,7,0.31622776601683794,47,B23,JG075D_047,L-MMMMx
7,8,0.31622776601683794,48,B24,JG075D_048,L-MMMMx
6,1,0.0,49,C1,JG075D_049,L-MMMMx
6,2,0.0,50,C2,JG075D_050,L-MMMMx
6,3,0.0,51,C3,JG075D_051,L-MMMMx
6,4,0.0,52,C4,JG075D_052,L-MMMMx
6,5,0.0,53,C5,JG075D_053,L-MMMMx
6,6,0.0,54,C6,JG075D_054,L-MMMMx
6,7,0.0,55,C7,JG075D_055,L-MMMMx
6,8,0.0,56,C8,JG075D_056,L-MMMMx
6,1,0.1,57,C9,JG075D_057,L-MMMMx
6,2,0.1,58,C10,JG075D_058,L-MMMMx
6,3,0.1,59,C11,JG075D_059,L-MMMMx
6,4,0.1,60,C12,JG075D_060,L-MMMMx
6,5,0.1,61,C13,JG075D_061,L-MMMMx
6,6,0.1,62,C14,JG075D_062,L-MMMMx
6,7,0.1,63,C15,JG075D_063,L-MMMMx
6,8,0.1,64,C16,JG075D_064,L-MMMMx
6,1,0.31622776601683794,65,C17,JG075D_065,L-MMMMx
6,2,0.31622776601683794,66,C18,JG075D_066,L-MMMMx
6,3,0.31622776601683794,67,C19,JG075D_067,L-MMMMx
6,4,0.31622776601683794,68,C20,JG075D_068,L-MMMMx
6,5,0.31622776601683794,69,C21,JG075D_069,L-MMMMx
6,6,0.31622776601683794,70,C22,JG075D_070,L-MMMMx
6,7,0.31622776601683794,71,C23,JG075D_071,L-MMMMx
6,8,0.31622776601683794,72,C24,JG075D_072,L-MMMMx
5,1,0.0,73,D1,JG075D_073,L-MMMMx
5,2,0.0,74,D2,JG075D_074,L-MMMMx
5,3,0.0,75,D3,JG075D_075,L-MMMMx
5,4,0.0,76,D4,JG075D_076,L-MMMMx
5,5,0.0,77,D5,JG075D_077,L-MMMMx
5,6,0.0,78,D6,JG075D_078,L-MMMMx
5,7,0.0,79,D7,JG075D_079,L-MMMMx
5,8,0.0,80,D8,JG075D_080,L-MMMMx
5,1,0.1,81,D9,JG075D_081,L-MMMMx
5,2,0.1,82,D10,JG075D_082,L-MMMMx
5,3,0.1,83,D11,JG075D_083,L-MMMMx
5,4,0.1,84,D12,JG075D_084,L-MMMMx
5,5,0.1,85,D13,JG075D_085,L-MMMMx
5,6,0.1,86,D14,JG075D_086,L-MMMMx
5,7,0.1,87,D15,JG075D_087,L-MMMMx
5,8,0.1,88,D16,JG075D_088,L-MMMMx
5,1,0.31622776601683794,89,D17,JG075D_089,L-MMMMx
5,2,0.31622776601683794,90,D18,JG075D_090,L-MMMMx
5,3,0.31622776601683794,91,D19,JG075D_091,L-MMMMx
5,4,0.31622776601683794,92,D20,JG075D_092,L-MMMMx
5,5,0.31622776601683794,93,D21,JG075D_093,L-MMMMx
5,6,0.31622776601683794,94,D22,JG075D_094,L-MMMMx
5,7,0.31622776601683794,95,D23,JG075D_095,L-MMMMx
5,8,0.31622776601683794,96,D24,JG075D_096,L-MMMMx
4,1,0.0,97,E1,JG075D_097,L-MMMMx
4,2,0.0,98,E2,JG075D_098,L-MMMMx
4,3,0.0,99,E3,JG075D_099,L-MMMMx
4,4,0.0,100,E4,JG075D_100,L-MMMMx
4,5,0.0,101,E5,JG075D_101,L-MMMMx
4,6,0.0,102,E6,JG075D_102,L-MMMMx
4,7,0.0,103,E7,JG075D_103,L-MMMMx
4,8,0.0,104,E8,JG075D_104,L-MMMMx
4,1,0.1,105,E9,JG075D_105,L-MMMMx
4,2,0.1,106,E10,JG075D_106,L-MMMMx
4,3,0.1,107,E11,JG075D_107,L-MMMMx
4,4,0.1,108,E12,JG075D_108,L-MMMMx
4,5,0.1,109,E13,JG075D_109,L-MMMMx
4,6,0.1,110,E14,JG075D_110,L-MMMMx
4,7,0.1,111,E15,JG075D_111,L-MMMMx
4,8,0.1,112,E16,JG075D_112,L-MMMMx
4,1,0.31622776601683794,113,E17,JG075D_113,L-MMMMx
4,2,0.31622776601683794,114,E18,JG075D_114,L-MMMMx
4,3,0.31622776601683794,115,E19,JG075D_115,L-MMMMx
4,4,0.31622776601683794,116,E20,JG075D_116,L-MMMMx
4,5,0.31622776601683794,117,E21,JG075D_117,L-MMMMx
4,6,0.31622776601683794,118,E22,JG075D_118,L-MMMMx
4,7,0.31622776601683794,119,E23,JG075D_119,L-MMMMx
4,8,0.31622776601683794,120,E24,JG075D_120,L-MMMMx
3,1,0.0,121,F1,JG075D_121,L-MMMMx
3,2,0.0,122,F2,JG075D_122,L-MMMMx
3,3,0.0,123,F3,JG075D_123,L-MMMMx
3,4,0.0,124,F4,JG075D_124,L-MMMMx
3,5,0.0,125,F5,JG075D_125,L-MMMMx
3,6,0.0,126,F6,JG075D_126,L-MMMMx
3,7,0.0,127,F7,JG075D_127,L-MMMMx
