* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
1	FAM	JG075D_001	FAM		None	UNKNOWN
1	HEX	JG075D_001	HEX		None	UNKNOWN
2	FAM	JG075D_002	FAM		None	UNKNOWN
2	HEX	JG075D_002	HEX		None	UNKNOWN
3	FAM	JG075D_003	FAM		None	UNKNOWN
3	HEX	JG075D_003	HEX		None	UNKNOWN
4	FAM	JG075D_004	FAM		None	UNKNOWN
4	HEX	JG075D_004	HEX		None	UNKNOWN
5	FAM	JG075D_005	FAM		None	UNKNOWN
5	HEX	JG075D_005	HEX		None	UNKNOWN
6	FAM	JG075D_006	FAM		None	UNKNOWN
6	HEX	JG075D_006	HEX		None	UNKNOWN
7	FAM	JG075D_007	FAM		None	UNKNOWN
7	HEX	JG075D_007	HEX		None	UNKNOWN
8	FAM	JG075D_008	FAM		None	UNKNOWN
8	HEX	JG075D_008	HEX		None	UNKNOWN
9	FAM	JG075D_009	FAM		None	UNKNOWN
9	HEX	JG075D_009	HEX		None	UNKNOWN
10	FAM	JG075D_010	FAM		None	UNKNOWN
10	HEX	JG075D_010	HEX		None	UNKNOWN
11	FAM	JG075D_011	FAM		None	UNKNOWN
11	HEX	JG075D_011	HEX		None	UNKNOWN
12	FAM	JG075D_012	FAM		None	UNKNOWN
12	HEX	JG075D_012	HEX		None	UNKNOWN
13	FAM	JG075D_013	FAM		None	UNKNOWN
13	HEX	JG075D_013	HEX		None	UNKNOWN
14	FAM	JG075D_014	FAM		None	UNKNOWN
14	HEX	JG075D_014	HEX		None	UNKNOWN
15	FAM	JG075D_015	FAM		None	UNKNOWN
15	HEX	JG075D_015	HEX		None	UNKNOWN
16	FAM	JG075D_016	FAM		None	UNKNOWN
16	HEX	JG075D_016	HEX		None	UNKNOWN
17	FAM	JG075D_017	FAM		None	UNKNOWN
17	HEX	JG075D_017	HEX		None	UNKNOWN
18	FAM	JG075D_018	FAM		None	UNKNOWN
18	HEX	JG075D_018	HEX		None	UNKNOWN
19	FAM	JG075D_019	FAM		None	UNKNOWN
19	HEX	JG075D_019	HEX		None	UNKNOWN
20	FAM	JG075D_020	FAM		None	UNKNOWN
20	HEX	JG075D_020	HEX		None	UNKNOWN
21	FAM	JG075D_021	FAM		None	UNKNOWN
21	HEX	JG075D_021	HEX		None	UNKNOWN
22	FAM	JG075D_022	FAM		None	UNKNOWN
22	HEX	JG075D_022	HEX		None	UNKNOWN
23	FAM	JG075D_023	FAM		None	UNKNOWN
23	HEX	JG075D_023	HEX		None	UNKNOWN
24	FAM	JG075D_024	FAM		None	UNKNOWN
24	HEX	JG075D_024	HEX		None	UNKNOWN
25	FAM	JG075D_025	FAM		None	UNKNOWN
25	HEX	JG075D_025	HEX		None	UNKNOWN
26	FAM	JG075D_026	FAM		None	UNKNOWN
26	HEX	JG075D_026	HEX		None	UNKNOWN
27	FAM	JG075D_027	FAM		None	UNKNOWN
27	HEX	JG075D_027	HEX		None	UNKNOWN
28	FAM	JG075D_028	FAM		None	UNKNOWN
28	HEX	JG075D_028	HEX		None	UNKNOWN
29	FAM	JG075D_029	FAM		None	UNKNOWN
29	HEX	JG075D_029	HEX		None	UNKNOWN
30	FAM	JG075D_030	FAM		None	UNKNOWN
30	HEX	JG075D_030	HEX		None	UNKNOWN
31	FAM	JG075D_031	FAM		None	UNKNOWN
31	HEX	JG075D_031	HEX		None	UNKNOWN
32	FAM	JG075D_032	FAM		None	UNKNOWN
32	HEX	JG075D_032	HEX		None	UNKNOWN
33	FAM	JG075D_033	FAM		None	UNKNOWN
33	HEX	JG075D_033	HEX		None	UNKNOWN
34	FAM	JG075D_034	FAM		None	UNKNOWN
34	HEX	JG075D_034	HEX		None	UNKNOWN
