# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Cycle Number","SYBR","ROX"
"1","A1","1","43697.0","185035.53"
"1","A1","2","44024.395","183957.53"
"1","A1","3","44168.043","181889.08"
"1","A1","4","44700.832","180284.16"
"1","A1","5","46425.008","179938.06"
"1","A1","6","49021.56","179939.73"
"1","A1","7","53309.15","179853.89"
"1","A1","8","61113.25","179810.34"
"1","A1","9","74064.664","179811.12"
"1","A1","10","94655.49","179835.66"
"1","A1","11","124109.27","179997.31"
"1","A1","12","161123.58","180020.98"
"1","A1","13","200726.12","180093.72"
"1","A1","14","236244.98","180142.86"
"1","A1","15","263391.3","180343.28"
"1","A1","16","282563.6","180044.3"
"1","A1","17","295377.34","179994.45"
"1","A1","18","302955.06","180297.58"
"1","A1","19","308241.94","180389.08"
"1","A1","20","312060.16","180446.12"
"1","A1","21","314102.2","180366.66"
"1","A1","22","315876.2","180151.94"
"1","A1","23","317577.66","179798.8"
"1","A1","24","318953.5","179744.89"
"1","A1","25","319789.44","179852.83"
"1","A1","26","320916.62","179927.05"
"1","A1","27","322024.7","180254.8"
"1","A1","28","322959.0","180428.98"
"1","A1","29","323659.16","180402.02"
"1","A1","30","324675.06","180426.03"
"1","A1","31","325393.44","180417.03"
"1","A1","32","326117.28","180558.73"
"1","A1","33","326495.12","180734.73"
"1","A1","34","327192.22","180658.23"
"1","A1","35","327444.3","180648.02"
"1","A1","36","328582.9","181011.86"
"1","A1","37","329405.28","181154.8"
"1","A1","38","329481.62","181135.45"
"1","A1","39","329717.03","181038.05"
"1","A1","40","330450.3","180996.52"
"1","A1","41","330786.25","180930.55"
"1","A1","42","330672.12","181070.22"
"1","A1","43","331140.6","181327.42"
"1","A1","44","332148.16","181275.3"
"1","A1","45","332286.4","181252.56"
"1","A1","46","333193.44","181427.62"
