# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_5\data\JG071B Tripartite sweep GBP6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-02-14 12:19:33 PM EST
# Run End Date/Time: 2022-02-14 02:15:46 PM EST
# Run Duration: 116 minutes 12 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:46:39 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:46:51 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","JG071B.000","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"1","A1","false","JG071B.000","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","0.9393942620435849","","","35.69137666213423","0.765182987587434","35.729131964519496","0.05339406068377174","true","0.03999999910593033","true","3","32"
"2","A2","false","JG071B.008","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.8059593738846778","","","21.563796721015212","0.4200760975766895","25.304460170720173","5.290096982846085","true","0.03999999910593033","true","3","18"
"2","A2","false","JG071B.008","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","0.9181859203862096","","","29.070848377969078","0.6739593835681368","31.436933737494297","3.3461500051729907","true","0.03999999910593033","true","3","26"
"3","A3","false","JG071B.016","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.8391195521876839","","","20.169138301038828","0.5092182973920438","20.169138301038828","","true","0.03999999910593033","true","3","16"
"3","A3","false","JG071B.016","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","0.9279366120285039","","","24.576585271417578","0.6343559140130941","27.195280006822127","3.7033936105241643","true","0.03999999910593033","true","3","21"
"4","A4","false","JG071B.024","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.6994019219402501","","","23.047257309877253","0.35911884011278966","23.047257309877253","","true","0.03999999910593033","true","3","19"
"4","A4","false","JG071B.024","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","0.9468207014020344","","","20.23549887036939","0.6388815651033511","21.860211974906807","2.2976913074021135","true","0.03999999910593033","true","3","16"
"5","A5","false","JG071B.032","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"5","A5","false","JG071B.032","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","0.9432472314106394","","","12.345217460911575","0.48615579509166695","13.229370786758018","1.2503816246292787","true","0.03999999910593033","true","3","9"
