# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_6\data\JG074C_L2_500_competitor_sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-06 10:13:53 AM EDT
# Run End Date/Time: 2022-04-06 12:09:45 PM EDT
# Run Duration: 115 minutes 52 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:45:31 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:46:09 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","76947.3","57387.113","165963.22"
"1","A1","2","76361.61","57132.84","164792.02"
"1","A1","3","75810.24","56376.6","162608.11"
"1","A1","4","75330.4","55727.312","161466.3"
"1","A1","5","75245.34","55493.45","160913.19"
"1","A1","6","75381.664","55585.906","160424.92"
"1","A1","7","75665.555","56127.934","160134.8"
"1","A1","8","76412.16","56509.105","159911.34"
"1","A1","9","77798.01","57217.97","159622.9"
"1","A1","10","80593.52","59300.58","159497.44"
"1","A1","11","84919.72","62722.152","159621.39"
"1","A1","12","91543.7","68324.52","159648.55"
"1","A1","13","100813.93","76677.32","159811.16"
"1","A1","14","112066.1","87702.58","159768.52"
"1","A1","15","124677.164","99987.67","159862.36"
"1","A1","16","137766.28","111865.83","159992.47"
"1","A1","17","150534.6","122366.64","160155.25"
"1","A1","18","162136.19","130773.08","160468.31"
"1","A1","19","172560.3","137182.44","160247.06"
"1","A1","20","181787.02","141851.06","160083.05"
"1","A1","21","190129.08","145199.94","160176.47"
"1","A1","22","197234.73","147968.08","160243.22"
"1","A1","23","203256.84","150370.61","160549.97"
"1","A1","24","208701.88","152111.88","160686.45"
"1","A1","25","213512.3","154387.1","160616.55"
"1","A1","26","218287.7","156110.5","160737.62"
"1","A1","27","221865.72","157763.9","160822.52"
"1","A1","28","225512.33","159383.9","160775.0"
"1","A1","29","229385.86","161493.03","160755.17"
"1","A1","30","232440.7","163389.5","161045.38"
"1","A1","31","235725.66","164755.14","161049.84"
"1","A1","32","239055.73","165963.44","160957.27"
"1","A1","33","242133.77","167752.52","160877.97"
"1","A1","34","245370.73","169435.56","161021.8"
"1","A1","35","248309.22","170954.44","161025.22"
"1","A1","36","251138.06","172624.67","161126.42"
"1","A1","37","254322.16","173907.58","161108.81"
"1","A1","38","257513.4","175215.58","161173.22"
"1","A1","39","260561.84","176836.55","161269.9"
"1","A1","40","263886.1","178832.05","161109.61"
"1","A1","41","266920.0","180346.5","161013.92"
"1","A1","42","269658.53","182471.64","161315.58"
"1","A1","43","272945.3","184040.39","161319.98"
"1","A1","44","276134.1","185567.83","161493.47"
"1","A1","45","279663.47","187244.89","161513.5"
"1","A1","46","282822.38","188778.62","161417.45"
"1","A1","47","286215.56","190247.58","161454.1"
"1","A1","48","289892.53","191773.61","161338.1"
"1","A1","49","293071.84","193473.11","161348.27"
"1","A1","50","296754.6","194875.8","161270.16"
"1","A1","51","300403.8","195937.61","161143.92"
"1","A1","52","304132.66","196891.88","161075.56"
"1","A1","53","307974.12","198263.7","161485.61"
"1","A1","54","311638.88","199497.19","161759.89"
"1","A1","55","315383.56","200430.3","161771.58"
"1","A1","56","319365.94","201594.08","161586.95"
"1","A1","57","323230.12","202448.73","161527.67"
"1","A1","58","326392.22","203531.02","161745.1"
"1","A1","59","330264.25","204610.44","161624.11"
"1","A1","60","334513.8","205458.66","161509.31"
"1","A1","61","338814.88","206447.58","161658.56"
"1","A1","62","343289.66","207291.03","161660.17"
"1","A1","63","347966.12","208324.19","161464.56"
"1","A1","64","353118.9","209718.92","161357.81"
"1","A1","65","358772.97","211016.78","161538.8"
"1","A1","66","365313.75","212513.9","161461.56"
"1","A1","67","372627.9","214373.88","161493.31"
"1","A1","68","379969.06","216659.67","161496.77"
"1","A1","69","386583.1","219341.75","161714.38"
"1","A1","70","392347.72","222765.94","161826.39"
"1","A1","71","397871.5","226260.28","161713.44"
"1","A1","72","402567.38","229947.3","161769.98"
"1","A1","73","407034.03","233415.97","162002.98"
"1","A1","74","410781.38","237217.08","161875.56"
"1","A1","75","414667.8","241295.27","161691.72"
"1","A1","76","416964.28","244922.6","161437.27"
"1","A1","77","418779.03","247403.22","161020.8"
"1","A1","78","419446.72","248816.3","160096.44"
"1","A1","79","419840.16","249854.47","159654.58"
"1","A1","80","420732.8","251084.4","159141.58"
"1","A1","81","421460.62","252378.47","158819.08"
"1","A1","82","422663.06","252907.9","158498.55"
"1","A1","83","424604.94","254487.16","158350.0"
"1","A1","84","426942.06","256194.6","158254.47"
"1","A1","85","429044.44","258485.83","158208.22"
"1","A1","86","431353.97","260566.69","158282.12"
"1","A1","87","433849.4","262633.9","158243.28"
"1","A1","88","436451.47","264616.53","158133.62"
"1","A1","89","439371.28","266941.0","157821.31"
"1","A1","90","439810.94","268749.9","157742.64"
"2","A2","1","69104.42","51600.367","149533.73"
"2","A2","2","68648.55","51308.906","148519.77"
"2","A2","3","68183.87","50808.44","146737.75"
"2","A2","4","67566.05","50428.383","145518.66"
"2","A2","5","67370.99","50144.71","144539.6"
"2","A2","6","67387.81","50019.83","143825.53"
"2","A2","7","67588.09","50090.934","143550.62"
"2","A2","8","68106.59","50646.66","143407.17"
"2","A2","9","69403.16","51692.64","143316.83"
"2","A2","10","71916.664","53261.414","143247.55"
"2","A2","11","75806.94","56451.113","143268.81"
