,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence
19800,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,1,-0.8723060030566052,-0.004661118611693382
19801,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,1,-0.8053592169864698,-0.0026433286257088184
19802,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,2,-0.8701711590184292,-0.0028633088804781437
19803,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,2,-0.8037994124805793,-0.00247995019890368
19804,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,3,-0.868147604690033,-0.001237696735188365
19805,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,3,-0.8000994263916135,-0.0005711691337637603
19806,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,4,-0.8671784712464048,-0.0012435829266905785
19807,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,4,-0.7961229554162366,0.0015630964189767838
19808,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,5,-0.8657925310669448,-0.0006045469199307263
19809,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,5,-0.7958594798636297,0.0006692672614008188
19810,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,6,-0.864195067247332,0.00036177822039462626
19811,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,6,-0.796088458755812,-0.000626178050879389
19812,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,7,-0.8633735496458209,0.00012748701556120068
19813,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,7,-0.7946617441199068,-0.0005713397404178977
19814,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,8,-0.8619874939007225,0.0007667018799111247
19815,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,8,-0.7896940788464843,0.002371283946558833
19816,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,9,-0.8609764486522343,0.0008256654837168753
19817,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,9,-0.7898838835649642,0.0011077867820858955
19818,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,10,-0.8593084897931971,0.0019010670948773623
19819,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,10,-0.7905520371022545,-0.0005458228406496346
19820,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,11,-0.8587687982618658,0.001230708323419094
19821,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,11,-0.7895479796426949,-0.0008356781327165663
19822,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,12,-0.8585796558336833,1.7947271771845408e-05
19823,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,12,-0.7880201868682999,-0.0006984065985307097
19824,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,13,-0.8575113285504279,0.00016554300964344293
19825,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,13,-0.787611708404078,-0.0014739802572876215
19826,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,14,-0.8567013289908775,-8.656999852973968e-05
19827,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,14,-0.7869547370469676,-0.0020468980073928833
19828,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,15,-0.8556266455975099,7.086051482474431e-05
19829,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,15,-0.7848975082384302,-0.0014778503682464361
19830,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,16,-0.854681703894187,2.754257366177626e-05
19831,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,16,-0.7831738445955231,-0.0011808384442701936
19832,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,17,-0.8542130852304721,-0.0007527868147008121
19833,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,17,-0.7812988195463888,-0.0007603852427564561
19834,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,18,-0.853398501567265,-0.0009978068992495537
19835,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,18,-0.7781527533501296,0.0006966523942537606
19836,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,19,-0.8521513171976448,-0.0005734667647629976
19837,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,19,-0.7722762618640396,0.004380459897220135
19838,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,20,-0.8517800818452222,-0.001504476647824049
19839,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,20,-0.7633786814895844,0.010528084821999073
19840,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,21,-0.848861741300569,0.0015056321863085032
19841,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,21,-0.747737734863583,0.022175192832946777
19842,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,22,-0.8450848251063576,0.0058442093431949615
19843,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,22,-0.7216072454534502,0.042376935482025146
19844,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,23,-0.8368041233742738,0.01715146377682686
19845,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,23,-0.6782406312172613,0.07663542032241821
19846,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,24,-0.8225353110446991,0.0377240814268589
19847,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,24,-0.6147236552105931,0.1273273229598999
19848,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,25,-0.8006297287202092,0.07011301815509796
19849,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,25,-0.537094402386058,0.18952836096286774
19850,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,26,-0.7727814916159994,0.1116969883441925
19851,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,26,-0.4560959513646787,0.2544770836830139
19852,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,27,-0.7407934236911206,0.15968649089336395
19853,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,27,-0.3806861055043633,0.31486809253692627
19854,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,28,-0.7081805308812886,0.20864278078079224
19855,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,28,-0.31220446075621633,0.36960887908935547
19856,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,29,-0.6782922520842708,0.2533833086490631
19857,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,29,-0.25926904299019315,0.41167113184928894
19858,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,30,-0.6480239934681916,0.29871174693107605
19859,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,30,-0.20915840472715339,0.4514296352863312
19860,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,31,-0.6175239872252395,0.3443987965583801
19861,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,31,-0.16104930363018607,0.48955580592155457
19862,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,32,-0.5840047901571899,0.39475739002227783
19863,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,32,-0.10688077642627589,0.5326236486434937
19864,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,33,-0.5487570393137016,0.44779059290885925
19865,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,33,-0.04502431763326306,0.5819613337516785
19866,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,34,-0.5118479938963237,0.5033943057060242
19867,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,34,0.028814322282546816,0.6410709619522095
19868,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,35,-0.4742839224404909,0.5600115060806274
19869,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,35,0.11542549689282934,0.7105970978736877
19870,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,36,-0.4343129269118073,0.6203529238700867
19871,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,36,0.20557521029784515,0.7830091118812561
19872,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,37,-0.39531861511512745,0.6791831254959106
19873,JG069J,115,HEX,-inf,False,E19,0.0,HEX,JG073N_115,UNKNOWN,,21.897299,221,37,0.3008535246675012,0.8596036434173584
19874,JG069J,115,FAM,-inf,False,E19,0.0,FAM,JG073N_115,UNKNOWN,,24.039412,220,38,-0.35686314736843056,0.7371795773506165
