,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence
13440,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,1,-0.010430348077444487,0.0039147911593317986
13441,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,1,-0.0012336605203871677,0.0017790306592360139
13442,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,2,-0.00969587860766428,0.002795285079628229
13443,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,2,-0.0012176457419924066,0.0011955797672271729
13444,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,3,-0.008884784353906562,0.0018166244262829423
13445,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,3,-0.0012279438188417483,0.0005827735876664519
13446,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,4,-0.009011541137896444,-0.0008859217050485313
13447,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,4,-0.00018717021809264815,0.0011425695847719908
13448,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,5,-0.00812122794750857,-0.001718968152999878
13449,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,5,-0.00037057215482197523,0.0003366443270351738
13450,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,6,-0.0064794860143738186,-0.0011707961093634367
13451,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,6,-0.0011271001350382076,-0.0011086747981607914
