,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
222,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,40,0.8766258269079449,1.5366854667663574,0.8234930229539749
224,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,40,0.8634181769738966,1.513843297958374,0.8107928020747713
254,JG034,250,GC55 - FAM,7.0,False,K10,10000000.0,FAM,,STANDARD,,13.565527,254,40,0.8543364619800643,1.5277595520019531,0.750953500826402
256,JG034,251,GC55 - FAM,7.0,False,K11,10000000.0,FAM,,STANDARD,,13.547973,256,40,0.8381496830863545,1.5027360916137695,0.7385248771876975
286,JG034,274,GC55 - FAM,6.0,False,L10,1000000.0,FAM,,STANDARD,,17.191023,286,40,0.7544902279465318,1.3482327461242676,0.499047233105369
288,JG034,275,GC55 - FAM,6.0,False,L11,1000000.0,FAM,,STANDARD,,16.882715,288,40,0.7532824046582324,1.359304428100586,0.5102622797801262
318,JG034,298,GC55 - FAM,5.0,False,M10,100000.0,FAM,,STANDARD,,20.91469,318,40,0.5390692785854818,0.9704620838165283,0.05584047059303621
320,JG034,299,GC55 - FAM,5.0,False,M11,100000.0,FAM,,STANDARD,,20.528013,320,40,0.5616568008271489,1.0116616487503052,0.11653796628788732
350,JG034,322,GC55 - FAM,4.0,False,N10,10000.0,FAM,,STANDARD,,23.950245,350,40,0.34212049985803294,0.6109756231307983,-0.28275498594952664
352,JG034,323,GC55 - FAM,4.0,False,N11,10000.0,FAM,,STANDARD,,23.83321,352,40,0.35230214570999563,0.6295367479324341,-0.27338234185490373
382,JG034,346,GC55 - FAM,3.0,False,O10,1000.0,FAM,,STANDARD,,32.806778,382,40,0.064829644082783,0.11073312908411026,-0.6895039809130791
384,JG034,347,GC55 - FAM,3.0,False,O11,1000.0,FAM,,STANDARD,,30.969448,384,40,0.08166367825010006,0.1406385451555252,-0.6652496414262493
414,JG034,370,GC55 - FAM,2.0,False,P10,100.0,FAM,,STANDARD,,36.95776,414,40,0.03451923211346642,0.07139219343662262,-0.7231673201490574
416,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,40,0.03671219703169838,0.0643671452999115,-0.7266560019089411
