,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence
60660,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,1,-0.8683244778996053,0.0026059166993945837
60661,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,1,-0.8043470835078912,-0.004801302216947079
60662,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,2,-0.8680055937813783,0.0012840363197028637
60663,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,2,-0.8018180105474453,-0.0033230341505259275
60664,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,3,-0.8679840215288769,-0.0004978727083653212
60665,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,3,-0.8000153407818286,-0.002437176648527384
60666,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,4,-0.8673110057727107,-0.001271807705052197
60667,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,4,-0.8004680363637556,-0.003390659112483263
60668,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,5,-0.8671183578534968,-0.002789012622088194
60669,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,5,-0.7991428383832099,-0.0028941987548023462
60670,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,6,-0.8663590145654453,-0.0034293734934180975
60671,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,6,-0.7976297359239534,-0.002244495088234544
60672,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,7,-0.8641070640136899,-0.0017602331936359406
60673,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,7,-0.7928328729713193,0.001083245500922203
60674,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,8,-0.86154905712957,0.00038246592157520354
60675,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,8,-0.7893815990336769,0.0033136047422885895
60676,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,9,-0.8586182354959695,0.003102018730714917
60677,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,9,-0.7866111225364042,0.0049887471832334995
60678,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,10,-0.8579128998829305,0.002378092147409916
60679,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,10,-0.7868805180667534,0.0041847531683743
60680,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,11,-0.8557795967199332,0.0038636501412838697
60681,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,11,-0.7879360281723701,0.002739651594310999
60682,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,12,-0.8541076701073109,0.00463532330468297
60683,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,12,-0.7876350594273951,0.0024008124601095915
60684,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,13,-0.8541139876955435,0.0028102602809667587
60685,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,13,-0.7889894918659277,0.0007119279471226037
60686,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,14,-0.8537815053538647,0.0015094203408807516
60687,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,14,-0.7888704345357761,0.00022473273565992713
60688,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,15,-0.8537933700927405,-0.0003242255770601332
60689,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,15,-0.7893987011915993,-0.0007903808145783842
60690,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,16,-0.8536728736537681,-0.0019530699355527759
60691,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,16,-0.7892730661084005,-0.0012722115498036146
60692,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,17,-0.8526048545455484,-0.002115818904712796
60693,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,17,-0.7878061540927633,-0.0006601779605261981
60694,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,18,-0.8513810529567645,-0.002037526573985815
60695,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,18,-0.7880886320430617,-0.0014748410321772099
60696,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,19,-0.8499757362719326,-0.001678377273492515
60697,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,19,-0.7878749281551776,-0.0018848482286557555
60698,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,20,-0.8482503027687307,-0.0008239132585003972
60699,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,20,-0.78684368264969,-0.0016281178686767817
60700,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,21,-0.8446061329711622,0.0029993983916938305
60701,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,21,-0.7863562711489035,-0.0018149056704714894
60702,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,22,-0.8386345097380832,0.010423962958157063
60703,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,22,-0.7855359522577914,-0.001730194315314293
60704,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,23,-0.8282369536855344,0.024696743115782738
60705,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,23,-0.7841380335630032,-0.0011744274524971843
60706,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,24,-0.8090823728612936,0.05251920968294144
60707,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,24,-0.7830967021695101,-0.0009094715933315456
60708,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,25,-0.7751952148005761,0.1031372919678688
60709,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,25,-0.7798854431319401,0.001125146052800119
60710,JG069J,343,FAM,-inf,False,O7,0.0,FAM,JG073N_343,UNKNOWN,,23.650703,674,26,-0.7187507997804272,0.18865807354450226
60711,JG069J,343,HEX,-inf,False,O7,0.0,HEX,JG073N_343,UNKNOWN,,29.511545,675,26,-0.7762159339654255,0.0035334848798811436
