,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence
24960,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,1,-0.001654283039864883,-0.004380679223686457
24961,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,1,-0.0016656721904456744,0.001017891801893711
24962,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,2,-0.0014789831743623751,-0.004103955812752247
24963,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,2,-0.001523863264493066,0.0006687548011541367
24964,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,3,-0.0011677172829530945,-0.0035773105919361115
24965,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,3,-0.0013316859237559341,0.0003758100210689008
24966,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,4,-0.0007536743061368219,-0.002861748216673732
24967,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,4,-0.0005734883461257359,0.0007143317488953471
24968,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,5,-0.0004817098274151179,-0.002407343592494726
24969,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,5,-0.0003290726415004386,0.00047966541023924947
24970,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,6,-0.00012798089977284911,-0.001802645856514573
24971,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,6,0.00045004165253192453,0.0008415223564952612
24972,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,7,0.0001909377419617353,-0.0012619337067008018
24973,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,7,0.000620834789590981,0.0005247208173386753
24974,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,8,0.0002743721766524405,-0.0011540704872459173
24975,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,8,0.0006609184843054746,6.209653656696901e-05
24976,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,9,0.0008534843294473508,-0.0001350906677544117
24977,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,9,0.00020855108257589557,-0.0009499186999164522
24978,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,10,0.001212288068216357,0.00047893516602925956
24979,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,10,0.00029390090237783276,-0.0013620429672300816
24980,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,11,0.001312665562419652,0.0006179417832754552
24981,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,11,0.0016439106577520427,-0.00036328056012280285
24982,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,12,0.0016729285120557712,0.0012346499133855104
24983,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,12,0.001725440438670826,-0.0007796665304340422
24984,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,13,0.0020443138911901072,0.001871802262030542
24985,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,13,0.0018255094292742866,-0.0011753697181120515
24986,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,14,0.0018954095289282656,0.0015525982016697526
24987,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,14,0.0025943523600159314,-0.0008249717648141086
24988,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,15,0.0024581785200115105,0.002541537396609783
24989,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,15,0.0031746777075518577,-0.0006848888006061316
24990,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,16,0.0030994206288372764,0.0036747194826602936
24991,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,16,0.0037631774040265613,-0.0005356863257475197
24992,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,17,0.0033295706094891536,0.004052264150232077
24993,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,17,0.005240170060317362,0.0006047413917258382
24994,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,18,0.0032656247466014464,0.003889224026352167
24995,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,18,0.007907318537179622,0.0030729370191693306
24996,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,19,0.003254307755654281,0.0038229224737733603
24997,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,19,0.01436930165463465,0.009774746373295784
24998,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,20,0.0036263416729517784,0.004461267031729221
24999,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,20,0.025264252901079528,0.021422086283564568
25000,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,21,0.0031340849936582495,0.0035109391901642084
25001,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,21,0.04351475580093399,0.04127546772360802
25002,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,22,0.0021902187644473278,0.0017304974608123302
25003,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,22,0.07611579575008753,0.07713866978883743
25004,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,23,0.000915030601131361,-0.0006589547265321016
25005,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,23,0.12555858572830836,0.13179095089435577
25006,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,24,-0.0005112021003848794,-0.003326045349240303
25007,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,24,0.19185899358941877,0.20525002479553223
25008,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,25,-0.0014430217332150794,-0.005084344185888767
25009,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,25,0.27204270500272476,0.2941976487636566
25010,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,26,-0.0019387480916815217,-0.006041049491614103
25011,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,26,0.35716765006816975,0.3886578679084778
25012,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,27,-0.0014176801044895504,-0.005128762219101191
25013,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,27,0.4394651252346738,0.47996366024017334
25014,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,28,-0.0002801279528504973,-0.0030833007767796516
25015,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,28,0.5138761167701271,0.5624710917472839
25016,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,29,0.0022102099533267755,0.001448746887035668
25017,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,29,0.575901847693871,0.6311612725257874
25018,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,30,0.0058646252220164,0.008120511658489704
25019,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,30,0.6248337675769768,0.6852436065673828
25020,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,31,0.00987636880515384,0.015449090860784054
25021,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,31,0.6601497332025907,0.7241356372833252
25022,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,32,0.013798079077790406,0.022612176835536957
25023,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,32,0.6854851927637785,0.751893162727356
25024,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,33,0.01688379123120386,0.02823859639465809
25025,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,33,0.701915527276486,0.7697159051895142
25026,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,34,0.020302576371762894,0.034477245062589645
25027,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,34,0.7146273878559257,0.7833902835845947
25028,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,35,0.023413484232815165,0.04014997556805611
25029,JG034,371,GC55 - HEX,2.0,False,P11,100.0,HEX,,STANDARD,,20.933344,417,35,0.7273848217663772,0.7971154451370239
25030,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,36,0.02653877342763554,0.045849140733480453
