# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_1\data\JG034 TMCC1 Gen2 Competitors - 59C v3.eds
# Comment: NA
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2019-12-17 12:44:16 PM EST
# Run End Date/Time: 2019-12-17 02:02:51 PM EST
# Run Duration: 78 minutes 34 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 05:40:53 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 05:41:41 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"1.0E7","BP15 - FAM","2","1.0E7","0","13.394276191587544","0.01065733121010133","0.007535871168013684",
"1.0E7","BP160 - FAM","2","1.0E7","0","13.213250406019087","0.07102845959210095","0.05022470543480926",
"1.0E7","BP160 - HEX","2","1.0E7","0","19.767925266935485","0.22784722959363102","0.1611123211202247",
"1.0E7","BP200 - FAM","2","1.0E7","0","12.472416305003275","0.3338926214679571","0.23609773682814547",
"1.0E7","BP200 - HEX","2","1.0E7","0","18.89545674145655","0.2521295849705369","0.17828253927041646",
"1.0E7","BP240 - FAM","2","1.0E7","0","13.022910120302289","0.28890869137654296","0.20428929481608493",
"1.0E7","BP240 - HEX","2","1.0E7","0","19.65427960211848","0.6938426406795942","0.4906208363009221",
"1.0E7","BP30 - FAM","2","1.0E7","0","13.009995034263369","0.10140970228047223","0.0717074881606308",
"1.0E7","BP30 - HEX","2","1.0E7","0","19.988905679836193","0.09933167408651941","0.07023810033318993",
"1.0E7","BP40 - FAM","2","1.0E7","0","13.323900377794368","0.03327843969966274","0.023531410378939133",
"1.0E7","BP40 - HEX","2","1.0E7","0","18.87135858762843","0.016564969008651544","0.011713201916162506",
"1.0E7","BP55 - FAM","2","1.0E7","0","14.013533925213148","0.031360302005032294","0.022175082207816416",
"1.0E7","BP55 - HEX","2","1.0E7","0","19.904069871990288","0.5943614356705286","0.42027700163840265",
"1.0E7","GC15 - FAM","2","1.0E7","0","13.202054178838452","0.04604370202628586","0.03255781393371951",
"1.0E7","GC15 - HEX","2","1.0E7","0","21.338669992615614","0.9913330291986868","0.7009783073605931",
"1.0E7","GC25 - FAM","2","1.0E7","0","13.930560871215487","0.050494302692297675","0.03570486384500983",
"1.0E7","GC25 - HEX","2","1.0E7","0","19.635361611244168","0.3506125009926938","0.2479204770207089",
"1.0E7","GC35 - FAM","2","1.0E7","0","13.694598140860911","0.4732584190954491","0.3346442373960171",
"1.0E7","GC35 - HEX","2","1.0E7","0","","","",
"1.0E7","GC55 - FAM","2","1.0E7","0","13.556746170478316","0.012413166934234181","0.008777434515197616",
"1.0E7","GC55 - HEX","2","1.0E7","0","20.76810551366659","0.13988604232107305","0.09891436911857912",
"1.0E7","GC65 - FAM","2","1.0E7","0","13.339720398904356","0.09154717016292671","0.06473362482064425",
"1.0E7","GC65 - HEX","2","1.0E7","0","20.168576426247405","0.891299609413206","0.6302439978849991",
"1.0E7","GC75 - FAM","2","1.0E7","0","13.77352461690752","0.04444830922459572","0.031429700864988204",
"1.0E7","GC75 - HEX","2","1.0E7","0","","","",
"1.0E7","GC80 - FAM","2","1.0E7","0","14.03082504550043","0.1557967026193602","0.11016490490865355",
"1.0E7","GC80 - HEX","2","1.0E7","0","22.05637875664823","","",
"1.0E7","GC85 - FAM","2","1.0E7","0","14.409141030406541","0.044585254214732487","0.03152653559616344",
"1.0E7","GC85 - HEX","2","1.0E7","0","20.511658422636494","","",
"1.0E7","ISO - FAM","2","1.0E7","0","13.180925608800623","0.03964571550324946","0.02803375427734033",
"1.0E7","ISO - HEX","2","1.0E7","0","19.08479495598861","0.06299704969419047","0.044545641033508",
"1.0E8","BP15 - FAM","2","1.0E8","0","10.088315060869567","0.013603282041253984","0.009618972977763872",
"1.0E8","BP160 - FAM","2","1.0E8","0","10.056501363016418","0.20841525586060897","0.14737184072176593",
"1.0E8","BP160 - HEX","2","1.0E8","0","","","",
"1.0E8","BP200 - FAM","2","1.0E8","0","11.820961508371827","0.7357867104396724","0.5202797724588349",
"1.0E8","BP200 - HEX","2","1.0E8","0","18.975291037096632","0.19865848008825113","0.1404727584106151",
"1.0E8","BP240 - FAM","2","1.0E8","0","9.941734271683456","0.10426753424839551","0.07372828052464105",
"1.0E8","BP240 - HEX","2","1.0E8","0","18.454261867784993","0.7118149515085268","0.5033291791616528",
"1.0E8","BP30 - FAM","2","1.0E8","0","9.494520700670092","0.16707133459123963","0.11813727363135214",
"1.0E8","BP30 - HEX","2","1.0E8","0","","","",
"1.0E8","BP40 - FAM","2","1.0E8","0","10.04841846324783","0.08198867767380891","0.057974749963668366",
"1.0E8","BP40 - HEX","2","1.0E8","0","","","",
"1.0E8","BP55 - FAM","2","1.0E8","0","10.70088483031152","0.06680686167902425","0.047239584923029744",
"1.0E8","BP55 - HEX","2","1.0E8","0","","","",
"1.0E8","GC15 - FAM","2","1.0E8","0","9.93615672358184","0.03680654282511371","0.02602615602367097",
"1.0E8","GC15 - HEX","2","1.0E8","0","27.49152897241612","","",
"1.0E8","GC25 - FAM","2","1.0E8","0","10.639220803283916","0.03259008582273906","0.023044670684710354",
"1.0E8","GC25 - HEX","2","1.0E8","0","18.648493512874683","","",
"1.0E8","GC35 - FAM","2","1.0E8","0","10.812172104154984","0.018414395806689438","0.013020944146363225",
"1.0E8","GC35 - HEX","2","1.0E8","0","","","",
"1.0E8","GC55 - FAM","2","1.0E8","0","10.247325466606934","0.0061902146825913","0.00437714277906084",
