# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_1\data\JG034 TMCC1 Gen2 Competitors - 59C v3.eds
# Comment: NA
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2019-12-17 12:44:16 PM EST
# Run End Date/Time: 2019-12-17 02:02:51 PM EST
# Run Duration: 78 minutes 34 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 05:40:53 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 05:41:41 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","1.0E8","1.0E8","ISO - FAM","FAM","STANDARD","FAM","NFQ-MGB","Amp","9.559678127192996","9.7599343830541","0.8122756649126026","0.2832051129888211","","","true","0.03999999910593033","true","3","7","","","","","43.475","0.909534962244733","-4.3556","69.66352186677457","2.8184531731161866","0.41417535599190164","false"
"1","A1","1.0E8","1.0E8","ISO - HEX","HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","16.883295586651254","16.996972687811258","0.29960415395921536","0.1607636981922542","","","true","0.03999999910593033","true","3","11","","","","","22.2124","0.6811314163011684","-0.5006","9845.195099885235","0.7399159314719275","0.09887542537798791","false"
"2","A2","1.0E8","1.0E8","ISO - FAM","FAM","STANDARD","FAM","NFQ-MGB","Amp","9.960190638915204","9.7599343830541","0.8197662337594972","0.2832051129888211","","","true","0.03999999910593033","true","3","7","","","","","43.475","0.909534962244733","-4.3556","69.66352186677457","2.8184531731161866","0.41417535599190164","false"
"2","A2","1.0E8","1.0E8","ISO - HEX","HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","17.110649788971266","16.996972687811258","0.3149183078365857","0.1607636981922542","","","true","0.03999999910593033","true","3","10","","","","","22.2124","0.6811314163011684","-0.5006","9845.195099885235","0.7399159314719275","0.09887542537798791","false"
"4","A4","1.0E8","1.0E8","BP15 - FAM","FAM","STANDARD","FAM","NFQ-MGB","Amp","10.097934033847643","10.088315060869567","0.9245062690355401","0.013603282041253984","","","true","0.0504887809435339","true","3","7","","","","","38.076","0.995902221299735","-3.5208","92.32114552120849","0.3570887933439888","0.07984748159205333","false"
"5","A5","1.0E8","1.0E8","BP15 - FAM","FAM","STANDARD","FAM","NFQ-MGB","Amp","10.07869608789149","10.088315060869567","0.9240642974430621","0.013603282041253984","","","true","0.0504887809435339","true","3","7","","","","","38.076","0.995902221299735","-3.5208","92.32114552120849","0.3570887933439888","0.07984748159205333","false"
"7","A7","1.0E8","1.0E8","BP30 - HEX","HEX","STANDARD","HEX","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","59","","","","","19.6034","0.028261257677410095","0.0688","-99.99999999999972","0.7546730010042377","0.12756301954549393","false"
"7","A7","1.0E8","1.0E8","BP30 - FAM","FAM","STANDARD","FAM","NFQ-MGB","Amp","9.376383427038697","9.494520700670092","0.7281548137598788","0.16707133459123963","","","true","0.042447657773235045","true","3","6","","","","","43.8318","0.9087040863179267","-4.4466","67.83835618105998","2.494050158532578","0.4698082935247583","false"
"8","A8","1.0E8","1.0E8","BP30 - HEX","HEX","STANDARD","HEX","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","59","","","","","19.6034","0.028261257677410095","0.0688","-99.99999999999972","0.7546730010042377","0.12756301954549393","false"
"8","A8","1.0E8","1.0E8","BP30 - FAM","FAM","STANDARD","FAM","NFQ-MGB","Amp","9.612657974301488","9.494520700670092","0.7349319852761548","0.16707133459123963","","","true","0.042447657773235045","true","3","6","","","","","43.8318","0.9087040863179267","-4.4466","67.83835618105998","2.494050158532578","0.4698082935247583","false"
