# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_1\data\JG069J Final TB Experiment.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-06-03 11:22:39 AM EDT
# Run End Date/Time: 2022-06-03 01:18:23 PM EDT
# Run Duration: 115 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 05:43:07 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 05:43:20 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG073N_001","FAM","1","-","0","23.833895591294436","","",
"JG073N_001","HEX","1","-","0","21.810916396052193","","",
"JG073N_002","FAM","1","-","0","24.744983474582405","","",
"JG073N_002","HEX","1","-","0","21.852482472678986","","",
"JG073N_003","FAM","1","-","0","25.738151221242006","","",
"JG073N_003","HEX","1","-","0","21.666706333442534","","",
"JG073N_004","FAM","1","-","0","25.750973816477057","","",
"JG073N_004","HEX","1","-","0","21.916202176786406","","",
"JG073N_005","FAM","1","-","0","25.933267415468265","","",
"JG073N_005","HEX","1","-","0","21.908242564291818","","",
"JG073N_006","FAM","1","-","0","24.013775105263406","","",
"JG073N_006","HEX","1","-","0","21.838611639420932","","",
"JG073N_007","FAM","1","-","0","24.902937724397702","","",
"JG073N_007","HEX","1","-","0","21.802407598717252","","",
"JG073N_008","FAM","1","-","0","25.949453015039275","","",
"JG073N_008","HEX","1","-","0","21.65954306220555","","",
"JG073N_009","FAM","1","-","0","25.793858498918212","","",
"JG073N_009","HEX","1","-","0","21.405206610145434","","",
"JG073N_010","FAM","1","-","0","25.911905215811597","","",
"JG073N_010","HEX","1","-","0","21.80080829423992","","",
"JG073N_011","FAM","1","-","0","23.741663666911833","","",
"JG073N_011","HEX","1","-","0","21.569038710693484","","",
"JG073N_012","FAM","1","-","0","24.68202901992167","","",
"JG073N_012","HEX","1","-","0","21.60057800749147","","",
"JG073N_013","FAM","1","-","0","24.028459742697983","","",
"JG073N_013","HEX","1","-","0","21.651633656531573","","",
"JG073N_014","FAM","1","-","0","24.081802295116265","","",
"JG073N_014","HEX","1","-","0","21.901027172068062","","",
"JG073N_015","FAM","1","-","0","24.243519645969734","","",
"JG073N_015","HEX","1","-","0","21.63494311594875","","",
"JG073N_016","FAM","1","-","0","23.556906752185476","","",
"JG073N_016","HEX","1","-","0","21.80045118216121","","",
"JG073N_017","FAM","1","-","0","23.963695088675845","","",
"JG073N_017","HEX","1","-","0","21.881424342628627","","",
"JG073N_018","FAM","1","-","0","24.231480819405405","","",
"JG073N_018","HEX","1","-","0","21.770598188385264","","",
"JG073N_019","FAM","1","-","0","24.048028534956934","","",
"JG073N_019","HEX","1","-","0","21.86146192212685","","",
"JG073N_020","FAM","1","-","0","24.44975027249845","","",
"JG073N_020","HEX","1","-","0","21.980842317323244","","",
"JG073N_021","FAM","1","-","0","23.39065350541287","","",
"JG073N_021","HEX","1","-","0","21.670914025119515","","",
"JG073N_022","FAM","1","-","0","23.921567272084815","","",
"JG073N_022","HEX","1","-","0","21.90859910860474","","",
"JG073N_023","FAM","1","-","0","23.969988100683224","","",
"JG073N_023","HEX","1","-","0","21.930090787995304","","",
"JG073N_024","FAM","1","-","0","24.263473243264478","","",
"JG073N_024","HEX","1","-","0","22.061287810486263","","",
"JG073N_025","FAM","1","-","0","23.281009943292133","","",
"JG073N_025","HEX","1","-","0","22.08357950667729","","",
"JG073N_026","FAM","1","-","0","23.811952068939533","","",
"JG073N_026","HEX","1","-","0","22.117190181458746","","",
"JG073N_027","FAM","1","-","0","23.95261262880389","","",
"JG073N_027","HEX","1","-","0","21.97809311980705","","",
"JG073N_028","FAM","1","-","0","24.293219273778632","","",
"JG073N_028","HEX","1","-","0","21.974001207280537","","",
"JG073N_029","FAM","1","-","0","24.09161013970477","","",
"JG073N_029","HEX","1","-","0","22.00185745983009","","",
"JG073N_030","FAM","1","-","0","23.357520480705","","",
"JG073N_030","HEX","1","-","0","21.8585394135875","","",
"JG073N_031","FAM","1","-","0","23.797374166022514","","",
"JG073N_031","HEX","1","-","0","21.89905465030253","","",
"JG073N_032","FAM","1","-","0","23.948081599646976","","",
"JG073N_032","HEX","1","-","0","21.92129715617198","","",
"JG073N_033","FAM","1","-","0","23.94698420032644","","",
"JG073N_033","HEX","1","-","0","21.88673520329489","","",
"JG073N_034","FAM","1","-","0","24.009017091923297","","",
"JG073N_034","HEX","1","-","0","21.95618428968983","","",
"JG073N_035","FAM","1","-","0","23.431792486966586","","",
"JG073N_035","HEX","1","-","0","21.881710836554973","","",
"JG073N_036","FAM","1","-","0","23.845831923359093","","",
"JG073N_036","HEX","1","-","0","21.884215402323377","","",
"JG073N_037","FAM","1","-","0","24.23777653399047","","",
"JG073N_037","HEX","1","-","0","21.762892141562077","","",
"JG073N_038","FAM","1","-","0","24.18728368154956","","",
"JG073N_038","HEX","1","-","0","21.832020191282382","","",
"JG073N_039","FAM","1","-","0","24.184659597697284","","",
"JG073N_039","HEX","1","-","0","21.926720672296867","","",
"JG073N_040","FAM","1","-","0","23.407069839084343","","",
"JG073N_040","HEX","1","-","0","21.92392726891773","","",
"JG073N_041","FAM","1","-","0","23.93051457527568","","",
"JG073N_041","HEX","1","-","0","21.956779252049593","","",
"JG073N_042","FAM","1","-","0","24.042066308264253","","",
"JG073N_042","HEX","1","-","0","21.80888090860782","","",
"JG073N_043","FAM","1","-","0","24.172812864769874","","",
"JG073N_043","HEX","1","-","0","21.92569953308005","","",
"JG073N_044","FAM","1","-","0","24.262449795224224","","",
"JG073N_044","HEX","1","-","0","21.983122870154972","","",
"JG073N_045","FAM","1","-","0","23.43800714452002","","",
"JG073N_045","HEX","1","-","0","22.030585107474522","","",
"JG073N_046","FAM","1","-","0","23.913726497439924","","",
"JG073N_046","HEX","1","-","0","22.101210499932577","","",
"JG073N_047","FAM","1","-","0","24.150475451018508","","",
"JG073N_047","HEX","1","-","0","21.966685190548006","","",
"JG073N_048","FAM","1","-","0","24.37366227086543","","",
"JG073N_048","HEX","1","-","0","22.09143914693648","","",
"JG073N_049","FAM","1","-","0","23.476496940455213","","",
"JG073N_049","HEX","1","-","0","22.200904817063666","","",
"JG073N_050","FAM","1","-","0","23.667753990711233","","",
"JG073N_050","HEX","1","-","0","22.144832761724246","","",
"JG073N_051","FAM","1","-","0","23.947518751106244","","",
"JG073N_051","HEX","1","-","0","22.1106066802772","","",
"JG073N_052","FAM","1","-","0","24.053729285122074","","",
"JG073N_052","HEX","1","-","0","22.00479586868196","","",
"JG073N_053","FAM","1","-","0","24.0356343417629","","",
"JG073N_053","HEX","1","-","0","22.133250462337188","","",
"JG073N_054","FAM","1","-","0","23.411592483151068","","",
"JG073N_054","HEX","1","-","0","21.9774530303197","","",
"JG073N_055","FAM","1","-","0","23.91686555304785","","",
"JG073N_055","HEX","1","-","0","21.942895023754673","","",
"JG073N_056","FAM","1","-","0","23.981830825466197","","",
"JG073N_056","HEX","1","-","0","21.862401036904238","","",
"JG073N_057","FAM","1","-","0","24.01152627535337","","",
"JG073N_057","HEX","1","-","0","21.86754599974553","","",
"JG073N_058","FAM","1","-","0","24.20828063394329","","",
"JG073N_058","HEX","1","-","0","22.13677270138041","","",
"JG073N_059","FAM","1","-","0","23.382060861909245","","",
"JG073N_059","HEX","1","-","0","21.88358310821102","","",
"JG073N_060","FAM","1","-","0","23.923858179384965","","",
"JG073N_060","HEX","1","-","0","22.007644933980544","","",
"JG073N_061","FAM","1","-","0","24.001151054666828","","",
