# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_1\data\JG069J Final TB Experiment.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-06-03 11:22:39 AM EDT
# Run End Date/Time: 2022-06-03 01:18:23 PM EDT
# Run Duration: 115 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 05:43:07 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 05:43:20 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","JG073N_001","","FAM","FAM","UNKNOWN","FAM","None","Amp","23.833895591294436","23.833895591294436","0.35548030262541636","","","0.0","true","0.03999999910593033","true","3","21","","","","","","","","","","","false"
"1","A1","JG073N_001","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.810916396052193","21.810916396052193","0.5669827376845704","","","0.0","true","0.03999999910593033","true","3","18","","","","","","","","","","","false"
"2","A2","JG073N_002","","FAM","FAM","UNKNOWN","FAM","None","Amp","24.744983474582405","24.744983474582405","0.3144991844556136","","","0.0","true","0.03999999910593033","true","3","22","","","","","","","","","","","false"
"2","A2","JG073N_002","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.852482472678986","21.852482472678986","0.5975320579433926","","","0.0","true","0.03999999910593033","true","3","19","","","","","","","","","","","false"
"3","A3","JG073N_003","","FAM","FAM","UNKNOWN","FAM","None","Amp","25.738151221242006","25.738151221242006","0.27009303624841263","","","0.0","true","0.03999999910593033","true","3","23","","","","","","","","","","","false"
"3","A3","JG073N_003","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.666706333442534","21.666706333442534","0.5660903274730006","","","0.0","true","0.03999999910593033","true","3","19","","","","","","","","","","","false"
"4","A4","JG073N_004","","FAM","FAM","UNKNOWN","FAM","None","Amp","25.750973816477057","25.750973816477057","0.20452201550696356","","","0.0","true","0.03999999910593033","true","3","22","","","","","","","","","","","false"
"4","A4","JG073N_004","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.916202176786406","21.916202176786406","0.5792500238529278","","","0.0","true","0.03999999910593033","true","3","19","","","","","","","","","","","false"
"5","A5","JG073N_005","","FAM","FAM","UNKNOWN","FAM","None","Amp","25.933267415468265","25.933267415468265","0.18202434077393004","","","0.0","true","0.03999999910593033","true","3","23","","","","","","","","","","","false"
"5","A5","JG073N_005","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.908242564291818","21.908242564291818","0.5844925291142715","","","0.0","true","0.03999999910593033","true","3","19","","","","","","","","","","","false"
"6","A6","JG073N_006","","FAM","FAM","UNKNOWN","FAM","None","Amp","24.013775105263406","24.013775105263406","0.38801891642827296","","","0.0","true","0.03999999910593033","true","3","21","","","","","","","","","","","false"
"6","A6","JG073N_006","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.838611639420932","21.838611639420932","0.575351985477145","","","0.0","true","0.03999999910593033","true","3","19","","","","","","","","","","","false"
"7","A7","JG073N_007","","FAM","FAM","UNKNOWN","FAM","None","Amp","24.902937724397702","24.902937724397702","0.31959844885118127","","","0.0","true","0.03999999910593033","true","3","22","","","","","","","","","","","false"
"7","A7","JG073N_007","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.802407598717252","21.802407598717252","0.5820288897284724","","","0.0","true","0.03999999910593033","true","3","19","","","","","","","","","","","false"
"8","A8","JG073N_008","","FAM","FAM","UNKNOWN","FAM","None","Amp","25.949453015039275","25.949453015039275","0.24955196042579864","","","0.0","true","0.03999999910593033","true","3","23","","","","","","","","","","","false"
"8","A8","JG073N_008","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.65954306220555","21.65954306220555","0.5561674894039937","","","0.0","true","0.03999999910593033","true","3","18","","","","","","","","","","","false"
"9","A9","JG073N_009","","FAM","FAM","UNKNOWN","FAM","None","Amp","25.793858498918212","25.793858498918212","0.20314417897959444","","","0.0","true","0.03999999910593033","true","3","23","","","","","","","","","","","false"
"9","A9","JG073N_009","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.405206610145434","21.405206610145434","0.5369219799112481","","","0.0","true","0.03999999910593033","true","3","18","","","","","","","","","","","false"
"10","A10","JG073N_010","","FAM","FAM","UNKNOWN","FAM","None","Amp","25.911905215811597","25.911905215811597","0.17134244533902215","","","0.0","true","0.03999999910593033","true","3","23","","","","","","","","","","","false"
"10","A10","JG073N_010","","HEX","HEX","UNKNOWN","HEX","None","Amp","21.80080829423992","21.80080829423992","0.5643680832291949","","","0.0","true","0.03999999910593033","true","3","19","","","","","","","","","","","false"
"11","A11","JG073N_011","","FAM","FAM","UNKNOWN","FAM","None","Amp","23.741663666911833","23.741663666911833","0.3497917311888975","","","0.0","true","0.03999999910593033","true","3","20","","","","","","","","","","","false"
