# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","BP160_GC10","0.23615464568138123","-0.013439213236173003","1.0E8","false"
"1","A1","2","BP160_GC10","0.23931825160980225","-0.010275607307751983","1.0E8","false"
"1","A1","3","BP160_GC10","0.24282954633235931","-0.006764312585194915","1.0E8","false"
"1","A1","4","BP160_GC10","0.24794653058052063","-0.001647328337033599","1.0E8","false"
"1","A1","5","BP160_GC10","0.2580054998397827","0.008411640922228486","1.0E8","false"
"1","A1","6","BP160_GC10","0.27243319153785706","0.022839332620302827","1.0E8","false"
"1","A1","7","BP160_GC10","0.29640254378318787","0.04680868486563364","1.0E8","false"
"1","A1","8","BP160_GC10","0.3398761749267578","0.09028231600920358","1.0E8","false"
"1","A1","9","BP160_GC10","0.4119025766849518","0.16230871776739755","1.0E8","false"
"1","A1","10","BP160_GC10","0.5263444185256958","0.27675055960814154","1.0E8","false"
"1","A1","11","BP160_GC10","0.6895062327384949","0.4399123738209406","1.0E8","false"
"1","A1","12","BP160_GC10","0.8950266242027283","0.645432765285174","1.0E8","false"
"1","A1","13","BP160_GC10","1.1145647764205933","0.864970917503039","1.0E8","false"
"1","A1","14","BP160_GC10","1.3114312887191772","1.061837429801623","1.0E8","false"
"1","A1","15","BP160_GC10","1.4604997634887695","1.2109059045712154","1.0E8","false"
"1","A1","16","BP160_GC10","1.5694115161895752","1.319817657272021","1.0E8","false"
"1","A1","17","BP160_GC10","1.641035795211792","1.3914419362942378","1.0E8","false"
"1","A1","18","BP160_GC10","1.6803058385849","1.4307119796673458","1.0E8","false"
"1","A1","19","BP160_GC10","1.7087616920471191","1.459167833129565","1.0E8","false"
"1","A1","20","BP160_GC10","1.7293813228607178","1.4797874639431636","1.0E8","false"
"1","A1","21","BP160_GC10","1.7414648532867432","1.491870994369189","1.0E8","false"
"1","A1","22","BP160_GC10","1.753387689590454","1.5037938306729","1.0E8","false"
"1","A1","23","BP160_GC10","1.7662947177886963","1.5167008588711421","1.0E8","false"
"1","A1","24","BP160_GC10","1.774478793144226","1.524884934226672","1.0E8","false"
"1","A1","25","BP160_GC10","1.7780617475509644","1.5284678886334102","1.0E8","false"
"1","A1","26","BP160_GC10","1.7835930585861206","1.5339991996685665","1.0E8","false"
"1","A1","27","BP160_GC10","1.7864972352981567","1.5369033763806026","1.0E8","false"
"1","A1","28","BP160_GC10","1.7899507284164429","1.5403568694988887","1.0E8","false"
"1","A1","29","BP160_GC10","1.7940994501113892","1.544505591193835","1.0E8","false"
"1","A1","30","BP160_GC10","1.799491286277771","1.5498974273602169","1.0E8","false"
"1","A1","31","BP160_GC10","1.8035627603530884","1.5539689014355342","1.0E8","false"
"1","A1","32","BP160_GC10","1.8061562776565552","1.556562418739001","1.0E8","false"
"1","A1","33","BP160_GC10","1.806488037109375","1.5568941781918209","1.0E8","false"
"1","A1","34","BP160_GC10","1.811111569404602","1.561517710487048","1.0E8","false"
"1","A1","35","BP160_GC10","1.8126095533370972","1.563015694419543","1.0E8","false"
"1","A1","36","BP160_GC10","1.8152562379837036","1.5656623790661495","1.0E8","false"
"1","A1","37","BP160_GC10","1.8183635473251343","1.5687696884075801","1.0E8","false"
"1","A1","38","BP160_GC10","1.818979263305664","1.56938540438811","1.0E8","false"
"1","A1","39","BP160_GC10","1.8212581872940063","1.5716643283764522","1.0E8","false"
"1","A1","40","BP160_GC10","1.8257274627685547","1.5761336038510005","1.0E8","false"
"1","A1","41","BP160_GC10","1.8282499313354492","1.578656072417895","1.0E8","false"
"1","A1","42","BP160_GC10","1.826209306716919","1.5766154477993648","1.0E8","false"
"1","A1","43","BP160_GC10","1.8262025117874146","1.5766086528698604","1.0E8","false"
"1","A1","44","BP160_GC10","1.8322858810424805","1.5826920221249263","1.0E8","false"
"1","A1","45","BP160_GC10","1.8332784175872803","1.5836845586697261","1.0E8","false"
"1","A1","46","BP160_GC10","1.836508870124817","1.5869150112072627","1.0E8","false"
"1","A1","47","BP160_GC10","1.8374801874160767","1.5878863284985225","1.0E8","false"
"1","A1","48","BP160_GC10","1.8402739763259888","1.5906801174084346","1.0E8","false"
"1","A1","49","BP160_GC10","1.8389908075332642","1.58939694861571","1.0E8","false"
"1","A1","50","BP160_GC10","1.8370715379714966","1.5874776790539424","1.0E8","false"
"1","A1","51","BP160_GC10","1.8416978120803833","1.5921039531628292","1.0E8","false"
"1","A1","52","BP160_GC10","1.843428373336792","1.5938345144192378","1.0E8","false"
"1","A1","53","BP160_GC10","1.845870852470398","1.5962769935528438","1.0E8","false"
"1","A1","54","BP160_GC10","1.8448436260223389","1.5952497671047847","1.0E8","false"
"1","A1","55","BP160_GC10","1.8453266620635986","1.5957328031460445","1.0E8","false"
"1","A1","56","BP160_GC10","1.8461650609970093","1.5965712020794551","1.0E8","false"
"1","A1","57","BP160_GC10","1.85086190700531","1.601268048087756","1.0E8","false"
"1","A1","58","BP160_GC10","1.8530279397964478","1.6034340808788936","1.0E8","false"
"1","A1","59","BP160_GC10","1.8557077646255493","1.6061139057079952","1.0E8","false"
"1","A1","60","BP160_GC10","1.85663902759552","1.6070451686779659","1.0E8","false"
"1","A1","61","BP160_GC10","1.8593772649765015","1.6097834060589473","1.0E8","false"
"1","A1","62","BP160_GC10","1.8624190092086792","1.612825150291125","1.0E8","false"
"1","A1","63","BP160_GC10","1.8713934421539307","1.6217995832363765","1.0E8","false"
"1","A1","64","BP160_GC10","1.8814795017242432","1.631885642806689","1.0E8","false"
