# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"1.0E7","BP160_GC10","2","1.0E7","0","13.166260531814773","0.4156805041131613","0.2939305032654589",
"1.0E7","BP160_GC20","2","1.0E7","0","14.764274829121426","0.47776781818170316","0.3378328640689838",
"1.0E7","BP160_GC60","2","1.0E7","0","66.4221869505543","1.2650940605748717","0.8945565890713166",
"1.0E7","BP160_GC80","2","1.0E7","0","83.38148191995413","0.4582686779700503","0.3240448897980167",
"1.0E7","BP280_GC30","2","1.0E7","0","15.069690621579838","","",
"1.0E7","BP280_GC70","2","1.0E7","0","47.63106361067811","43.916111628308336","31.053380335722217",
"1.0E7","BP30_GC30","2","1.0E7","0","50.84634692350959","0.33925072937103157","0.23988649126073866",
"1.0E7","BP30_GC70","2","1.0E7","0","51.75375887710044","0.8232743794461704","0.5821428964835339",
"1.0E7","BP500_GC40","2","1.0E7","0","35.988562065243855","26.80996485882379","18.95750795504734",
"1.0E7","BP500_GC60","2","1.0E7","0","16.45562762817355","0.26423230341257387","0.18684045355157228",
"1.0E7","BP50_GC25","2","1.0E7","0","13.93275629048505","0.17177682230685468","0.12146455590385354",
"1.0E7","BP50_GC60","2","1.0E7","0","48.70744077625933","0.5482487167930197","0.3876703854211672",
"1.0E7","BP50_GC75","2","1.0E7","0","68.9387484011236","0.5998253119944926","0.4241405456386423",
"1.0E8","BP160_GC10","2","1.0E8","0","9.297658533292953","0.3435214319655172","0.24290633402573045",
"1.0E8","BP160_GC20","2","1.0E8","0","11.266443909562692","0.46492380282909","0.3287507737154869",
"1.0E8","BP160_GC60","2","1.0E8","0","58.42752910984981","","",
"1.0E8","BP160_GC80","2","1.0E8","0","76.22183397651392","0.07746703632646816","0.05477746670487025",
"1.0E8","BP280_GC30","2","1.0E8","0","45.70994741856867","47.000594856428265","33.23443934278199",
"1.0E8","BP280_GC70","2","1.0E8","0","40.188126233230015","39.89227185750864","28.208095947381626",
"1.0E8","BP30_GC30","2","1.0E8","0","47.21158536558856","0.3165381836184249","0.22382629614106075",
"1.0E8","BP30_GC70","2","1.0E8","0","47.124139692504215","0.3937194126272756","0.278401666553531",
"1.0E8","BP500_GC40","2","1.0E8","0","14.580906702354989","","",
"1.0E8","BP500_GC60","2","1.0E8","0","12.761049189394136","0.3080287347655982","0.21780920715306692",
"1.0E8","BP50_GC25","2","1.0E8","0","10.598565671176098","0.2231712756406873","0.15780592237158217",
"1.0E8","BP50_GC60","2","1.0E8","0","45.478730750787065","0.06489994725693186","0.045891192804025795",
"1.0E8","BP50_GC75","2","1.0E8","0","62.38998114636968","0.5748787790471753","0.4065006830245006",
"100.0","BP160_GC10","2","100.0","0","28.915874950091744","0.5624423825818486","0.3977068227503437",
"100.0","BP160_GC20","2","100.0","0","29.616637639692538","0.8632090087054576","0.6103809436369465",
"100.0","BP160_GC60","2","100.0","0","27.564853404216542","0.9099506934387427","0.6434323058759361",
"100.0","BP160_GC80","2","100.0","0","63.98220746375364","","",
