# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
,"NTC","2","-","0","","","",
"1.0E7","BP160_GC10","2","1.0E7","0","16.099545442449305","1.5727736316432825","1.1121189002063583",
"1.0E7","BP160_GC20","2","1.0E7","0","17.892862545930022","1.4428959995950916","1.0202815458606311",
"1.0E7","BP160_GC60","2","1.0E7","0","15.169099025156816","0.611626114030248","0.43248497278156495",
"1.0E7","BP160_GC80","2","1.0E7","0","23.496074385108557","1.0597634126273594","0.749365895522203",
"1.0E7","BP280_GC30","2","1.0E7","0","19.720365569009694","3.568816302717851","2.523534208460895",
"1.0E7","BP280_GC70","2","1.0E7","0","17.744288539176022","0.34298241838262716","0.24252519386611723",
"1.0E7","BP500_GC40","2","1.0E7","0","21.703834036180975","0.14167020279596754","0.10017596108910203",
"1.0E7","BP500_GC60","2","1.0E7","0","20.87642484462431","0.2993245626241856","0.21165442800725903",
"1.0E7","BP50_GC25","2","1.0E7","0","14.943324146120796","0.1391715813519335","0.09840916892240743",
"1.0E7","BP50_GC60","2","1.0E7","0","15.150473874065712","0.708523560142168","0.5010018140069616",
"1.0E7","BP50_GC75","2","1.0E7","0","18.12989267192689","3.8476715269615256","2.7207146284928925",
"1.0E8","BP160_GC10","2","1.0E8","0","12.083375390953229","0.2213586730967505","0.15652421882116846",
"1.0E8","BP160_GC20","2","1.0E8","0","12.434793217582325","0.752868739798219","0.532358591254691",
"1.0E8","BP160_GC60","2","1.0E8","0","11.146875282970374","0.34534590594032194","0.24419643194541324",
"1.0E8","BP160_GC80","2","1.0E8","0","17.355305062909885","","",
"1.0E8","BP280_GC30","2","1.0E8","0","13.538362384441282","0.26841072873385047","0.18979504643092857",
"1.0E8","BP280_GC70","2","1.0E8","0","13.406397548529611","0.5155283277795843","0.36453357646670526",
"1.0E8","BP500_GC40","1","1.0E8","0","15.910300035103038","","",
"1.0E8","BP500_GC60","2","1.0E8","0","47.66408034472681","44.57850426461017","31.521762660659274",
"1.0E8","BP50_GC25","2","1.0E8","0","11.222594986160614","0.015060346027047032","0.010649272802740835",
"1.0E8","BP50_GC60","2","1.0E8","0","11.188735026431104","0.2730658707340307","0.1930867289066423",
"1.0E8","BP50_GC75","2","1.0E8","0","12.940443052708282","0.6393801989708601","0.45211007444869916",
"100.0","BP160_GC10","2","100.0","0","34.479047570502026","1.8916918233329227","1.3376281161938541",
"100.0","BP160_GC20","2","100.0","0","32.72505446986641","0.22780185790021634","0.16108023848813727",
"100.0","BP160_GC60","2","100.0","0","29.514673238283393","2.933169477977039","2.07406402824697",
"100.0","BP160_GC80","1","100.0","0","","","",
"100.0","BP280_GC30","2","100.0","0","37.207228778761824","5.539129447152799","3.916755993951836",
"100.0","BP280_GC70","2","100.0","0","34.31754951133355","0.974524821801391","0.6890931099303753",
"100.0","BP500_GC40","1","100.0","0","48.05308729866991","","",
"100.0","BP50_GC25","2","100.0","0","25.72463995892479","0.12454143220139874","0.0880640912482937",
"100.0","BP50_GC60","2","100.0","0","25.82933627896515","0.14479266425798692","0.1023838747628896",
"100.0","BP50_GC75","2","100.0","0","32.055235944670926","0.4581202135035958","0.3239399095670215",
"1000.0","BP160_GC10","2","1000.0","0","31.659366286635585","0.5268697286635959","0.372553157939945",
"1000.0","BP160_GC20","2","1000.0","0","30.232928257130272","0.36554269616641477","0.25847771927248564",
"1000.0","BP160_GC60","2","1000.0","0","26.817350944655256","0.46117278594180755","0.32609840423814423",
"1000.0","BP280_GC30","2","1000.0","0","32.4029003424285","0.7008397964233106","0.49556857257632236",
"1000.0","BP280_GC70","2","1000.0","0","32.30893182774813","0.7205517535608651","0.5095070311387457",
"1000.0","BP50_GC25","2","1000.0","0","24.88507503246949","0.5637653362188249","0.39864229223824493",
"1000.0","BP50_GC60","2","1000.0","0","26.808695916927025","2.8301059047893085","2.0011870767526094",
"1000.0","BP50_GC75","2","1000.0","0","30.823547313466143","0.21041305650766798","0.14878449910676023",
"10000.0","BP160_GC10","2","10000.0","0","27.550338991144294","1.0848392853145767","0.7670972151435049",
"10000.0","BP160_GC20","2","10000.0","0","27.078037886243656","0.01941426758560146","0.013727960261548973",
"10000.0","BP160_GC60","2","10000.0","0","26.416147832710237","2.9938845794267244","2.1169960882024714",
"10000.0","BP160_GC80","2","10000.0","0","87.78362567679801","","",
"10000.0","BP280_GC30","2","10000.0","0","27.001721141327376","0.5348552707622133","0.3781997889093279",
"10000.0","BP500_GC60","1","10000.0","0","29.304616748825573","","",
"10000.0","BP50_GC25","2","10000.0","0","24.34298025417553","0.7773361827999387","0.5496596861195023",
"10000.0","BP50_GC60","2","10000.0","0","24.093888569727568","0.08281487564548995","0.058558960152046605",
"10000.0","BP50_GC75","2","10000.0","0","27.568612084034196","0.48833248997777084","0.3453032151369935",
"100000.0","BP160_GC10","2","100000.0","0","26.985238209252966","5.779191169386292","4.08650526564646",
"100000.0","BP160_GC20","2","100000.0","0","24.404627505631176","0.9244091782924477","0.653655998561674",
"100000.0","BP160_GC60","2","100000.0","0","22.144278647698115","0.5793518712018398","0.4096636368199362",
"100000.0","BP160_GC80","2","100000.0","0","57.9809878808952","37.10345862739413","26.2361072009049",
"100000.0","BP280_GC30","2","100000.0","0","27.005341683732382","0.33061379001371777","0.23377925287248508",
"100000.0","BP280_GC70","2","100000.0","0","24.70858768434574","0.5634054737797088","0.3983878310672517",
"100000.0","BP500_GC40","2","100000.0","0","34.53755424170789","0.6253985885941329","0.44222358293940717",
"100000.0","BP500_GC60","1","100000.0","0","27.967096292111677","","",
"100000.0","BP50_GC25","2","100000.0","0","21.717689641388066","0.5426826197660679","0.38373456046866733",
"100000.0","BP50_GC60","2","100000.0","0","21.574090994950133","0.16762137399375404","0.11852621022278988",
"100000.0","BP50_GC75","2","100000.0","0","24.403154518933228","0.5333531612026271","0.37713763705365944",
"1000000.0","BP160_GC10","2","1000000.0","0","20.406092253247696","1.5658674420716159","1.107235486728073",
"1000000.0","BP160_GC20","2","1000000.0","0","25.962481974180736","0.8570671843300509","0.6060380179722397",
"1000000.0","BP160_GC60","2","1000000.0","0","19.16974441863162","2.540704715711027","1.7965495334719066",
"1000000.0","BP160_GC80","2","1000000.0","0","28.25631764722609","1.2670292922885695","0.8959250045392396",
"1000000.0","BP280_GC30","2","1000000.0","0","26.09553452050585","3.335812574817958","2.358775692421135",
"1000000.0","BP280_GC70","2","1000000.0","0","22.49558654513654","2.30770130398965","1.6317912410041198",
"1000000.0","BP500_GC40","1","1000000.0","0","33.11749384976173","","",
"1000000.0","BP500_GC60","1","1000000.0","0","31.708558471870372","","",
"1000000.0","BP50_GC25","2","1000000.0","0","18.674174992826625","0.3080134013268285","0.21779836477453393",
"1000000.0","BP50_GC60","2","1000000.0","0","18.514026522126493","0.17309344494923717","0.12239554870254596",
"1000000.0","BP50_GC75","2","1000000.0","0","20.21208901914387","0.43829597785028585","0.30992205810472595",
