# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","1.0E8","BP160_GC10","STANDARD","HEX","None","Amp","0.9935891966564926","","","12.23989960977434","0.614998233491472","12.083375390953229","0.2213586730967505","true","0.05041897721717091","true","3","8"
"2","A2","false","1.0E8","BP160_GC10","STANDARD","HEX","None","Amp","1.0029075387389157","","","11.926851172132118","0.5994511428489879","12.083375390953229","0.2213586730967505","true","0.05041897721717091","true","3","8"
"4","A4","false","1.0E8","BP160_GC20","STANDARD","HEX","None","Amp","1.0619220637742233","","","12.967151808837006","0.7803053850019139","12.434793217582325","0.752868739798219","true","0.060027553318534016","true","3","9"
"5","A5","false","1.0E8","BP160_GC20","STANDARD","HEX","None","Amp","1.0670475619784563","","","11.902434626327643","0.6429602933615494","12.434793217582325","0.752868739798219","true","0.060027553318534016","true","3","8"
"7","A7","false","1.0E8","BP160_GC60","STANDARD","HEX","None","Amp","0.9424847019362982","","","11.39107171491577","0.40328776277933526","11.146875282970374","0.34534590594032194","true","0.03999999910593033","true","3","8"
"8","A8","false","1.0E8","BP160_GC60","STANDARD","HEX","None","Amp","0.9519821828951721","","","10.90267885102498","0.449718557281441","11.146875282970374","0.34534590594032194","true","0.03999999910593033","true","3","7"
"10","A10","false","1.0E8","BP160_GC80","STANDARD","HEX","None","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.04366711180290214","true","3","89"
"11","A11","false","1.0E8","BP160_GC80","STANDARD","HEX","None","Amp","0.8465853837695855","","","17.355305062909885","0.34811503566626245","17.355305062909885","","true","0.04366711180290214","true","3","13"
"13","A13","false","1.0E8","BP280_GC70","STANDARD","HEX","None","Amp","0.8410497079306906","","","13.770931124996336","0.3132443977741919","13.406397548529611","0.5155283277795843","true","0.03999999910593033","true","3","10"
"14","A14","false","1.0E8","BP280_GC70","STANDARD","HEX","None","Amp","0.8379212423847324","","","13.041863972062885","0.30362353175984347","13.406397548529611","0.5155283277795843","true","0.03999999910593033","true","3","9"
"16","A16","false","1.0E8","BP280_GC30","STANDARD","HEX","None","Amp","0.9612514241818639","","","13.728157430872244","0.659789420479397","13.538362384441282","0.26841072873385047","true","0.03999999910593033","true","3","10"
"17","A17","false","1.0E8","BP280_GC30","STANDARD","HEX","None","Amp","0.9450283345121606","","","13.348567338010318","0.6172299596023548","13.538362384441282","0.26841072873385047","true","0.03999999910593033","true","3","10"
"20","A20","false","1.0E8","BP500_GC40","STANDARD","HEX","None","Amp","0.8628713744459556","","","15.910300035103038","0.3887328682749735","15.910300035103038","","true","0.03999999910593033","true","3","12"
"25","B1","false","1.0E7","BP160_GC10","STANDARD","HEX","None","Amp","0.9848830177492227","","","17.211664342655702","0.8615633965447612","16.099545442449305","1.5727736316432825","true","0.05041897721717091","true","3","13"
"26","B2","false","1.0E7","BP160_GC10","STANDARD","HEX","None","Amp","1.021595251125339","","","14.987426542242904","0.9316490271004458","16.099545442449305","1.5727736316432825","true","0.05041897721717091","true","3","11"
"28","B4","false","1.0E7","BP160_GC20","STANDARD","HEX","None","Amp","1.0625537434020365","","","18.913144091790627","0.9768483158596093","17.892862545930022","1.4428959995950916","true","0.060027553318534016","true","3","15"
"29","B5","false","1.0E7","BP160_GC20","STANDARD","HEX","None","Amp","1.071090039758983","","","16.872581000069417","0.9441826848252614","17.892862545930022","1.4428959995950916","true","0.060027553318534016","true","3","13"
"31","B7","false","1.0E7","BP160_GC60","STANDARD","HEX","None","Amp","0.9550152358642712","","","15.601583997938395","0.6689379288413121","15.169099025156816","0.611626114030248","true","0.03999999910593033","true","3","12"
"32","B8","false","1.0E7","BP160_GC60","STANDARD","HEX","None","Amp","0.9482603787434652","","","14.736614052375238","0.5185862513118163","15.169099025156816","0.611626114030248","true","0.03999999910593033","true","3","11"
"34","B10","false","1.0E7","BP160_GC80","STANDARD","HEX","None","Amp","0.8857594715474993","","","24.245440280630692","0.43140731644784786","23.496074385108557","1.0597634126273594","true","0.04366711180290214","true","3","20"
"35","B11","false","1.0E7","BP160_GC80","STANDARD","HEX","None","Amp","0.8819371144501487","","","22.746708489586425","0.4184050660805579","23.496074385108557","1.0597634126273594","true","0.04366711180290214","true","3","18"
"37","B13","false","1.0E7","BP280_GC70","STANDARD","HEX","None","Amp","0.8506729736122359","","","17.986813733042133","0.36982888110812523","17.744288539176022","0.34298241838262716","true","0.03999999910593033","true","3","14"
"38","B14","false","1.0E7","BP280_GC70","STANDARD","HEX","None","Amp","0.8419691015277726","","","17.50176334530991","0.34260719623781105","17.744288539176022","0.34298241838262716","true","0.03999999910593033","true","3","14"
"40","B16","false","1.0E7","BP280_GC30","STANDARD","HEX","None","Amp","0.9711530563488483","","","22.243899777470595","0.961279305382813","19.720365569009694","3.568816302717851","true","0.03999999910593033","true","3","19"
"41","B17","false","1.0E7","BP280_GC30","STANDARD","HEX","None","Amp","0.970501827944648","","","17.19683136054879","0.7326331224590501","19.720365569009694","3.568816302717851","true","0.03999999910593033","true","3","14"
"43","B19","false","1.0E7","BP500_GC40","STANDARD","HEX","None","Amp","0.8559514859701407","","","21.804009997270096","0.4863743374584871","21.703834036180975","0.14167020279596754","true","0.03999999910593033","true","3","18"
"44","B20","false","1.0E7","BP500_GC40","STANDARD","HEX","None","Amp","0.8402604464097707","","","21.603658075091854","0.46796426157627696","21.703834036180975","0.14167020279596754","true","0.03999999910593033","true","3","18"
"49","C1","false","1000000.0","BP160_GC10","STANDARD","HEX","None","Amp","0.9927007002952147","","","21.513327739975757","0.954237706671765","20.406092253247696","1.5658674420716159","true","0.05041897721717091","true","3","18"
"50","C2","false","1000000.0","BP160_GC10","STANDARD","HEX","None","Amp","1.0114536959665301","","","19.298856766519634","0.9619376479216217","20.406092253247696","1.5658674420716159","true","0.05041897721717091","true","3","15"
"52","C4","false","1000000.0","BP160_GC20","STANDARD","HEX","None","Amp","1.0604037140521472","","","25.35644395620855","0.978094634789509","25.962481974180736","0.8570671843300509","true","0.060027553318534016","true","3","21"
"53","C5","false","1000000.0","BP160_GC20","STANDARD","HEX","None","Amp","1.0631859975404228","","","26.568519992152922","0.9680436320649513","25.962481974180736","0.8570671843300509","true","0.060027553318534016","true","3","22"
"55","C7","false","1000000.0","BP160_GC60","STANDARD","HEX","None","Amp","0.952656046960006","","","20.96629395210352","0.7188289976862916","19.16974441863162","2.540704715711027","true","0.03999999910593033","true","3","17"
"56","C8","false","1000000.0","BP160_GC60","STANDARD","HEX","None","Amp","0.9616903506752755","","","17.37319488515972","0.7321338391470299","19.16974441863162","2.540704715711027","true","0.03999999910593033","true","3","14"
"58","C10","false","1000000.0","BP160_GC80","STANDARD","HEX","None","Amp","0.9146863110658031","","","29.152242651765327","0.6015690237290892","28.25631764722609","1.2670292922885695","true","0.04366711180290214","true","3","25"
"59","C11","false","1000000.0","BP160_GC80","STANDARD","HEX","None","Amp","0.8836577586581402","","","27.360392642686854","0.5076079264910527","28.25631764722609","1.2670292922885695","true","0.04366711180290214","true","3","23"
"61","C13","false","1000000.0","BP280_GC70","STANDARD","HEX","None","Amp","0.8233617891895136","","","24.127377786140677","0.3966623592564268","22.49558654513654","2.30770130398965","true","0.03999999910593033","true","3","20"
"62","C14","false","1000000.0","BP280_GC70","STANDARD","HEX","None","Amp","0.8363196259871136","","","20.8637953041324","0.4023999528014044","22.49558654513654","2.30770130398965","true","0.03999999910593033","true","3","17"
"64","C16","false","1000000.0","BP280_GC30","STANDARD","HEX","None","Amp","0.9753077337871333","","","28.454310212927005","0.9688278818947544","26.09553452050585","3.335812574817958","true","0.03999999910593033","true","3","25"
"65","C17","false","1000000.0","BP280_GC30","STANDARD","HEX","None","Amp","0.9748742625006102","","","23.736758828084696","0.9724721221580601","26.09553452050585","3.335812574817958","true","0.03999999910593033","true","3","20"
"68","C20","false","1000000.0","BP500_GC40","STANDARD","HEX","None","Amp","0.8394630873481377","","","33.11749384976173","0.6338426458622622","33.11749384976173","","true","0.03999999910593033","true","3","29"
"73","D1","false","100000.0","BP160_GC10","STANDARD","HEX","None","Amp","0.9712426896673837","","","31.071743474899435","0.9559372462914763","26.985238209252966","5.779191169386292","true","0.05041897721717091","true","3","27"
"74","D2","false","100000.0","BP160_GC10","STANDARD","HEX","None","Amp","1.01737587288731","","","22.898732943606497","0.973498873830373","26.985238209252966","5.779191169386292","true","0.05041897721717091","true","3","19"
"76","D4","false","100000.0","BP160_GC20","STANDARD","HEX","None","Amp","1.0597507624629774","","","25.05828350419288","0.9624163511330732","24.404627505631176","0.9244091782924477","true","0.060027553318534016","true","3","21"
"77","D5","false","100000.0","BP160_GC20","STANDARD","HEX","None","Amp","1.0626132417613465","","","23.750971507069472","0.9591859027666124","24.404627505631176","0.9244091782924477","true","0.060027553318534016","true","3","20"
"79","D7","false","100000.0","BP160_GC60","STANDARD","HEX","None","Amp","0.9556932991033759","","","22.553942284518016","0.8553465956884814","22.144278647698115","0.5793518712018398","true","0.03999999910593033","true","3","19"
"80","D8","false","100000.0","BP160_GC60","STANDARD","HEX","None","Amp","0.9552574172316823","","","21.734615010878215","0.7073146686512554","22.144278647698115","0.5793518712018398","true","0.03999999910593033","true","3","18"
"82","D10","false","100000.0","BP160_GC80","STANDARD","HEX","None","Amp","0.7943470570009328","","","84.21709508180011","0.6831119897266763","57.9809878808952","37.10345862739413","true","0.04366711180290214","true","3","79"
"83","D11","false","100000.0","BP160_GC80","STANDARD","HEX","None","Amp","0.756965187237869","","","31.74488067999028","0.3985482676694406","57.9809878808952","37.10345862739413","true","0.04366711180290214","true","3","28"
"85","D13","false","100000.0","BP280_GC70","STANDARD","HEX","None","Amp","0.8495238794120016","","","25.106975515413","0.455033557220326","24.70858768434574","0.5634054737797088","true","0.03999999910593033","true","3","21"
"86","D14","false","100000.0","BP280_GC70","STANDARD","HEX","None","Amp","0.8443547377066822","","","24.31019985327848","0.3799454198029024","24.70858768434574","0.5634054737797088","true","0.03999999910593033","true","3","20"
"88","D16","false","100000.0","BP280_GC30","STANDARD","HEX","None","Amp","0.9891772772775982","","","27.2391209366049","0.9680463307861299","27.005341683732382","0.33061379001371777","true","0.03999999910593033","true","3","24"
"89","D17","false","100000.0","BP280_GC30","STANDARD","HEX","None","Amp","0.9942310413741189","","","26.771562430859866","0.9730837386008891","27.005341683732382","0.33061379001371777","true","0.03999999910593033","true","3","23"
"91","D19","false","100000.0","BP500_GC40","STANDARD","HEX","None","Amp","0.8726594097486658","","","34.095330658768475","0.663569176891422","34.53755424170789","0.6253985885941329","true","0.03999999910593033","true","3","30"
"92","D20","false","100000.0","BP500_GC40","STANDARD","HEX","None","Amp","0.8533198439891722","","","34.9797778246473","0.6695349299584225","34.53755424170789","0.6253985885941329","true","0.03999999910593033","true","3","31"
"97","E1","false","10000.0","BP160_GC10","STANDARD","HEX","None","Amp","1.0076148310169293","","","28.31743620628788","0.9657300815314651","27.550338991144294","1.0848392853145767","true","0.05041897721717091","true","3","25"
