# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","1.0E8","1.0E8","BP160_GC10","HEX","STANDARD","HEX","None","Amp","12.23989960977434","12.083375390953229","0.614998233491472","0.2213586730967505","","","true","0.05041897721717091","true","3","8","","","","","43.0109","0.9261474424490328","-3.7661","84.30045518966203","2.2974092973443376","0.307004230994699","false"
"2","A2","1.0E8","1.0E8","BP160_GC10","HEX","STANDARD","HEX","None","Amp","11.926851172132118","12.083375390953229","0.5994511428489879","0.2213586730967505","","","true","0.05041897721717091","true","3","8","","","","","43.0109","0.9261474424490328","-3.7661","84.30045518966203","2.2974092973443376","0.307004230994699","false"
"4","A4","1.0E8","1.0E8","BP160_GC20","HEX","STANDARD","HEX","None","Amp","12.967151808837006","12.434793217582325","0.7803053850019139","0.752868739798219","","","true","0.060027553318534016","true","3","9","","","","","39.8663","0.8922039585884716","-3.0952","110.41546304017925","2.3241588399766933","0.31057878898695535","false"
"5","A5","1.0E8","1.0E8","BP160_GC20","HEX","STANDARD","HEX","None","Amp","11.902434626327643","12.434793217582325","0.6429602933615494","0.752868739798219","","","true","0.060027553318534016","true","3","8","","","","","39.8663","0.8922039585884716","-3.0952","110.41546304017925","2.3241588399766933","0.31057878898695535","false"
"7","A7","1.0E8","1.0E8","BP160_GC60","HEX","STANDARD","HEX","None","Amp","11.39107171491577","11.146875282970374","0.40328776277933526","0.34534590594032194","","","true","0.03999999910593033","true","3","8","","","","","36.7766","0.9279345660172763","-3.0588","112.28825597905718","1.841445192747529","0.24607346456368417","false"
"8","A8","1.0E8","1.0E8","BP160_GC60","HEX","STANDARD","HEX","None","Amp","10.90267885102498","11.146875282970374","0.449718557281441","0.34534590594032194","","","true","0.03999999910593033","true","3","7","","","","","36.7766","0.9279345660172763","-3.0588","112.28825597905718","1.841445192747529","0.24607346456368417","false"
"10","A10","1.0E8","1.0E8","BP160_GC80","HEX","STANDARD","HEX","None","Inconclusive","Undetermined","17.355305062909885","0.0","","","","true","0.04366711180290214","true","3","89","","","","","145.4889","0.650517027798491","-17.4855","14.074904988528726","18.124986769128178","5.23223299510728","false"
"11","A11","1.0E8","1.0E8","BP160_GC80","HEX","STANDARD","HEX","None","Amp","17.355305062909885","17.355305062909885","0.34811503566626245","","","","true","0.04366711180290214","true","3","13","","","","","145.4889","0.650517027798491","-17.4855","14.074904988528726","18.124986769128178","5.23223299510728","false"
"13","A13","1.0E8","1.0E8","BP280_GC70","HEX","STANDARD","HEX","None","Amp","13.770931124996336","13.406397548529611","0.3132443977741919","0.5155283277795843","","","true","0.03999999910593033","true","3","10","","","","","42.1726","0.9784251428908398","-3.4856","93.59461979652282","1.1990632465365538","0.16367780059420453","false"
"14","A14","1.0E8","1.0E8","BP280_GC70","HEX","STANDARD","HEX","None","Amp","13.041863972062885","13.406397548529611","0.30362353175984347","0.5155283277795843","","","true","0.03999999910593033","true","3","9","","","","","42.1726","0.9784251428908398","-3.4856","93.59461979652282","1.1990632465365538","0.16367780059420453","false"
"16","A16","1.0E8","1.0E8","BP280_GC30","HEX","STANDARD","HEX","None","Amp","13.728157430872244","13.538362384441282","0.659789420479397","0.26841072873385047","","","true","0.03999999910593033","true","3","10","","","","","43.5098","0.8644319670674868","-3.4742","94.01499326582234","2.9721627321058395","0.39717195147421547","false"
"17","A17","1.0E8","1.0E8","BP280_GC30","HEX","STANDARD","HEX","None","Amp","13.348567338010318","13.538362384441282","0.6172299596023548","0.26841072873385047","","","true","0.03999999910593033","true","3","10","","","","","43.5098","0.8644319670674868","-3.4742","94.01499326582234","2.9721627321058395","0.39717195147421547","false"
