,lg10_Copies,Target,Cycle,Fluorescence,Reaction
0,2.0,GC55 - FAM,1,-0.0012860776668812445,414
1,2.0,GC55 - FAM,2,-0.0012698517892875195,414
2,2.0,GC55 - FAM,3,-0.000677892082827427,414
3,2.0,GC55 - FAM,4,-0.0004167344697334047,414
4,2.0,GC55 - FAM,5,-8.506871130855189e-05,414
5,2.0,GC55 - FAM,6,-8.245934027988941e-05,414
6,2.0,GC55 - FAM,7,0.0004794374717936409,414
7,2.0,GC55 - FAM,8,0.00035269921838036543,414
8,2.0,GC55 - FAM,9,0.00025418627412219954,414
9,2.0,GC55 - FAM,10,0.00017583163985306706,414
10,2.0,GC55 - FAM,11,0.00013064541901165128,414
11,2.0,GC55 - FAM,12,0.0004732631854159607,414
12,2.0,GC55 - FAM,13,0.0006692232744980501,414
13,2.0,GC55 - FAM,14,0.0008242603404756933,414
14,2.0,GC55 - FAM,15,0.0012198005615458333,414
15,2.0,GC55 - FAM,16,0.001078637264065656,414
16,2.0,GC55 - FAM,17,0.001206441316913174,414
17,2.0,GC55 - FAM,18,0.0009205130548991726,414
18,2.0,GC55 - FAM,19,0.0008898437573862313,414
19,2.0,GC55 - FAM,20,0.0008189313433044812,414
20,2.0,GC55 - FAM,21,0.0006181751567683009,414
21,2.0,GC55 - FAM,22,-0.0004569959621545279,414
22,2.0,GC55 - FAM,23,-0.002051799432827481,414
23,2.0,GC55 - FAM,24,-0.0035369725685919806,414
24,2.0,GC55 - FAM,25,-0.005116432202582305,414
25,2.0,GC55 - FAM,26,-0.00614325645406562,414
26,2.0,GC55 - FAM,27,-0.00610576971534399,414
27,2.0,GC55 - FAM,28,-0.004603745923007071,414
28,2.0,GC55 - FAM,29,-0.0016517387520879677,414
29,2.0,GC55 - FAM,30,0.002579246115774356,414
30,2.0,GC55 - FAM,31,0.0070916939135382525,414
31,2.0,GC55 - FAM,32,0.012523301844074663,414
32,2.0,GC55 - FAM,33,0.01570491528966375,414
33,2.0,GC55 - FAM,34,0.019898523673918332,414
34,2.0,GC55 - FAM,35,0.022793381944139265,414
35,2.0,GC55 - FAM,36,0.026541412661471257,414
36,2.0,GC55 - FAM,37,0.029753952666505688,414
37,2.0,GC55 - FAM,38,0.0325857817632878,414
38,2.0,GC55 - FAM,39,0.035596720292579584,414
39,2.0,GC55 - FAM,40,0.03912308310344147,414
40,2.0,GC55 - HEX,1,0.0015766444057767983,415
41,2.0,GC55 - HEX,2,0.0013405359665562304,415
42,2.0,GC55 - HEX,3,0.0006238201983645855,415
43,2.0,GC55 - HEX,4,-1.8760568345384664e-05,415
44,2.0,GC55 - HEX,5,0.0006947325700579439,415
45,2.0,GC55 - HEX,6,0.0008583753880925865,415
46,2.0,GC55 - HEX,7,9.311694417062625e-05,415
47,2.0,GC55 - HEX,8,-0.0005619478838814704,415
48,2.0,GC55 - HEX,9,-0.0006253117533679616,415
49,2.0,GC55 - HEX,10,-0.0010640248950909254,415
50,2.0,GC55 - HEX,11,-0.0009368326329052127,415
51,2.0,GC55 - HEX,12,-0.0007768189024700254,415
52,2.0,GC55 - HEX,13,-0.0016949925814826383,415
53,2.0,GC55 - HEX,14,-0.002028084757711052,415
54,2.0,GC55 - HEX,15,-0.0024767851485077174,415
55,2.0,GC55 - HEX,16,-0.002940568027367719,415
56,2.0,GC55 - HEX,17,-0.004983816927613095,415
57,2.0,GC55 - HEX,18,-0.008215911376388866,415
58,2.0,GC55 - HEX,19,-0.013797041646540125,415
59,2.0,GC55 - HEX,20,-0.024018918491721362,415
60,2.0,GC55 - HEX,21,-0.042626963543476115,415
61,2.0,GC55 - HEX,22,-0.07343229943524847,415
