,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Stage,Cycle,Fluorescence,Corr_Fluorescence,Derivative
437,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,early,3,-0.011256679892539978,0.001141875982284546,0.010679820108741701
438,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,early,4,-0.006513819098472595,-0.00031454116106033325,-0.002896756846752622
439,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,early,5,-0.001665651798248291,-0.001665651798248291,-0.010564034304697288
440,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,early,6,0.00590670108795166,-0.0002925768494606018,-0.0123220122650923
441,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,early,7,0.013529449701309204,0.0011308938264846802,-0.008170690727937658
442,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,8,0.026673316955566406,0.00807548314332962,0.001889930306766654
443,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,9,0.04744981229305267,0.022652700543403625,0.017859850839020613
444,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,10,0.07780376076698303,0.04680737107992172,0.03973907086882423
445,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,11,0.12079739570617676,0.08360172808170319,0.0675275903961775
446,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,12,0.18465104699134827,0.14125609397888184,0.10122540942108045
447,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,13,0.2803550064563751,0.23076078295707703,0.14083252794353304
448,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,14,0.41209733486175537,0.3563038408756256,0.179976042765943
449,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,15,0.5828983187675476,0.5209055542945862,0.21228305069071776
450,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,16,0.7983118891716003,0.7301198244094849,0.23775355171785748
451,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,17,1.0523638129234314,0.9779725074768066,0.2563875458473621
452,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,18,1.3336032032966614,1.2530125379562378,0.26818503307923175
453,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,19,1.6313298344612122,1.5445399284362793,0.27314601341346617
454,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,20,1.9330270886421204,1.8400379419326782,0.2712704868500656
455,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,21,2.2186368107795715,2.11944842338562,0.2625584533890299
456,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,22,2.481967270374298,2.376579523086548,0.24700991303035916
457,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,23,2.717945635318756,2.606358528137207,0.22462486577405333
458,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,24,2.922886908054352,2.805100679397583,0.19540331162011237
459,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,25,3.093224585056305,2.9692389965057373,0.16425753992287098
460,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,26,3.242530643939972,3.1123456954956055,0.13609984003666364
461,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,27,3.3631096482276917,3.2267255783081055,0.1109302119614905
462,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,28,3.456576883792877,3.313993453979492,0.08874865569735141
463,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,29,3.5270052552223206,3.3782224655151367,0.06955517124424641
464,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,30,3.5831857323646545,3.428203821182251,0.053349758602175536
465,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,31,3.622737944126129,3.4615566730499268,0.040132417771138774
466,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,32,3.6587279438972473,3.491347551345825,0.029903148751136113
467,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,middle,33,3.686641275882721,3.5130615234375,0.022661951542167564
468,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,34,3.70421439409256,3.52443528175354,0.018408826144233118
469,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,35,3.731793224811554,3.5458149909973145,0.017143772557332775
470,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,36,3.7479992508888245,3.555821657180786,0.017213232763005206
471,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,37,3.7547484040260315,3.5563714504241943,0.01696364874278907
472,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,38,3.768808901309967,3.56423282623291,0.01639502049668437
473,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,39,3.78724604845047,3.5764706134796143,0.015507348024691099
474,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,40,3.7999494671821594,3.582974672317505,0.014300631326809263
475,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,41,3.807080566883087,3.583906650543213,0.012774870403038856
476,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,42,3.8218384385108948,3.5924651622772217,0.010930065253379886
477,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,43,3.8370819687843323,3.6015093326568604,0.00876621587783235
478,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,44,3.847718298435211,3.6059465408325195,0.006283322276396245
