,Target,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
0,S036.0,199.5,10185175.0,5.0,108.0,0.48148148148148145,-4.7337697771000204,1.850239357475151,0.005984653514573837,0.7083260158814642,0.23465932590371474,22.135836821350836
1,S036.1,184.5,15873014.285714285,5.0,108.0,0.48148148148148145,-5.400758942174077,1.5341492767669074,0.004776738335043837,0.7114739206883932,0.22370099631288598,25.19294596521311
2,S036.2,187.5,15873014.285714285,5.0,88.0,0.4318181818181818,-5.6373338055262945,1.3747927328156713,0.004184546396320282,0.7760830265407648,0.19937038539667523,24.10550815802941
3,S036.3,191.85185185185185,16460900.0,5.111111111111111,30.0,0.43333333333333335,-6.896590155802951,1.041846929213724,0.003967463119776282,0.8670797862357124,0.15872167869343484,26.43593557233509
4,S036.4,207.34615384615384,9401707.692307692,4.769230769230769,108.0,0.25,-7.0090476815551845,1.5157783688431476,0.0042900375490986615,0.8211155825812493,0.17116781915023216,28.47276837496475
5,S036.5,78.7560975609756,16016258.536585366,4.951219512195122,74.0,0.527027027027027,-5.83879941963345,1.2646279686052,0.004444986172008418,0.8219594934087633,0.18160052763994575,23.60288713161696
6,S036.6,82.5,15873014.285714285,5.0,74.0,0.527027027027027,-5.849934325629921,1.6658279959518636,0.005376638633898222,0.8316979513058735,0.17852483763869764,23.37487998075593
7,S036.7,83.5,15873014.285714285,5.0,88.0,0.4318181818181818,-6.194669923470526,1.4743608790109415,0.004259396551503768,0.8718543454229783,0.16287385635510965,23.669203750557536
8,S036.8,86.03703703703704,16460900.0,5.111111111111111,30.0,0.5333333333333333,-7.333191517236843,1.0766382614470391,0.014398834005271931,0.9273982009071139,0.1379279580890368,26.31966036354042
9,S037.01.01,38.5,25252525.0,5.0,161.0,0.577639751552795,-4.4170030834628475,0.5785004490212251,0.02471934680616216,0.6364007088720525,0.26459510947996434,22.964436442979007
