# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"1","A1","1.0E8","BP160_GC10","65.89485931396484","0.32044392824172974"
"1","A1","1.0E8","BP160_GC10","73.69070434570312","0.24239221215248108"
"1","A1","1.0E8","BP160_GC10","88.35748291015625","0.005896380171179771"
"1","A1","1.0E8","BP160_GC10","92.58573913574219","0.0048873331397771835"
"1","A1","1.0E8","BP160_GC10","0.0","0.0"
"2","A2","1.0E8","BP160_GC10","65.89485931396484","0.32130879163742065"
"2","A2","1.0E8","BP160_GC10","73.16217803955078","0.23488204181194305"
"2","A2","1.0E8","BP160_GC10","92.58573913574219","0.005398781970143318"
"2","A2","1.0E8","BP160_GC10","0.0","0.0"
"2","A2","1.0E8","BP160_GC10","0.0","0.0"
"4","A4","1.0E8","BP160_GC20","70.2552490234375","0.48724108934402466"
"4","A4","1.0E8","BP160_GC20","89.54667663574219","0.006224706768989563"
"4","A4","1.0E8","BP160_GC20","93.77493286132812","0.004783108830451965"
"4","A4","1.0E8","BP160_GC20","0.0","0.0"
"4","A4","1.0E8","BP160_GC20","0.0","0.0"
"5","A5","1.0E8","BP160_GC20","70.12311553955078","0.480469286441803"
"5","A5","1.0E8","BP160_GC20","88.48960876464844","0.005457602441310883"
"5","A5","1.0E8","BP160_GC20","0.0","0.0"
"5","A5","1.0E8","BP160_GC20","0.0","0.0"
"5","A5","1.0E8","BP160_GC20","0.0","0.0"
"7","A7","1.0E8","BP160_GC60","83.46855163574219","0.9992256164550781"
"7","A7","1.0E8","BP160_GC60","67.48045349121094","0.17532670497894287"
"7","A7","1.0E8","BP160_GC60","71.18017578125","0.17004963755607605"
"7","A7","1.0E8","BP160_GC60","74.35137176513672","0.17457789182662964"
"7","A7","1.0E8","BP160_GC60","0.0","0.0"
"8","A8","1.0E8","BP160_GC60","83.33642578125","0.937615692615509"
"8","A8","1.0E8","BP160_GC60","60.74166488647461","0.2007918655872345"
"8","A8","1.0E8","BP160_GC60","71.44444274902344","0.16638076305389404"
"8","A8","1.0E8","BP160_GC60","0.0","0.0"
"8","A8","1.0E8","BP160_GC60","0.0","0.0"
"10","A10","1.0E8","BP160_GC80","83.99708557128906","0.46908485889434814"
"10","A10","1.0E8","BP160_GC80","65.6305923461914","0.14345067739486694"
"10","A10","1.0E8","BP160_GC80","60.60953140258789","0.1454678773880005"
"10","A10","1.0E8","BP160_GC80","62.98793029785156","0.14165912568569183"
"10","A10","1.0E8","BP160_GC80","72.10511016845703","0.14931945502758026"
"11","A11","1.0E8","BP160_GC80","83.73281860351562","0.4463067054748535"
"11","A11","1.0E8","BP160_GC80","61.138065338134766","0.13743345439434052"
"11","A11","1.0E8","BP160_GC80","64.1771240234375","0.13766787946224213"
"11","A11","1.0E8","BP160_GC80","69.33031463623047","0.1411602795124054"
"11","A11","1.0E8","BP160_GC80","66.42338562011719","0.136766254901886"
"13","A13","1.0E8","BP280_GC70","86.90531158447266","0.7655869126319885"
"13","A13","1.0E8","BP280_GC70","73.16085815429688","0.1432700753211975"
"13","A13","1.0E8","BP280_GC70","0.0","0.0"
"13","A13","1.0E8","BP280_GC70","0.0","0.0"
"13","A13","1.0E8","BP280_GC70","0.0","0.0"
"14","A14","1.0E8","BP280_GC70","86.50883483886719","0.6854655146598816"
"14","A14","1.0E8","BP280_GC70","0.0","0.0"
"14","A14","1.0E8","BP280_GC70","0.0","0.0"
"14","A14","1.0E8","BP280_GC70","0.0","0.0"
"14","A14","1.0E8","BP280_GC70","0.0","0.0"
"16","A16","1.0E8","BP280_GC30","75.01107788085938","0.9251158237457275"
"16","A16","1.0E8","BP280_GC30","64.7027359008789","0.18218223750591278"
"16","A16","1.0E8","BP280_GC30","61.266624450683594","0.1712823510169983"
"16","A16","1.0E8","BP280_GC30","0.0","0.0"
"16","A16","1.0E8","BP280_GC30","0.0","0.0"
"17","A17","1.0E8","BP280_GC30","71.70712280273438","0.1062118411064148"
"17","A17","1.0E8","BP280_GC30","87.56610107421875","0.002623945474624634"
"17","A17","1.0E8","BP280_GC30","90.73789978027344","0.0018815977964550257"
"17","A17","1.0E8","BP280_GC30","83.20487976074219","0.00289573660120368"
"17","A17","1.0E8","BP280_GC30","80.29740142822266","0.003754373174160719"
"19","A19","1.0E8","BP500_GC40","78.05071258544922","0.9055253267288208"
"19","A19","1.0E8","BP500_GC40","70.25337982177734","0.19638195633888245"
