# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","1.0E8","1.0E8","BP160_GC10","SYBR","STANDARD","SYBR","None","Inconclusive","9.054752199267176","9.297658533292953","0.3200757168776267","0.3435214319655172","","","true","0.17000934761381004","true","3","5","65.89485931396484","73.69070434570312","","","36.7205","0.9896593644613207","-3.3466","98.97869181244141","0.7389992418730797","0.09875292757766972","false"
"2","A2","1.0E8","1.0E8","BP160_GC10","SYBR","STANDARD","SYBR","None","Amp","9.540564867318729","9.297658533292953","0.31689895345243807","0.3435214319655172","","","true","0.17000934761381004","true","3","5","65.89485931396484","73.16217803955078","","","36.7205","0.9896593644613207","-3.3466","98.97869181244141","0.7389992418730797","0.09875292757766972","false"
"4","A4","1.0E8","1.0E8","BP160_GC20","SYBR","STANDARD","SYBR","None","Amp","10.937693135847201","11.266443909562692","0.4864362577315325","0.46492380282909","","","true","0.2247059681631393","true","3","6","70.2552490234375","","","","37.2053","0.9832607306448845","-3.1611","107.17904186325397","0.8909948448843884","0.11906419439068473","false"
"5","A5","1.0E8","1.0E8","BP160_GC20","SYBR","STANDARD","SYBR","None","Amp","11.595194683278184","11.266443909562692","0.6047947480861599","0.46492380282909","","","true","0.2247059681631393","true","3","6","70.12311553955078","","","","37.2053","0.9832607306448845","-3.1611","107.17904186325397","0.8909948448843884","0.11906419439068473","false"
"7","A7","1.0E8","1.0E8","BP160_GC60","SYBR","STANDARD","SYBR","None","Inconclusive","Undetermined","58.42752910984981","0.0","","","","true","0.2638810773869539","true","3","89","83.46855163574219","","","","1.3985","0.552280030104648","8.4597","-23.82850897934633","15.779431895332163","2.4086759249035405","false"
"8","A8","1.0E8","1.0E8","BP160_GC60","SYBR","STANDARD","SYBR","None","Amp","58.42752910984981","58.42752910984981","0.30074969530216256","","","","true","0.2638810773869539","true","3","48","83.33642578125","","","","1.3985","0.552280030104648","8.4597","-23.82850897934633","15.779431895332163","2.4086759249035405","false"
"10","A10","1.0E8","1.0E8","BP160_GC80","SYBR","STANDARD","SYBR","None","Amp","76.27661144321868","76.22183397651392","0.5618848463932873","0.07746703632646816","","","true","0.10380432188788172","true","3","65","83.99708557128906","","","","14.7763","0.2886245782845503","7.4271","-26.65721247786853","22.844124733967117","3.886682519724966","false"
"11","A11","1.0E8","1.0E8","BP160_GC80","SYBR","STANDARD","SYBR","None","Amp","76.16705650980916","76.22183397651392","0.5697699829857681","0.07746703632646816","","","true","0.10380432188788172","true","3","66","83.73281860351562","","","","14.7763","0.2886245782845503","7.4271","-26.65721247786853","22.844124733967117","3.886682519724966","false"
"13","A13","1.0E8","1.0E8","BP280_GC70","SYBR","STANDARD","SYBR","None","Amp","11.98003028584839","40.188126233230015","0.33429557492585243","39.89227185750864","","","true","0.1405856919812463","true","3","7","86.90531158447266","","","","26.237","0.04885286793145391","2.2863","-63.47361597840994","21.792651026944466","2.9121654890126245","false"
"14","A14","1.0E8","1.0E8","BP280_GC70","SYBR","STANDARD","SYBR","None","Amp","68.39622218061164","40.188126233230015","0.17104269921738469","39.89227185750864","","","true","0.1405856919812463","true","3","55","86.50883483886719","","","","26.237","0.04885286793145391","2.2863","-63.47361597840994","21.792651026944466","2.9121654890126245","false"
