# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Well","Well Position","Cycle Number","HEX","ROX"
"1","A1","1","29354.209","223166.8"
"1","A1","2","29358.428","222723.48"
"1","A1","3","29405.893","221360.06"
"1","A1","4","29374.46","220710.73"
"1","A1","5","29365.19","219931.14"
"1","A1","6","29503.605","219217.75"
"1","A1","7","30019.143","219130.05"
"1","A1","8","30716.54","219511.08"
"1","A1","9","31836.93","219601.06"
"1","A1","10","33719.234","219338.0"
"1","A1","11","36593.766","219210.08"
"1","A1","12","41181.07","219221.42"
"1","A1","13","47885.754","219440.25"
"1","A1","14","57005.133","219563.92"
"1","A1","15","67890.945","219626.92"
"1","A1","16","79398.86","219564.22"
"1","A1","17","90514.2","219481.86"
"1","A1","18","100299.86","219283.52"
"1","A1","19","108078.45","219249.42"
"1","A1","20","113736.734","219503.66"
"1","A1","21","117865.67","219582.27"
"1","A1","22","121073.48","219507.92"
"1","A1","23","123248.664","219433.58"
"1","A1","24","125057.836","219348.77"
"1","A1","25","126612.82","219276.12"
"1","A1","26","127971.47","219262.52"
"1","A1","27","128998.09","219443.88"
"1","A1","28","130652.914","219442.28"
"1","A1","29","132127.88","219465.0"
"1","A1","30","133382.11","219424.22"
"1","A1","31","134291.23","219401.56"
"1","A1","32","135482.72","219177.44"
"1","A1","33","136669.25","219095.78"
"1","A1","34","137649.56","219149.88"
"1","A1","35","138960.12","219071.25"
"1","A1","36","140146.02","218895.28"
"1","A1","37","140988.44","218895.62"
"1","A1","38","142095.33","219119.67"
"1","A1","39","143300.53","219106.05"
"1","A1","40","144269.17","218990.39"
"1","A1","41","145390.16","218953.84"
"1","A1","42","146319.39","219017.78"
"1","A1","43","147167.62","218990.8"
"1","A1","44","148306.36","218938.36"
"1","A1","45","149396.08","218878.39"
"1","A1","46","150585.19","218947.25"
"1","A1","47","151556.98","219243.45"
"1","A1","48","152391.34","218888.0"
"1","A1","49","153681.58","218834.53"
"1","A1","50","154781.45","219028.92"
"1","A1","51","155930.2","218858.4"
"1","A1","52","156762.92","218863.89"
"1","A1","53","157581.22","219145.36"
"1","A1","54","158594.88","219217.81"
"1","A1","55","159612.05","219384.19"
"1","A1","56","160775.16","219306.83"
"1","A1","57","161960.7","219187.25"
"1","A1","58","162532.92","219022.56"
"1","A1","59","163450.95","218997.84"
"1","A1","60","164386.52","219160.8"
"1","A1","61","165305.44","219172.31"
"1","A1","62","165967.88","219194.73"
"1","A1","63","167132.56","219058.78"
"1","A1","64","168437.39","219037.3"
"1","A1","65","169600.45","219225.47"
"1","A1","66","170032.2","219207.06"
"1","A1","67","170938.95","219164.03"
"1","A1","68","172062.89","219293.31"
"1","A1","69","173185.8","219451.05"
"1","A1","70","173964.12","219182.77"
"1","A1","71","175121.6","219107.02"
"1","A1","72","176591.77","219246.08"
"1","A1","73","177954.5","219141.94"
"1","A1","74","179704.77","219092.16"
"1","A1","75","181402.97","219210.72"
"1","A1","76","183442.75","219270.64"
"1","A1","77","185887.64","219231.86"
"1","A1","78","188448.27","219210.6"
"1","A1","79","191414.5","219072.88"
"1","A1","80","194431.14","219040.23"
"1","A1","81","197473.89","219214.3"
"1","A1","82","200541.48","219337.83"
"1","A1","83","203109.88","219338.55"
"1","A1","84","206638.52","219289.75"
"1","A1","85","209126.97","219348.17"
"1","A1","86","211473.23","219544.55"
"1","A1","87","213972.45","219489.0"
"1","A1","88","216515.97","219196.28"
"1","A1","89","218996.92","219079.0"
"1","A1","90","220322.16","219052.34"
"2","A2","1","23055.826","181524.84"
"2","A2","2","23090.582","181663.6"
"2","A2","3","23152.178","181510.75"
"2","A2","4","23260.693","181367.14"
"2","A2","5","23337.521","181280.69"
"2","A2","6","23507.059","181151.08"
