# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"1","A1","1","BP160_GC10","60.08100128173828","3.7589006423950195","0.11321157217025757"
"1","A1","2","BP160_GC10","60.34526824951172","3.7304975986480713","0.12390965223312378"
"1","A1","3","BP160_GC10","60.60953140258789","3.7001795768737793","0.13453571498394012"
"1","A1","4","BP160_GC10","60.87379837036133","3.6630594730377197","0.1446761190891266"
"1","A1","5","BP160_GC10","61.138065338134766","3.6203508377075195","0.15408220887184143"
"1","A1","6","BP160_GC10","61.4023323059082","3.577360153198242","0.162753626704216"
"1","A1","7","BP160_GC10","61.66659927368164","3.5320680141448975","0.17089171707630157"
"1","A1","8","BP160_GC10","61.93086242675781","3.493358612060547","0.17877906560897827"
"1","A1","9","BP160_GC10","62.19512939453125","3.440880537033081","0.18666478991508484"
"1","A1","10","BP160_GC10","62.45939636230469","3.3875014781951904","0.19471758604049683"
"1","A1","11","BP160_GC10","62.723663330078125","3.3427627086639404","0.203059121966362"
"1","A1","12","BP160_GC10","62.98793029785156","3.282430648803711","0.2118162214756012"
"1","A1","13","BP160_GC10","63.252193450927734","3.2202274799346924","0.22113989293575287"
"1","A1","14","BP160_GC10","63.51646041870117","3.1768553256988525","0.23116953670978546"
"1","A1","15","BP160_GC10","63.78072738647461","3.111682176589966","0.24196848273277283"
"1","A1","16","BP160_GC10","64.04499053955078","3.044938802719116","0.25347909331321716"
"1","A1","17","BP160_GC10","64.30925750732422","2.984609603881836","0.2655264437198639"
"1","A1","18","BP160_GC10","64.57352447509766","2.9083852767944336","0.2778337001800537"
