# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","false","1.0E8","BP160_GC10","STANDARD","SYBR","None","Inconclusive","1.2969438593039007","","","9.054752199267176","0.3200757168776267","9.297658533292953","0.3435214319655172","true","0.17000934761381004","true","3","5","65.89485931396484","73.69070434570312","",""
"2","A2","false","1.0E8","BP160_GC10","STANDARD","SYBR","None","Amp","1.293544323984092","","","9.540564867318729","0.31689895345243807","9.297658533292953","0.3435214319655172","true","0.17000934761381004","true","3","5","65.89485931396484","73.16217803955078","",""
"4","A4","false","1.0E8","BP160_GC20","STANDARD","SYBR","None","Amp","1.352670502166771","","","10.937693135847201","0.4864362577315325","11.266443909562692","0.46492380282909","true","0.2247059681631393","true","3","6","70.2552490234375","","",""
"5","A5","false","1.0E8","BP160_GC20","STANDARD","SYBR","None","Amp","1.3468506174534753","","","11.595194683278184","0.6047947480861599","11.266443909562692","0.46492380282909","true","0.2247059681631393","true","3","6","70.12311553955078","","",""
"7","A7","false","1.0E8","BP160_GC60","STANDARD","SYBR","None","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.2638810773869539","true","3","89","83.46855163574219","","",""
"8","A8","false","1.0E8","BP160_GC60","STANDARD","SYBR","None","Amp","0.0","","","58.42752910984981","0.30074969530216256","58.42752910984981","","true","0.2638810773869539","true","3","48","83.33642578125","","",""
"10","A10","false","1.0E8","BP160_GC80","STANDARD","SYBR","None","Amp","1.3343412061080953","","","76.27661144321868","0.5618848463932873","76.22183397651392","0.07746703632646816","true","0.10380432188788172","true","3","65","83.99708557128906","","",""
"11","A11","false","1.0E8","BP160_GC80","STANDARD","SYBR","None","Amp","1.3262368319224307","","","76.16705650980916","0.5697699829857681","76.22183397651392","0.07746703632646816","true","0.10380432188788172","true","3","66","83.73281860351562","","",""
"13","A13","false","1.0E8","BP280_GC70","STANDARD","SYBR","None","Amp","1.3597550358168007","","","11.98003028584839","0.33429557492585243","40.188126233230015","39.89227185750864","true","0.1405856919812463","true","3","7","86.90531158447266","","",""
"14","A14","false","1.0E8","BP280_GC70","STANDARD","SYBR","None","Amp","0.0","","","68.39622218061164","0.17104269921738469","40.188126233230015","39.89227185750864","true","0.1405856919812463","true","3","55","86.50883483886719","","",""
"16","A16","false","1.0E8","BP280_GC30","STANDARD","SYBR","None","Amp","1.3908326136801654","","","12.475508075786674","0.5737632810272754","45.70994741856867","47.000594856428265","true","0.30112860742619285","true","3","7","75.01107788085938","","",""
"17","A17","false","1.0E8","BP280_GC30","STANDARD","SYBR","None","Inconclusive","0.0","","","78.94438676135066","0.8373112357762662","45.70994741856867","47.000594856428265","true","0.30112860742619285","true","3","72","71.70712280273438","","",""
"19","A19","false","1.0E8","BP500_GC40","STANDARD","SYBR","None","Amp","1.4092154312895586","","","14.580906702354989","0.6258253542442018","14.580906702354989","","true","0.4036370650066456","true","3","8","78.05071258544922","","",""
"20","A20","false","1.0E8","BP500_GC40","STANDARD","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.4036370650066456","true","3","89","87.8304214477539","76.59697723388672","81.88330078125","90.73789978027344"
"25","B1","false","1.0E7","BP160_GC10","STANDARD","SYBR","None","Amp","1.3025857569417243","","","12.872330028549285","0.7741814196890241","13.166260531814773","0.4156805041131613","true","0.17000934761381004","true","3","8","66.02699279785156","","",""
"26","B2","false","1.0E7","BP160_GC10","STANDARD","SYBR","None","Amp","1.287195449614723","","","13.46019103508026","0.8146254401646711","13.166260531814773","0.4156805041131613","true","0.17000934761381004","true","3","8","65.89485931396484","74.08710479736328","",""
"28","B4","false","1.0E7","BP160_GC20","STANDARD","SYBR","None","Inconclusive","1.357672151906508","","","14.426441965052458","0.8699700395898748","14.764274829121426","0.47776781818170316","true","0.2247059681631393","true","3","8","69.72671508789062","","",""
"29","B5","false","1.0E7","BP160_GC20","STANDARD","SYBR","None","Amp","1.3456079533480403","","","15.102107693190394","0.9141495529254853","14.764274829121426","0.47776781818170316","true","0.2247059681631393","true","3","9","69.85884857177734","","",""
