# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","BP160_GC10","0.13153484463691711","0.002574312970751798","1.0E8","false"
"1","A1","2","BP160_GC10","0.1318155974149704","0.0014773329099019479","1.0E8","false"
"1","A1","3","BP160_GC10","0.13284189999103546","0.0011259026470638496","1.0E8","false"
"1","A1","4","BP160_GC10","0.1330903172492981","-3.4129335766779328E-6","1.0E8","false"
"1","A1","5","BP160_GC10","0.13351993262767792","-9.515303941000179E-4","1.0E8","false"
"1","A1","6","BP160_GC10","0.13458584249019623","-0.0012633533704848414","1.0E8","false"
"1","A1","7","BP160_GC10","0.13699236512184143","-2.3456357774280056E-4","1.0E8","false"
"1","A1","8","BP160_GC10","0.13993161916732788","0.0013269576288404878","1.0E8","false"
"1","A1","9","BP160_GC10","0.14497621357440948","0.00499381919701893","1.0E8","false"
"1","A1","10","BP160_GC10","0.1537318378686905","0.012371710652396803","1.0E8","false"
"1","A1","11","BP160_GC10","0.16693468391895294","0.02419682386375609","1.0E8","false"
"1","A1","12","BP160_GC10","0.18785148859024048","0.04373589569614047","1.0E8","false"
"1","A1","13","BP160_GC10","0.21821773052215576","0.07272440478915258","1.0E8","false"
"1","A1","14","BP160_GC10","0.25962886214256287","0.11275780357065655","1.0E8","false"
"1","A1","15","BP160_GC10","0.30911940336227417","0.1608706119514647","1.0E8","false"
"1","A1","16","BP160_GC10","0.3616202175617218","0.21199369331200918","1.0E8","false"
"1","A1","17","BP160_GC10","0.4123994708061218","0.261395213717506","1.0E8","false"
"1","A1","18","BP160_GC10","0.45739808678627014","0.3050160968587512","1.0E8","false"
"1","A1","19","BP160_GC10","0.4929474890232086","0.33918776625678654","1.0E8","false"
"1","A1","20","BP160_GC10","0.5181541442871094","0.3630166886817841","1.0E8","false"
"1","A1","21","BP160_GC10","0.5367722511291504","0.38025706268492193","1.0E8","false"
"1","A1","22","BP160_GC10","0.5515676736831665","0.39367475240003497","1.0E8","false"
"1","A1","23","BP160_GC10","0.5616673231124878","0.40239666899045307","1.0E8","false"
"1","A1","24","BP160_GC10","0.5701323747634888","0.40948398780255085","1.0E8","false"
"1","A1","25","BP160_GC10","0.5774127244949341","0.41538660469509303","1.0E8","false"
"1","A1","26","BP160_GC10","0.5836449861526489","0.42024113351390474","1.0E8","false"
"1","A1","27","BP160_GC10","0.5878409147262573","0.42305932924860995","1.0E8","false"
"1","A1","28","BP160_GC10","0.595386266708374","0.4292269483918235","1.0E8","false"
"1","A1","29","BP160_GC10","0.6020452976226807","0.434508246467227","1.0E8","false"
"1","A1","30","BP160_GC10","0.607873260974884","0.4389584769805272","1.0E8","false"
"1","A1","31","BP160_GC10","0.6120796799659729","0.44178716313271293","1.0E8","false"
"1","A1","32","BP160_GC10","0.6181417107582092","0.44647146108604613","1.0E8","false"
"1","A1","33","BP160_GC10","0.6237877011299133","0.45073971861884704","1.0E8","false"
"1","A1","34","BP160_GC10","0.628106951713562","0.4536812363635926","1.0E8","false"
"1","A1","35","BP160_GC10","0.634314775466919","0.4585113272780464","1.0E8","false"
"1","A1","36","BP160_GC10","0.6402422785758972","0.46306109754812147","1.0E8","false"
"1","A1","37","BP160_GC10","0.6440898180007935","0.4655309041341146","1.0E8","false"
"1","A1","38","BP160_GC10","0.6484827399253845","0.4685460932198025","1.0E8","false"
"1","A1","39","BP160_GC10","0.6540236473083496","0.4727092677638644","1.0E8","false"
"1","A1","40","BP160_GC10","0.65879225730896","0.47610014492557157","1.0E8","false"
"1","A1","41","BP160_GC10","0.6640219688415527","0.4799521236192612","1.0E8","false"
"1","A1","42","BP160_GC10","0.6680708527565002","0.4826232746953056","1.0E8","false"
"1","A1","43","BP160_GC10","0.672026515007019","0.4852012041069212","1.0E8","false"
"1","A1","44","BP160_GC10","0.6773886680603027","0.48918562432130175","1.0E8","false"
"1","A1","45","BP160_GC10","0.6825528740882874","0.49297209751038323","1.0E8","false"
"1","A1","46","BP160_GC10","0.6877692341804504","0.49681072476364313","1.0E8","false"
"1","A1","47","BP160_GC10","0.6912725567817688","0.49893631452605836","1.0E8","false"
"1","A1","48","BP160_GC10","0.6962069272994995","0.502492952204886","1.0E8","false"
"1","A1","49","BP160_GC10","0.7022729516029358","0.5071812436694191","1.0E8","false"
"1","A1","50","BP160_GC10","0.7066712975502014","0.5102018567777816","1.0E8","false"
"1","A1","51","BP160_GC10","0.7124707102775574","0.5146235366662344","1.0E8","false"
"1","A1","52","BP160_GC10","0.7162575721740723","0.5170326657238461","1.0E8","false"
"1","A1","53","BP160_GC10","0.7190716862678528","0.5184690469787235","1.0E8","false"
"1","A1","54","BP160_GC10","0.7234579920768738","0.5214776199488413","1.0E8","false"
"1","A1","55","BP160_GC10","0.7275457978248596","0.524187692857924","1.0E8","false"
"1","A1","56","BP160_GC10","0.7331060171127319","0.5283701793068932","1.0E8","false"
"1","A1","57","BP160_GC10","0.7389147877693176","0.5328012171245756","1.0E8","false"
"1","A1","58","BP160_GC10","0.7420830130577087","0.5345917095740637","1.0E8","false"
"1","A1","59","BP160_GC10","0.7463587522506714","0.5374897159281231","1.0E8","false"
"1","A1","60","BP160_GC10","0.7500726580619812","0.5398258889005297","1.0E8","false"
"1","A1","61","BP160_GC10","0.7542259097099304","0.5426014077095759","1.0E8","false"
"1","A1","62","BP160_GC10","0.7571709156036377","0.54416868076438","1.0E8","false"
"1","A1","63","BP160_GC10","0.7629575729370117","0.5485776052588508","1.0E8","false"
"1","A1","64","BP160_GC10","0.7689895629882812","0.5532318624712173","1.0E8","false"
"1","A1","65","BP160_GC10","0.7736347913742065","0.5564993580182394","1.0E8","false"
"1","A1","66","BP160_GC10","0.7756693363189697","0.5571561701240993","1.0E8","false"
"1","A1","67","BP160_GC10","0.779958963394165","0.5600680643603916","1.0E8","false"
"1","A1","68","BP160_GC10","0.784624457359314","0.5633558254866373","1.0E8","false"
"1","A1","69","BP160_GC10","0.7891773581504822","0.5665309934389023","1.0E8","false"
"1","A1","70","BP160_GC10","0.7936943769454956","0.5696702793950127","1.0E8","false"
"1","A1","71","BP160_GC10","0.7992514371871948","0.5738496067978087","1.0E8","false"
"1","A1","72","BP160_GC10","0.8054500818252563","0.578670518596967","1.0E8","false"
"1","A1","73","BP160_GC10","0.8120512962341309","0.5838940001669385","1.0E8","false"
"1","A1","74","BP160_GC10","0.8202245235443115","0.590689494638216","1.0E8","false"
"1","A1","75","BP160_GC10","0.8275278210639954","0.5966150593189966","1.0E8","false"
"1","A1","76","BP160_GC10","0.8366042375564575","0.6043137429725557","1.0E8","false"
"1","A1","77","BP160_GC10","0.8479043245315552","0.6142360971087502","1.0E8","false"
"1","A1","78","BP160_GC10","0.8596677184104919","0.6246217581487837","1.0E8","false"
"1","A1","79","BP160_GC10","0.8737480640411377","0.6373243709405264","1.0E8","false"
"1","A1","80","BP160_GC10","0.8876503705978394","0.6498489446583249","1.0E8","false"
"1","A1","81","BP160_GC10","0.9008257985115051","0.6616466397330875","1.0E8","false"
"1","A1","82","BP160_GC10","0.9143041372299194","0.6737472456125987","1.0E8","false"
