# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_3\data\JG034 TMCC1 Gen2 Competitors - 59C v3.eds
# Comment: NA
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2019-12-17 12:44:16 PM EST
# Run End Date/Time: 2019-12-17 02:02:51 PM EST
# Run Duration: 78 minutes 34 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 02:03:12 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 02:03:55 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","ISO - FAM","0.2203531116247177","0.0026701658964157216","1.0E8","false"
"1","A1","2","ISO - FAM","0.2215820997953415","0.0014050096273422186","1.0E8","false"
"1","A1","3","ISO - FAM","0.22362883388996124","9.57599282264715E-4","1.0E8","false"
"1","A1","4","ISO - FAM","0.22473572194576263","-4.2965710163117565E-4","1.0E8","false"
"1","A1","5","ISO - FAM","0.22662490606307983","-0.0010346174240112305","1.0E8","false"
"1","A1","6","ISO - FAM","0.22968147695064545","-4.721909761428722E-4","1.0E8","false"
"1","A1","7","ISO - FAM","0.23362667858600616","9.788662195205633E-4","1.0E8","false"
"1","A1","8","ISO - FAM","0.24441026151180267","0.009268304705619818","1.0E8","false"
"1","A1","9","ISO - FAM","0.26247113943099976","0.024835038185119618","1.0E8","false"
"1","A1","10","ISO - FAM","0.29748407006263733","0.057353824377059937","1.0E8","false"
"1","A1","11","ISO - FAM","0.3559699058532715","0.11334551572799684","1.0E8","false"
"1","A1","12","ISO - FAM","0.4497746229171753","0.20465608835220336","1.0E8","false"
"1","A1","13","ISO - FAM","0.5840083956718445","0.33639571666717527","1.0E8","false"
"1","A1","14","ISO - FAM","0.7489585876464844","0.4988517642021179","1.0E8","false"
"1","A1","15","ISO - FAM","0.9234859347343445","0.6708849668502808","1.0E8","false"
"1","A1","16","ISO - FAM","1.0872104167938232","0.8321153044700622","1.0E8","false"
"1","A1","17","ISO - FAM","1.2221497297286987","0.9645604729652404","1.0E8","false"
"1","A1","18","ISO - FAM","1.3293815851211548","1.0692981839179994","1.0E8","false"
"1","A1","19","ISO - FAM","1.4049476385116577","1.142370092868805","1.0E8","false"
"1","A1","20","ISO - FAM","1.4563696384429932","1.1912979483604431","1.0E8","false"
"1","A1","21","ISO - FAM","1.4938993453979492","1.2263335108757019","1.0E8","false"
"1","A1","22","ISO - FAM","1.5207701921463013","1.2507102131843568","1.0E8","false"
"1","A1","23","ISO - FAM","1.542815089225769","1.2702609658241273","1.0E8","false"
"1","A1","24","ISO - FAM","1.5635502338409424","1.2885019659996033","1.0E8","false"
"1","A1","25","ISO - FAM","1.5805728435516357","1.3030304312705994","1.0E8","false"
"1","A1","26","ISO - FAM","1.6004527807235718","1.320416224002838","1.0E8","false"
"1","A1","27","ISO - FAM","1.6169493198394775","1.3344186186790468","1.0E8","false"
"1","A1","28","ISO - FAM","1.63417387008667","1.3491490244865418","1.0E8","false"
"1","A1","29","ISO - FAM","1.651041865348816","1.3635228753089905","1.0E8","false"
"1","A1","30","ISO - FAM","1.6667490005493164","1.3767358660697937","1.0E8","false"
"1","A1","31","ISO - FAM","1.6828821897506714","1.3903749108314514","1.0E8","false"
"1","A1","32","ISO - FAM","1.6984297037124634","1.4034282803535463","1.0E8","false"
"1","A1","33","ISO - FAM","1.7123981714248657","1.4149026036262513","1.0E8","false"
"1","A1","34","ISO - FAM","1.7293869256973267","1.429397213459015","1.0E8","false"
"1","A1","35","ISO - FAM","1.7469390630722046","1.4444552063941956","1.0E8","false"
"1","A1","36","ISO - FAM","1.7620536088943481","1.4570756077766418","1.0E8","false"
"1","A1","37","ISO - FAM","1.7785940170288086","1.4711218714714052","1.0E8","false"
"1","A1","38","ISO - FAM","1.7902116775512695","1.4802453875541688","1.0E8","false"
"1","A1","39","ISO - FAM","1.803985595703125","1.491525161266327","1.0E8","false"
"1","A1","40","ISO - FAM","1.821308970451355","1.5063543915748596","1.0E8","false"
"1","A1","41","ISO - FAM","1.8373326063156128","1.5198838829994201","1.0E8","false"
"1","A1","42","ISO - FAM","1.8524858951568604","1.5325430274009706","1.0E8","false"
"1","A1","43","ISO - FAM","1.8695734739303589","1.5471364617347718","1.0E8","false"
"1","A1","44","ISO - FAM","1.8831088542938232","1.5581776976585389","1.0E8","false"
"1","A1","45","ISO - FAM","1.901589035987854","1.5741637349128723","1.0E8","false"
"1","A1","46","ISO - FAM","1.9226301908493042","1.5927107453346252","1.0E8","false"
"1","A1","47","ISO - FAM","1.9457989931106567","1.6133854031562807","1.0E8","false"
"1","A1","48","ISO - FAM","1.9661040306091309","1.6311962962150575","1.0E8","false"
"1","A1","49","ISO - FAM","1.9863686561584473","1.6489667773246766","1.0E8","false"
"1","A1","50","ISO - FAM","2.009262800216675","1.6693667769432068","1.0E8","false"
"1","A1","51","ISO - FAM","2.043884754180908","1.7014945864677429","1.0E8","false"
"1","A1","52","ISO - FAM","2.084861993789673","1.7399776816368104","1.0E8","false"
"1","A1","53","ISO - FAM","2.135169267654419","1.7877908110618592","1.0E8","false"
"1","A1","54","ISO - FAM","2.1896142959594727","1.8397416949272156","1.0E8","false"
"1","A1","55","ISO - FAM","2.250002145767212","1.8976354002952576","1.0E8","false"
"1","A1","56","ISO - FAM","2.316112756729126","1.9612518668174743","1.0E8","false"
"1","A1","57","ISO - FAM","2.385460376739502","2.028105342388153","1.0E8","false"
"1","A1","58","ISO - FAM","2.4611849784851074","2.101335799694061","1.0E8","false"
"1","A1","59","ISO - FAM","2.5299649238586426","2.167621600627899","1.0E8","false"
"1","A1","60","ISO - FAM","2.585413694381714","2.220576226711273","1.0E8","false"
"1","A1","1","ISO - HEX","0.20544208586215973","0.0030314579606056224","1.0E8","false"
"1","A1","2","ISO - HEX","0.20552770793437958","0.002484931300083799","1.0E8","false"
"1","A1","3","ISO - HEX","0.20526055991649628","0.0015856345494588266","1.0E8","false"
"1","A1","4","ISO - HEX","0.20525050163269043","9.434275329113075E-4","1.0E8","false"
"1","A1","5","ISO - HEX","0.20479616522789001","-1.430576046307795E-4","1.0E8","false"
"1","A1","6","ISO - HEX","0.20449945330619812","-0.001071918259064346","1.0E8","false"
"1","A1","7","ISO - HEX","0.2041095644235611","-0.002093955874443042","1.0E8","false"
"1","A1","8","ISO - HEX","0.2047487199306488","-0.0020869491000970342","1.0E8","false"
"1","A1","9","ISO - HEX","0.20784078538417816","3.7296762069065196E-4","1.0E8","false"
"1","A1","10","ISO - HEX","0.20891956984996796","8.196033537387749E-4","1.0E8","false"
"1","A1","11","ISO - HEX","0.2104063630104065","0.0016742477814356406","1.0E8","false"
"1","A1","12","ISO - HEX","0.21535934507846832","0.005995081116755797","1.0E8","false"
"1","A1","13","ISO - HEX","0.2217606157064438","0.011764203011989589","1.0E8","false"
"1","A1","14","ISO - HEX","0.23090095818042755","0.020272396753231683","1.0E8","false"
"1","A1","15","ISO - HEX","0.2401881366968155","0.02892742653687795","1.0E8","false"
"1","A1","16","ISO - HEX","0.2473718822002411","0.03547902330756188","1.0E8","false"
"1","A1","17","ISO - HEX","0.25289034843444824","0.04036534080902736","1.0E8","false"
"1","A1","18","ISO - HEX","0.25829148292541504","0.045134326567252483","1.0E8","false"
"1","A1","19","ISO - HEX","0.26339396834373474","0.049604663252830514","1.0E8","false"
"1","A1","20","ISO - HEX","0.2659741938114166","0.051552739987770727","1.0E8","false"
"1","A1","21","ISO - HEX","0.2692272663116455","0.054173663755257936","1.0E8","false"
"1","A1","22","ISO - HEX","0.27151694893836975","0.05583119764924051","1.0E8","false"
"1","A1","23","ISO - HEX","0.2726137340068817","0.0562958339850108","1.0E8","false"
"1","A1","24","ISO - HEX","0.27339208126068115","0.05644203250606854","1.0E8","false"
"1","A1","25","ISO - HEX","0.27418896555900574","0.05660676807165145","1.0E8","false"
"1","A1","26","ISO - HEX","0.27321499586105347","0.05500064964095751","1.0E8","false"
"1","A1","27","ISO - HEX","0.2740267515182495","0.05518025656541188","1.0E8","false"
"1","A1","28","ISO - HEX","0.27605104446411133","0.056572400778532025","1.0E8","false"
"1","A1","29","ISO - HEX","0.2783176898956299","0.05820689747730891","1.0E8","false"
"1","A1","30","ISO - HEX","0.2796306908130646","0.05888774966200193","1.0E8","false"
"1","A1","31","ISO - HEX","0.27820077538490295","0.056825685501098636","1.0E8","false"
"1","A1","32","ISO - HEX","0.27879464626312256","0.05678740764657657","1.0E8","false"
"1","A1","33","ISO - HEX","0.2791147232055664","0.056475335856278744","1.0E8","false"
"1","A1","34","ISO - HEX","0.2799246609210968","0.05665312483906747","1.0E8","false"
"1","A1","35","ISO - HEX","0.2817288935184479","0.05782520870367687","1.0E8","false"
"1","A1","36","ISO - HEX","0.2827273905277252","0.05819155698021254","1.0E8","false"
"1","A1","37","ISO - HEX","0.2818681001663208","0.05670011788606642","1.0E8","false"
"1","A1","38","ISO - HEX","0.28280457854270935","0.05700444752971333","1.0E8","false"
"1","A1","39","ISO - HEX","0.28407227993011475","0.057640000184377024","1.0E8","false"
"1","A1","40","ISO - HEX","0.2834523916244507","0.05638796314597129","1.0E8","false"
"1","A1","41","ISO - HEX","0.2864859700202942","0.058789392809073124","1.0E8","false"
"1","A1","42","ISO - HEX","0.2878173589706421","0.05948863302667935","1.0E8","false"
"1","A1","43","ISO - HEX","0.287346214056015","0.058385339379310605","1.0E8","false"
"1","A1","44","ISO - HEX","0.28811711072921753","0.05852408731977145","1.0E8","false"
"1","A1","45","ISO - HEX","0.28723543882369995","0.0570102666815122","1.0E8","false"
"1","A1","46","ISO - HEX","0.28922039270401","0.058363071829080584","1.0E8","false"
"1","A1","47","ISO - HEX","0.29210716485977173","0.06061769525210063","1.0E8","false"
"1","A1","48","ISO - HEX","0.2935117185115814","0.06139010017116865","1.0E8","false"
"1","A1","49","ISO - HEX","0.2943563163280487","0.061602549254894265","1.0E8","false"
"1","A1","50","ISO - HEX","0.2937171757221222","0.06033125991622608","1.0E8","false"
"1","A1","51","ISO - HEX","0.2958986163139343","0.06188055177529654","1.0E8","false"
"1","A1","52","ISO - HEX","0.2992018461227417","0.06455163285136221","1.0E8","false"
"1","A1","53","ISO - HEX","0.30068594217300415","0.06540358016888302","1.0E8","false"
"1","A1","54","ISO - HEX","0.3039534091949463","0.06803889845808346","1.0E8","false"
"1","A1","55","ISO - HEX","0.30657386779785156","0.07002720832824706","1.0E8","false"
"1","A1","56","ISO - HEX","0.31108102202415466","0.07390221382180849","1.0E8","false"
"1","A1","57","ISO - HEX","0.315531462430954","0.07772050549586614","1.0E8","false"
"1","A1","58","ISO - HEX","0.3191763162612915","0.08073321059346199","1.0E8","false"
"1","A1","59","ISO - HEX","0.3246003985404968","0.08552514413992564","1.0E8","false"
"1","A1","60","ISO - HEX","0.32750681042671204","0.08779940729339918","1.0E8","false"
"2","A2","1","ISO - FAM","0.2941817045211792","0.0069881737232208255","1.0E8","false"
"2","A2","2","ISO - FAM","0.2947998344898224","0.004704108834266663","1.0E8","false"
"2","A2","3","ISO - FAM","0.29428234696388245","0.00128442645072937","1.0E8","false"
"2","A2","4","ISO - FAM","0.2945290207862854","-0.001371094584465027","1.0E8","false"
"2","A2","5","ISO - FAM","0.2983817458152771","-4.205644130706788E-4","1.0E8","false"
"2","A2","6","ISO - FAM","0.3015212118625641","-1.8329322338104257E-4","1.0E8","false"
"2","A2","7","ISO - FAM","0.30529722571372986","6.905257701873778E-4","1.0E8","false"
"2","A2","8","ISO - FAM","0.31305381655693054","0.005544921755790711","1.0E8","false"
"2","A2","9","ISO - FAM","0.3281444013118744","0.017733311653137206","1.0E8","false"
"2","A2","10","ISO - FAM","0.35454097390174866","0.04122768938541412","1.0E8","false"
"2","A2","11","ISO - FAM","0.40300682187080383","0.08679134249687195","1.0E8","false"
"2","A2","12","ISO - FAM","0.48299795389175415","0.16388027966022492","1.0E8","false"
"2","A2","13","ISO - FAM","0.6001208424568176","0.278100973367691","1.0E8","false"
"2","A2","14","ISO - FAM","0.7541558742523193","0.4292338103055954","1.0E8","false"
"2","A2","15","ISO - FAM","0.9258912801742554","0.5980670213699341","1.0E8","false"
"2","A2","16","ISO - FAM","1.092982292175293","0.7622558385133743","1.0E8","false"
"2","A2","17","ISO - FAM","1.2373871803283691","0.9037585318088531","1.0E8","false"
"2","A2","18","ISO - FAM","1.353959560394287","1.0174287170171739","1.0E8","false"
"2","A2","19","ISO - FAM","1.437235951423645","1.0978029131889344","1.0E8","false"
"2","A2","20","ISO - FAM","1.4935295581817627","1.1511943250894547","1.0E8","false"
"2","A2","21","ISO - FAM","1.5334967374801636","1.1882593095302583","1.0E8","false"
"2","A2","22","ISO - FAM","1.5656014680862427","1.21746184527874","1.0E8","false"
"2","A2","23","ISO - FAM","1.5900081396102905","1.2389663219451905","1.0E8","false"
"2","A2","24","ISO - FAM","1.61208176612854","1.2581377536058427","1.0E8","false"
"2","A2","25","ISO - FAM","1.6285037994384766","1.2716575920581819","1.0E8","false"
"2","A2","26","ISO - FAM","1.645430088043213","1.2856816858053208","1.0E8","false"
"2","A2","27","ISO - FAM","1.6621673107147217","1.2995167136192323","1.0E8","false"
"2","A2","28","ISO - FAM","1.6772630214691162","1.3117102295160294","1.0E8","false"
"2","A2","29","ISO - FAM","1.6940022706985474","1.3255472838878632","1.0E8","false"
"2","A2","30","ISO - FAM","1.709818720817566","1.3384615391492845","1.0E8","false"
"2","A2","31","ISO - FAM","1.7250937223434448","1.350834345817566","1.0E8","false"
"2","A2","32","ISO - FAM","1.741563081741333","1.3644015103578568","1.0E8","false"
"2","A2","33","ISO - FAM","1.7563767433166504","1.3763129770755769","1.0E8","false"
"2","A2","34","ISO - FAM","1.7732876539230347","1.3903216928243638","1.0E8","false"
"2","A2","35","ISO - FAM","1.7868324518203735","1.4009642958641053","1.0E8","false"
"2","A2","36","ISO - FAM","1.8006877899169922","1.4119174391031266","1.0E8","false"
"2","A2","37","ISO - FAM","1.8167240619659424","1.4250515162944795","1.0E8","false"
"2","A2","38","ISO - FAM","1.8327016830444336","1.4381269425153733","1.0E8","false"
"2","A2","39","ISO - FAM","1.8494682312011719","1.4519912958145142","1.0E8","false"
"2","A2","40","ISO - FAM","1.8637398481369019","1.4633607178926469","1.0E8","false"
"2","A2","41","ISO - FAM","1.8797829151153564","1.4765015900135041","1.0E8","false"
"2","A2","42","ISO - FAM","1.8971211910247803","1.4909376710653306","1.0E8","false"
"2","A2","43","ISO - FAM","1.9139180183410645","1.5048323035240174","1.0E8","false"
"2","A2","44","ISO - FAM","1.9312108755111694","1.519222965836525","1.0E8","false"
"2","A2","45","ISO - FAM","1.9477393627166748","1.532849258184433","1.0E8","false"
"2","A2","46","ISO - FAM","1.9650541543960571","1.547261855006218","1.0E8","false"
"2","A2","47","ISO - FAM","1.9865412712097168","1.5658467769622804","1.0E8","false"
"2","A2","48","ISO - FAM","2.0100700855255127","1.586473396420479","1.0E8","false"
"2","A2","49","ISO - FAM","2.0391147136688232","1.612615829706192","1.0E8","false"
"2","A2","50","ISO - FAM","2.0737879276275635","1.644386848807335","1.0E8","false"
"2","A2","51","ISO - FAM","2.109682083129883","1.677378809452057","1.0E8","false"
"2","A2","52","ISO - FAM","2.1557483673095703","1.7205428987741471","1.0E8","false"
"2","A2","53","ISO - FAM","2.214647054672241","1.7765393912792207","1.0E8","false"
"2","A2","54","ISO - FAM","2.278214693069458","1.8372048348188401","1.0E8","false"
"2","A2","55","ISO - FAM","2.3460144996643066","1.9021024465560914","1.0E8","false"
"2","A2","56","ISO - FAM","2.4171953201293945","1.970381072163582","1.0E8","false"
"2","A2","57","ISO - FAM","2.4781012535095215","2.0283848106861115","1.0E8","false"
"2","A2","58","ISO - FAM","2.549588441848755","2.0969698041677476","1.0E8","false"
"2","A2","59","ISO - FAM","2.620811939239502","2.1652911067008973","1.0E8","false"
"2","A2","60","ISO - FAM","2.6729161739349365","2.2144931465387345","1.0E8","false"
"2","A2","1","ISO - HEX","0.19196845591068268","0.0011262748213041324","1.0E8","false"
"2","A2","2","ISO - HEX","0.19164925813674927","3.207725073609974E-4","1.0E8","false"
"2","A2","3","ISO - HEX","0.19169186055660248","-1.229296127955165E-4","1.0E8","false"
"2","A2","4","ISO - HEX","0.19199040532112122","-3.1068938828650305E-4","1.0E8","false"
"2","A2","5","ISO - HEX","0.19338607788085938","5.986786314419318E-4","1.0E8","false"
"2","A2","6","ISO - HEX","0.19352808594703674","2.543821576095756E-4","1.0E8","false"
"2","A2","7","ISO - HEX","0.19363564252853394","-1.2436580090295635E-4","1.0E8","false"
"2","A2","8","ISO - HEX","0.1938144415616989","-4.3187130774770266E-4","1.0E8","false"
"2","A2","9","ISO - HEX","0.19468317925930023","-4.943815015610864E-5","1.0E8","false"
"2","A2","10","ISO - HEX","0.19540515542030334","1.862334708372798E-4","1.0E8","false"
"2","A2","11","ISO - HEX","0.19784508645534515","0.0021398599658693646","1.0E8","false"
"2","A2","12","ISO - HEX","0.202457457780838","0.006265926751352471","1.0E8","false"
"2","A2","13","ISO - HEX","0.20721399784088135","0.010536162271386082","1.0E8","false"
"2","A2","14","ISO - HEX","0.21518857777118683","0.01802443766168184","1.0E8","false"
"2","A2","15","ISO - HEX","0.2244497537612915","0.02679930911177679","1.0E8","false"
"2","A2","16","ISO - HEX","0.23071226477622986","0.03257551558670542","1.0E8","false"
"2","A2","17","ISO - HEX","0.23745359480381012","0.03883054107427596","1.0E8","false"
"2","A2","18","ISO - HEX","0.24423037469387054","0.04512101642432666","1.0E8","false"
"2","A2","19","ISO - HEX","0.24999530613422394","0.050399643324670326","1.0E8","false"
"2","A2","20","ISO - HEX","0.25382858514785767","0.05374661779829433","1.0E8","false"
"2","A2","21","ISO - HEX","0.25656625628471375","0.055997984395140685","1.0E8","false"
"2","A2","22","ISO - HEX","0.2586740255355835","0.05761944910600071","1.0E8","false"
"2","A2","23","ISO - HEX","0.25956520438194275","0.05802432341235024","1.0E8","false"
"2","A2","24","ISO - HEX","0.26029056310653687","0.05826337759693463","1.0E8","false"
"2","A2","25","ISO - HEX","0.26120293140411377","0.05868944135450181","1.0E8","false"
"2","A2","26","ISO - HEX","0.2626424729824066","0.059642678392784934","1.0E8","false"
"2","A2","27","ISO - HEX","0.2622341215610504","0.05874802243141901","1.0E8","false"
"2","A2","28","ISO - HEX","0.26267558336257935","0.058703179692938215","1.0E8","false"
"2","A2","29","ISO - HEX","0.26437175273895264","0.05991304452930178","1.0E8","false"
"2","A2","30","ISO - HEX","0.26529040932655334","0.060345396576892765","1.0E8","false"
"2","A2","31","ISO - HEX","0.26545166969299316","0.06002035240332286","1.0E8","false"
"2","A2","32","ISO - HEX","0.26575982570648193","0.059842203876801905","1.0E8","false"
"2","A2","33","ISO - HEX","0.2685701251029968","0.062166198733307046","1.0E8","false"
"2","A2","34","ISO - HEX","0.2682267129421234","0.06133648203242391","1.0E8","false"
"2","A2","35","ISO - HEX","0.26895999908447266","0.06158346363476343","1.0E8","false"
"2","A2","36","ISO - HEX","0.26853013038635254","0.060667290396633586","1.0E8","false"
"2","A2","37","ISO - HEX","0.26965728402137756","0.061308139491648886","1.0E8","false"
"2","A2","38","ISO - HEX","0.2718556821346283","0.0630202330648899","1.0E8","false"
"2","A2","39","ISO - HEX","0.27245745062828064","0.06313569701853251","1.0E8","false"
"2","A2","40","ISO - HEX","0.27210932970046997","0.06230127155071212","1.0E8","false"
"2","A2","41","ISO - HEX","0.2725256085395813","0.062231245849813724","1.0E8","false"
"2","A2","42","ISO - HEX","0.2755177617073059","0.06473709447752861","1.0E8","false"
"2","A2","43","ISO - HEX","0.2763539254665375","0.06508695369675045","1.0E8","false"
"2","A2","44","ISO - HEX","0.27671000361442566","0.06495672730462891","1.0E8","false"
"2","A2","45","ISO - HEX","0.27762094140052795","0.06538136055072148","1.0E8","false"
"2","A2","46","ISO - HEX","0.27826201915740967","0.06553613376759347","1.0E8","false"
"2","A2","47","ISO - HEX","0.27906936407089233","0.06585717414106641","1.0E8","false"
"2","A2","48","ISO - HEX","0.2808021605014801","0.06710366603164446","1.0E8","false"
"2","A2","49","ISO - HEX","0.2804303765296936","0.06624557751984823","1.0E8","false"
