# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_3\data\JG034 TMCC1 Gen2 Competitors - 59C v3.eds
# Comment: NA
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2019-12-17 12:44:16 PM EST
# Run End Date/Time: 2019-12-17 02:02:51 PM EST
# Run Duration: 78 minutes 34 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 02:03:12 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 02:03:55 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","1.0E8","ISO - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2517032255293477","","","9.559678127192996","0.8122756649126026","9.7599343830541","0.2832051129888211","true","0.03999999910593033","true","3","7"
"1","A1","false","1.0E8","ISO - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.5960726981460944","","","16.883295586651254","0.29960415395921536","16.996972687811258","0.1607636981922542","true","0.03999999910593033","true","3","11"
"2","A2","false","1.0E8","ISO - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.25164549140736","","","9.960190638915204","0.8197662337594972","9.7599343830541","0.2832051129888211","true","0.03999999910593033","true","3","7"
"2","A2","false","1.0E8","ISO - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.5750311746878066","","","17.110649788971266","0.3149183078365857","16.996972687811258","0.1607636981922542","true","0.03999999910593033","true","3","10"
"4","A4","false","1.0E8","BP15 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2459983457461428","","","10.097934033847643","0.9245062690355401","10.088315060869567","0.013603282041253984","true","0.0504887809435339","true","3","7"
"5","A5","false","1.0E8","BP15 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2484517436442244","","","10.07869608789149","0.9240642974430621","10.088315060869567","0.013603282041253984","true","0.0504887809435339","true","3","7"
"7","A7","false","1.0E8","BP30 - HEX","STANDARD","HEX","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","59"
"7","A7","false","1.0E8","BP30 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2497556768804152","","","9.376383427038697","0.7281548137598788","9.494520700670092","0.16707133459123963","true","0.042447657773235045","true","3","6"
"8","A8","false","1.0E8","BP30 - HEX","STANDARD","HEX","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","59"
"8","A8","false","1.0E8","BP30 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2446615799947254","","","9.612657974301488","0.7349319852761548","9.494520700670092","0.16707133459123963","true","0.042447657773235045","true","3","6"
"10","A10","false","1.0E8","BP40 - HEX","STANDARD","HEX","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.04648022015490727","true","3","59"
"10","A10","false","1.0E8","BP40 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2469340102371138","","","9.990443713284098","0.8752294159394556","10.04841846324783","0.08198867767380891","true","0.04606695265657264","true","3","7"
