# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_3\data\JG034 TMCC1 Gen2 Competitors - 59C v3.eds
# Comment: NA
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2019-12-17 12:44:16 PM EST
# Run End Date/Time: 2019-12-17 02:02:51 PM EST
# Run Duration: 78 minutes 34 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 02:03:12 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 02:03:55 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","33977.926","31678.682","154197.62"
"1","A1","2","34210.805","31732.113","154393.36"
"1","A1","3","34603.223","31761.006","154735.06"
"1","A1","4","34772.45","31757.58","154725.95"
"1","A1","5","35066.97","31689.281","154735.72"
"1","A1","6","35549.816","31652.174","154778.77"
"1","A1","7","36212.598","31637.387","155001.98"
"1","A1","8","37866.89","31722.062","154931.67"
"1","A1","9","40564.867","32121.758","154549.83"
"1","A1","10","45952.87","32272.162","154471.7"
"1","A1","11","55091.777","32563.598","154765.27"
"1","A1","12","69574.43","33313.36","154687.31"
"1","A1","13","90158.66","34235.19","154379.05"
"1","A1","14","115484.14","35603.3","154192.95"
"1","A1","15","142171.69","36977.23","153951.11"
"1","A1","16","167352.67","38077.582","153928.5"
"1","A1","17","188399.95","38984.203","154154.56"
"1","A1","18","204726.47","39777.22","154001.28"
"1","A1","19","216264.22","40544.35","153930.45"
"1","A1","20","224294.1","40962.434","154009.05"
"1","A1","21","229985.77","41447.527","153949.97"
"1","A1","22","234066.39","41790.004","153913.06"
"1","A1","23","237580.92","41980.29","153991.83"
"1","A1","24","240724.78","42091.547","153960.38"
"1","A1","25","243255.45","42198.598","153903.34"
"1","A1","26","246186.52","42026.76","153823.05"
"1","A1","27","248646.08","42138.414","153774.81"
"1","A1","28","251250.92","42442.29","153747.97"
"1","A1","29","253695.34","42765.664","153657.73"
"1","A1","30","256133.05","42971.473","153672.23"
"1","A1","31","258920.73","42802.727","153855.53"
"1","A1","32","261454.52","42917.36","153938.97"
"1","A1","33","263757.78","42991.566","154028.3"
"1","A1","34","266194.88","43087.242","153924.42"
"1","A1","35","268839.34","43355.727","153891.66"
"1","A1","36","271402.28","43547.406","154026.12"
"1","A1","37","273979.7","43419.76","154042.84"
"1","A1","38","275913.78","43586.844","154123.55"
"1","A1","39","278157.7","43801.29","154190.64"
"1","A1","40","280756.0","43694.38","154150.67"
"1","A1","41","283139.8","44148.56","154103.73"
"1","A1","42","285413.22","44344.133","154070.39"
"1","A1","43","288269.12","44305.85","154189.78"
"1","A1","44","290569.84","44457.41","154303.27"
"1","A1","45","293246.84","44295.0","154211.47"
"1","A1","46","295966.62","44522.125","153938.4"
"1","A1","47","299013.94","44888.56","153671.55"
"1","A1","48","302165.12","45109.008","153687.25"
"1","A1","49","305923.53","45334.242","154011.45"
"1","A1","50","309763.03","45281.64","154167.5"
"1","A1","51","314691.94","45558.79","153967.56"
"1","A1","52","320844.97","46044.973","153892.67"
"1","A1","53","328734.1","46294.094","153961.61"
"1","A1","54","337089.84","46793.453","153949.42"
"1","A1","55","346448.03","47205.25","153976.75"
"1","A1","56","356599.44","47895.473","153964.62"
"1","A1","57","367420.4","48599.72","154024.95"
"1","A1","58","378908.16","49138.33","153953.55"
"1","A1","59","389336.75","49952.812","153890.17"
"1","A1","60","397851.03","50397.707","153882.92"
"2","A2","1","45007.305","29369.545","152991.52"
"2","A2","2","45186.26","29375.57","153277.77"
"2","A2","3","45211.992","29450.527","153634.73"
"2","A2","4","45274.812","29512.643","153719.36"
"2","A2","5","45842.25","29711.11","153636.23"
"2","A2","6","46316.945","29728.025","153610.9"
"2","A2","7","46937.184","29770.043","153742.58"
"2","A2","8","48147.055","29808.277","153798.02"
"2","A2","9","50486.867","29953.105","153855.64"
"2","A2","10","54575.95","30079.52","153934.11"
"2","A2","11","62007.81","30441.023","153862.92"
"2","A2","12","74327.9","31155.902","153888.64"
"2","A2","13","92449.44","31921.602","154051.38"
"2","A2","14","116126.59","33135.215","153982.22"
"2","A2","15","142518.78","34548.664","153926.05"
"2","A2","16","168370.52","35540.504","154046.88"
"2","A2","17","190649.62","36585.508","154074.34"
"2","A2","18","208253.58","37565.266","153810.78"
"2","A2","19","220932.34","38429.35","153720.3"
"2","A2","20","229911.7","39073.992","153938.5"
"2","A2","21","236123.11","39505.28","153976.92"
"2","A2","22","241050.45","39827.18","153966.67"
"2","A2","23","244781.25","39959.98","153949.69"
"2","A2","24","248028.61","40047.29","153856.1"
"2","A2","25","250550.73","40186.94","153853.33"
"2","A2","26","253322.14","40435.113","153954.97"
"2","A2","27","256050.98","40396.234","154046.45"
"2","A2","28","258586.52","40497.145","154171.72"
"2","A2","29","261139.53","40754.324","154155.36"
"2","A2","30","263526.75","40888.027","154125.55"
"2","A2","31","265929.3","40920.316","154153.55"
"2","A2","32","268346.16","40949.207","154083.52"
"2","A2","33","270691.0","41391.754","154118.98"
"2","A2","34","273343.38","41345.797","154144.97"
"2","A2","35","275721.62","41502.54","154307.48"
"2","A2","36","277910.6","41443.812","154335.8"
"2","A2","37","280466.44","41629.777","154380.31"
"2","A2","38","282907.06","41965.31","154366.12"
"2","A2","39","285451.38","42051.74","154342.4"
"2","A2","40","287732.8","42009.5","154384.64"
"2","A2","41","290092.16","42056.74","154322.16"
"2","A2","42","292531.34","42484.15","154197.5"
"2","A2","43","295067.72","42605.336","154169.47"
"2","A2","44","297897.8","42683.742","154254.42"
"2","A2","45","300640.88","42851.832","154353.75"
"2","A2","46","303377.7","42959.88","154386.42"
"2","A2","47","306716.97","43087.61","154397.48"
"2","A2","48","310539.9","43381.707","154492.08"
"2","A2","49","314810.03","43294.42","154385.64"
"2","A2","50","320003.0","43707.492","154308.45"
"2","A2","51","325966.1","44159.562","154509.58"
"2","A2","52","333098.44","44687.023","154516.38"
"2","A2","53","342114.28","45380.9","154478.02"
"2","A2","54","351918.72","45807.344","154471.27"
"2","A2","55","362182.62","46581.93","154382.1"
"2","A2","56","373041.84","47127.695","154328.38"
"2","A2","57","382982.03","47614.69","154546.56"
"2","A2","58","393680.3","48335.95","154409.36"
"2","A2","59","404441.3","48785.73","154319.1"
"2","A2","60","413115.56","49493.562","154556.12"
"4","A4","1","58435.44",,"170126.84"
"4","A4","2","58638.75",,"170402.69"
"4","A4","3","59079.363",,"171001.75"
"4","A4","4","59414.758",,"171285.52"
"4","A4","5","59837.24",,"171244.03"
"4","A4","6","60292.76",,"171241.78"
"4","A4","7","61019.67",,"171196.73"
"4","A4","8","62513.305",,"171322.3"
"4","A4","9","65353.023",,"171279.22"
"4","A4","10","70282.9",,"171299.61"
"4","A4","11","79103.484",,"171236.17"
"4","A4","12","93496.51",,"171372.78"
"4","A4","13","114465.48",,"171687.02"
"4","A4","14","140968.44",,"171717.7"
"4","A4","15","169794.73",,"171668.11"
"4","A4","16","197347.33",,"171541.38"
"4","A4","17","220814.08",,"171490.45"
"4","A4","18","238687.1",,"171550.67"
"4","A4","19","251742.69",,"171591.58"
"4","A4","20","260988.3",,"171740.98"
"4","A4","21","267487.38",,"171678.6"
"4","A4","22","271881.75",,"171543.31"
"4","A4","23","276045.62",,"171529.8"
"4","A4","24","279169.12",,"171638.56"
"4","A4","25","282346.62",,"171704.95"
"4","A4","26","285131.94",,"171720.02"
"4","A4","27","288340.78",,"171772.38"
"4","A4","28","291517.06",,"171953.88"
"4","A4","29","294136.38",,"171905.27"
"4","A4","30","296765.72",,"171944.17"
"4","A4","31","299266.16",,"171911.95"
"4","A4","32","302211.84",,"171991.17"
"4","A4","33","304704.84",,"171908.52"
"4","A4","34","307802.9",,"171890.03"
"4","A4","35","310768.5",,"171923.5"
"4","A4","36","313570.84",,"171955.62"
"4","A4","37","316530.66",,"172001.28"
"4","A4","38","319330.25",,"172099.8"
"4","A4","39","321969.06",,"172097.17"
"4","A4","40","324516.3",,"171951.6"
"4","A4","41","326916.97",,"171876.9"
"4","A4","42","329368.28",,"172024.0"
"4","A4","43","331803.66",,"172078.88"
"4","A4","44","335014.25",,"172078.0"
"4","A4","45","337736.72",,"172035.64"
"4","A4","46","340101.16",,"171958.48"
"4","A4","47","343386.16",,"172146.36"
"4","A4","48","346298.7",,"172242.1"
"4","A4","49","349298.72",,"172193.03"
"4","A4","50","352538.03",,"172240.66"
"4","A4","51","356630.84",,"172274.86"
"4","A4","52","360812.3",,"172354.42"
"4","A4","53","365801.4",,"172364.89"
"4","A4","54","372151.72",,"172257.4"
"4","A4","55","379132.62",,"172271.75"
"4","A4","56","386675.62",,"172208.45"
"4","A4","57","395227.03",,"172405.0"
"4","A4","58","403740.62",,"172592.12"
"4","A4","59","413289.72",,"172603.4"
"4","A4","60","421244.88",,"172463.58"
"5","A5","1","47247.207",,"166738.86"
"5","A5","2","47399.754",,"166966.75"
"5","A5","3","47733.816",,"167435.94"
"5","A5","4","47970.246",,"167459.47"
"5","A5","5","48403.926",,"167355.3"
"5","A5","6","48787.684",,"167280.0"
"5","A5","7","49548.945",,"167223.94"
"5","A5","8","51117.832",,"167375.42"
"5","A5","9","53943.188",,"167638.1"
"5","A5","10","58858.375",,"167686.81"
"5","A5","11","67575.11",,"167622.22"
"5","A5","12","81691.42",,"167444.23"
"5","A5","13","102218.02",,"167369.36"
"5","A5","14","128451.9",,"167542.08"
"5","A5","15","157119.77",,"167644.66"
"5","A5","16","184327.39",,"167629.23"
"5","A5","17","207706.0",,"167681.27"
"5","A5","18","225739.78",,"167603.33"
"5","A5","19","238740.56",,"167557.17"
"5","A5","20","247981.92",,"167578.66"
"5","A5","21","254128.58",,"167562.28"
"5","A5","22","258736.03",,"167511.1"
"5","A5","23","261800.8",,"167613.67"
"5","A5","24","265759.62",,"167564.36"
