,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
222,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,50,0.9782694621671797,1.6985981464385986,0.917737563459244
224,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,50,0.9667571558454514,1.6790975332260132,0.9071430865934925
254,JG034,250,GC55 - FAM,7.0,False,K10,10000000.0,FAM,,STANDARD,,13.565527,254,50,0.9435975580900599,1.6791112422943115,0.821133529428602
256,JG034,251,GC55 - FAM,7.0,False,K11,10000000.0,FAM,,STANDARD,,13.547973,256,50,0.9271205583683354,1.6549662351608276,0.8098999588213469
286,JG034,274,GC55 - FAM,6.0,False,L10,1000000.0,FAM,,STANDARD,,17.191023,286,50,0.8532742638829393,1.518368124961853,0.5490031313339228
288,JG034,275,GC55 - FAM,6.0,False,L11,1000000.0,FAM,,STANDARD,,16.882715,288,50,0.8506582696809677,1.530766248703003,0.5652891670306577
318,JG034,298,GC55 - FAM,5.0,False,M10,100000.0,FAM,,STANDARD,,20.91469,318,50,0.6474703572357762,1.1635868549346924,0.1020234272703806
320,JG034,299,GC55 - FAM,5.0,False,M11,100000.0,FAM,,STANDARD,,20.528013,320,50,0.6671625457018256,1.199352741241455,0.16191127699269892
350,JG034,322,GC55 - FAM,4.0,False,N10,10000.0,FAM,,STANDARD,,23.950245,350,50,0.4369598348439199,0.7799414992332458,-0.2521301305996377
352,JG034,323,GC55 - FAM,4.0,False,N11,10000.0,FAM,,STANDARD,,23.83321,352,50,0.4509116924536047,0.8053544759750366,-0.2402610306495762
382,JG034,346,GC55 - FAM,3.0,False,O10,1000.0,FAM,,STANDARD,,32.806778,382,50,0.10371326848565111,0.1798774152994156,-0.7115859331464245
384,JG034,347,GC55 - FAM,3.0,False,O11,1000.0,FAM,,STANDARD,,30.969448,384,50,0.12558410944334433,0.2186887562274933,-0.6840540349859247
414,JG034,370,GC55 - FAM,2.0,False,P10,100.0,FAM,,STANDARD,,36.95776,414,50,0.06168861973077892,0.12413164973258972,-0.7543873604285469
416,JG034,371,GC55 - FAM,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,50,0.0637873844808117,0.1136796772480011,-0.7612084599329649
