,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,S036.5,S057.3.2,S057.4.2,lg10 S036.5,lg10 S057.3.2,lg10 S057.4.2,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
32,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,100000000,1000000,10000,8.0,6.0,4.0,50,0.21673049659681531,0.30168959498405457,-0.40532983042384807
76,JG071B,41,FAM,-inf,False,B17,0.0,FAM,JG071B.128,UNKNOWN,,24.747463,76,100000000,1000000,10000,8.0,6.0,4.0,50,0.18972339883297681,0.2560027241706848,-0.4391516809745648
120,JG071B,65,FAM,-inf,False,C17,0.0,FAM,JG071B.129,UNKNOWN,,22.635347,120,10000000,1000000,10000,7.0,6.0,4.0,50,0.26112686239218547,0.37098896503448486,-0.34142543588095026
164,JG071B,89,FAM,-inf,False,D17,0.0,FAM,JG071B.129,UNKNOWN,,22.936771,164,10000000,1000000,10000,7.0,6.0,4.0,50,0.23704650173235792,0.323758065700531,-0.39249465824942803
208,JG071B,113,FAM,-inf,False,E17,0.0,FAM,JG071B.130,UNKNOWN,,22.422516,208,1000000,1000000,10000,6.0,6.0,4.0,50,0.32860997817653714,0.468799889087677,-0.22808484452842326
252,JG071B,137,FAM,-inf,False,F17,0.0,FAM,JG071B.130,UNKNOWN,,21.979248,252,1000000,1000000,10000,6.0,6.0,4.0,50,0.3492811733924067,0.501075804233551,-0.19728010387322714
296,JG071B,161,FAM,-inf,False,G17,0.0,FAM,JG071B.131,UNKNOWN,,21.086554,296,100000,1000000,10000,5.0,6.0,4.0,50,0.4565095177311066,0.6534968614578247,-0.022341552735707704
340,JG071B,185,FAM,-inf,False,H17,0.0,FAM,JG071B.131,UNKNOWN,,20.445967,340,100000,1000000,10000,5.0,6.0,4.0,50,0.47699378835442724,0.6922830939292908,0.008056140870233486
384,JG071B,209,FAM,-inf,False,I17,0.0,FAM,JG071B.132,UNKNOWN,,19.02384,384,10000,1000000,10000,4.0,6.0,4.0,50,0.5698178362688153,0.8268598318099976,0.17088517484037846
428,JG071B,233,FAM,-inf,False,J17,0.0,FAM,JG071B.132,UNKNOWN,,19.23839,428,10000,1000000,10000,4.0,6.0,4.0,50,0.5754636114987892,0.8425013422966003,0.19517941242149778
472,JG071B,257,FAM,-inf,False,K17,0.0,FAM,JG071B.133,UNKNOWN,,17.908646,472,1000,1000000,10000,3.0,6.0,4.0,50,0.6532252414207859,0.9512980580329895,0.3069792283531687
558,JG071B,305,FAM,-inf,False,M17,0.0,FAM,JG071B.134,UNKNOWN,,15.978347,558,100,1000000,10000,2.0,6.0,4.0,50,0.6833196726708838,0.9787011742591858,0.3428912551918746
602,JG071B,329,FAM,-inf,False,N17,0.0,FAM,JG071B.134,UNKNOWN,,15.635131,602,100,1000000,10000,2.0,6.0,4.0,50,0.6764014068974701,0.960451066493988,0.33597509151456695
