,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
40,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,100000000,100000000,100,8,8,2,50,0.35407830862344425,0.949249804,-0.374074157
88,JG074D,45,FAM,#NAME?,FALSE,B21,0,FAM,JG074D.045,UNKNOWN,,7.564008,88,31622776,100000000,100,7.499999991736717,8,2,50,0.39250729497882114,1.0422031879425049,-0.282218543
136,JG074D,69,FAM,#NAME?,FALSE,C21,0,FAM,JG074D.069,UNKNOWN,,7.63666,136,10000000,100000000,100,7,8,2,50,0.4330804237246922,1.1384739875793457,-0.199596084
184,JG074D,93,FAM,#NAME?,FALSE,D21,0,FAM,JG074D.093,UNKNOWN,,7.600862,184,3162277,100000000,100,6.4999999093351235,8,2,50,0.45545577542868865,1.1929806470870972,-0.127092885
232,JG074D,117,FAM,#NAME?,FALSE,E21,0,FAM,JG074D.117,UNKNOWN,,7.564247,232,1000000,100000000,100,6,8,2,50,0.48307602251440757,1.2592118978500366,-0.06139726
280,JG074D,141,FAM,#NAME?,FALSE,F21,0,FAM,JG074D.141,UNKNOWN,,7.5610447,280,316227,100000000,100,5.499998947982042,8,2,50,0.5013255048315768,1.3027617931365967,-0.026993041
328,JG074D,165,FAM,#NAME?,FALSE,G21,0,FAM,JG074D.165,UNKNOWN,,7.547202,328,100000,100000000,100,5,8,2,50,0.5240302036595107,1.3569774627685547,0.031571335562107165
420,JG074D,213,FAM,#NAME?,FALSE,I21,0,FAM,JG074D.213,UNKNOWN,,7.6160283,420,10000,100000000,100,4,8,2,50,0.5878807299705183,1.509662151,0.1008418009284508
468,JG074D,237,FAM,#NAME?,FALSE,J21,0,FAM,JG074D.237,UNKNOWN,,7.582932,468,3162,100000000,100,3.499961866,8,2,50,0.6403760684058536,1.6353520154953003,0.16519849689854765
516,JG074D,261,FAM,#NAME?,FALSE,K21,0,FAM,JG074D.261,UNKNOWN,,7.577499,516,1000,100000000,100,3,8,2,50,0.7543739955898286,1.908516764640808,0.3020769846307075
560,JG074D,285,FAM,#NAME?,FALSE,L21,0,FAM,JG074D.285,UNKNOWN,,7.7022614,560,316,100000000,100,2.499687082618404,8,2,50,0.8385090466885179,2.108285903930664,0.4761859366233632
608,JG074D,309,FAM,#NAME?,FALSE,M21,0,FAM,JG074D.309,UNKNOWN,,7.6188374,608,100,100000000,100,2,8,2,50,0.9115604267814252,2.284806013,0.6792042155841993
656,JG074D,333,FAM,#NAME?,FALSE,N21,0,FAM,JG074D.333,UNKNOWN,,7.6047034,656,31,100000000,100,1.4913616938342726,8,2,50,0.9358409611384488,2.343078136444092,0.8487096266026256
704,JG074D,357,FAM,#NAME?,FALSE,O21,0,FAM,JG074D.357,UNKNOWN,,7.4913583,704,10,100000000,100,1,8,2,50,0.9291794158895422,2.328631878,0.8903409816488246
752,JG074D,381,FAM,#NAME?,FALSE,P21,0,FAM,JG074D.381,UNKNOWN,,7.641526,752,3,100000000,100,0.47712125471966244,8,2,50,0.9294062610195555,2.327241897583008,0.9212335473922032
