,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,lg10 S036.5,lg10 S057.3.2,lg10 S057.4.2
5760,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,1,-0.0018704539642540408,0.00121539575047791,100000000,1000000,10000,8.0,6.0,4.0
5761,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,1,0.0033694338699925895,0.0016035799635574222,100000000,1000000,10000,8.0,6.0,4.0
5762,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,2,-0.0014798547637578678,0.0010962013620883226,100000000,1000000,10000,8.0,6.0,4.0
5763,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,2,0.0031545344891987185,0.001076649990864098,100000000,1000000,10000,8.0,6.0,4.0
5764,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,3,-0.0010026454908823917,0.0011100146220996976,100000000,1000000,10000,8.0,6.0,4.0
5765,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,3,0.0020086202707314685,0.00138540705665946,100000000,1000000,10000,8.0,6.0,4.0
5766,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,4,-0.0007060501421911354,0.0008464577840641141,100000000,1000000,10000,8.0,6.0,4.0
5767,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,4,0.0008003528599689862,0.001750132767483592,100000000,1000000,10000,8.0,6.0,4.0
5768,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,5,-0.0003593963839765961,0.0006597760366275907,100000000,1000000,10000,8.0,6.0,4.0
5769,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,5,0.0013206600359320232,0.0005632751854136586,100000000,1000000,10000,8.0,6.0,4.0
5770,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,6,-0.000415024385875604,-0.000144692967296578,100000000,1000000,10000,8.0,6.0,4.0
5771,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,6,0.0009411621722821276,0.00018409026961307973,100000000,1000000,10000,8.0,6.0,4.0
