,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence
2700,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,1,-0.005702840810532022,0.006336095277220011
2701,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,1,0.004356979852123584,-0.0006693212781101465
2702,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,2,-0.005619131027022952,0.003494214965030551
2703,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,2,0.0040190974169799195,-0.0007721622823737562
2704,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,3,-0.005533287289331923,0.0006573115242645144
2705,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,3,0.0028919247609376884,0.0006794262444600463
2706,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,4,-0.004618434297371627,-0.00024610673426650465
2707,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,4,0.0019486595410429374,0.0017688272055238485
2708,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,5,-0.003363260336979477,-0.000355799711542204
2709,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,5,0.003271981969762174,-0.0016055935993790627
2710,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,6,-0.0020013119984768424,-0.00021646448294632137
2711,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,6,0.0033074529670739238,-0.002443717559799552
2712,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,7,-0.0009500776114024711,-0.0008018025546334684
2713,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,7,0.002066588500962078,-0.0007682241266593337
2714,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,8,0.0011087537164505186,0.0009628619300201535
2715,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,8,8.336024853516954e-05,0.0023692818358540535
2716,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,9,0.0047833844832780095,0.006496029905974865
2717,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,9,-0.003491977059851291,0.008642289787530899
2718,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,10,0.010574233333833812,0.01696482114493847
2719,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,10,-0.01007799092846268,0.020844530314207077
2720,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,11,0.02023790234859547,0.03646612912416458
2721,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,11,-0.02002616806999525,0.03966822102665901
2722,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,12,0.03654542686910268,0.07146279513835907
2723,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,12,-0.03741627848242158,0.07314806431531906
2724,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,13,0.059828451487203144,0.12272831052541733
2725,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,13,-0.06429677226049521,0.12531828880310059
2726,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,14,0.08965072952162689,0.18924522399902344
2727,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,14,-0.09999954166901405,0.19486312568187714
2728,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,15,0.12284966420569784,0.2636374533176422
2729,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,15,-0.1393408424493894,0.2715736925601959
2730,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,16,0.15828564733723727,0.3432471454143524
2731,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,16,-0.17694243003226137,0.3448580503463745
2732,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,17,0.19391079847901457,0.4232980012893677
2733,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,17,-0.21003605335951003,0.4092644155025482
2734,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,18,0.22755742908355933,0.49873438477516174
2735,JG074C,16,HEX,-inf,False,A16,0.0,HEX,JG074C.016,UNKNOWN,,10.983518,31,100000000,1000000,100,8.0,6.0,2.0,18,-0.23672292452213836,0.4610533118247986
2736,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,19,0.2571844566994182,0.5647959113121033
