,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
30,JG074C,16,FAM,-inf,False,A16,0.0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8.0,6.0,2.0,50,0.5539479884135686,1.2384510040283203,0.18607470991862085
76,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,50,0.6170853807732675,1.3976017236709595,0.2418278389756119
122,JG074C,64,FAM,-inf,False,C16,0.0,FAM,JG074C.064,UNKNOWN,,13.142442,126,10000000,1000000,100,7.0,6.0,2.0,50,0.6674987089994727,1.4666283130645752,0.33657713221611923
168,JG074C,88,FAM,-inf,False,D16,0.0,FAM,JG074C.088,UNKNOWN,,13.975197,174,3162277,1000000,100,6.4999999093351235,6.0,2.0,50,0.6929241299154592,1.523708701133728,0.41401946766935793
214,JG074C,112,FAM,-inf,False,E16,0.0,FAM,JG074C.112,UNKNOWN,,15.342792,222,1000000,1000000,100,6.0,6.0,2.0,50,0.7821131738997398,1.7014728784561157,0.69029814525905
260,JG074C,136,FAM,-inf,False,F16,0.0,FAM,JG074C.136,UNKNOWN,,15.440546,270,316227,1000000,100,5.499998947982042,6.0,2.0,50,0.8532176156037578,1.8607827425003052,0.7314238487305107
306,JG074C,160,FAM,-inf,False,G16,0.0,FAM,JG074C.160,UNKNOWN,,15.632742,318,100000,1000000,100,5.0,6.0,2.0,50,0.9070758316796614,1.9538493156433105,0.9477536548876203
352,JG074C,184,FAM,-inf,False,H16,0.0,FAM,JG074C.184,UNKNOWN,,15.642704,366,31622,1000000,100,4.499989334334184,6.0,2.0,50,0.902206723114929,1.9487069845199585,1.0
398,JG074C,208,FAM,-inf,False,I16,0.0,FAM,JG074C.208,UNKNOWN,,15.73402,414,10000,1000000,100,4.0,6.0,2.0,50,0.9059202475028179,1.9404274225234985,0.9738393619657528
444,JG074C,232,FAM,-inf,False,J16,0.0,FAM,JG074C.232,UNKNOWN,,15.49642,462,3162,1000000,100,3.49996186559619,6.0,2.0,50,0.8713645568333451,1.9058643579483032,0.7607322849361862
490,JG074C,256,FAM,-inf,False,K16,0.0,FAM,JG074C.256,UNKNOWN,,15.637774,510,1000,1000000,100,3.0,6.0,2.0,50,0.7761416831019665,1.6837811470031738,0.4891470700913999
536,JG074C,280,FAM,-inf,False,L16,0.0,FAM,JG074C.280,UNKNOWN,,15.523831,558,316,1000000,100,2.499687082618404,6.0,2.0,50,0.7165273754007008,1.579507827758789,0.44052372878335605
580,JG074C,304,FAM,-inf,False,M16,0.0,FAM,JG074C.304,UNKNOWN,,15.530673,604,100,1000000,100,2.0,6.0,2.0,50,0.5726645914559032,1.2985371351242065,0.3197150816178807
626,JG074C,328,FAM,-inf,False,N16,0.0,FAM,JG074C.328,UNKNOWN,,15.787753,652,31,1000000,100,1.4913616938342726,6.0,2.0,50,0.6023789182895102,1.3277487754821777,0.34924406308903283
672,JG074C,352,FAM,-inf,False,O16,0.0,FAM,JG074C.352,UNKNOWN,,15.666798,700,10,1000000,100,1.0,6.0,2.0,50,0.514072992641834,1.1844648122787476,0.2664759500267642
718,JG074C,376,FAM,-inf,False,P16,0.0,FAM,JG074C.376,UNKNOWN,,15.592681,748,3,1000000,100,0.47712125471966244,6.0,2.0,50,0.5407381025561513,1.2149959802627563,0.2499892892999637
