,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0
3600,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,1,-0.018426705,-0.006733775,100000000,100000000,100,8,8,2
3601,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,1,0.008083533,0.004661548,100000000,100000000,100,8,8,2
3602,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,2,-0.018112149,-0.005960792,100000000,100000000,100,8,8,2
3603,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,2,0.00886886,0.0007393,100000000,100000000,100,8,8,2
3604,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,3,-0.017208105,-0.003739208,100000000,100000000,100,8,8,2
3605,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,3,0.00839037,-0.000730246,100000000,100000000,100,8,8,2
3606,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,4,-0.016118531,-0.001061708,100000000,100000000,100,8,8,2
3607,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,4,0.006303708,0.000921196,100000000,100000000,100,8,8,2
3608,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,5,-0.013732813,0.004800916,100000000,100000000,100,8,8,2
3609,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,5,0.005372064,0.000331086,100000000,100000000,100,8,8,2
3610,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,6,-0.010384341,0.013029396533966064,100000000,100000000,100,8,8,2
3611,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,6,0.004567049,-0.000504774,100000000,100000000,100,8,8,2
3612,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,7,-0.004732182,0.026918917894363403,100000000,100000000,100,8,8,2
3613,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,7,0.003080133,-1.73E-05,100000000,100000000,100,8,8,2
3614,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,8,0.00432619,0.049178809,100000000,100000000,100,8,8,2
3615,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,8,-0.000938475,0.005383521,100000000,100000000,100,8,8,2
3616,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,9,0.018774932423550657,0.084684908,100000000,100000000,100,8,8,2
3617,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,9,-0.008007192,0.016703670844435692,100000000,100000000,100,8,8,2
3618,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,10,0.039074849,0.13456958532333374,100000000,100000000,100,8,8,2
3619,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,10,-0.018767655,0.035188418,100000000,100000000,100,8,8,2
3620,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,11,0.063708951,0.19510501623153687,100000000,100000000,100,8,8,2
3621,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,11,-0.036065564,0.066360429,100000000,100000000,100,8,8,2
3622,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,12,0.091026153,0.2622338533401489,100000000,100000000,100,8,8,2
3623,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,12,-0.063642866,0.11748173087835312,100000000,100000000,100,8,8,2
3624,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,13,0.11754489323204564,0.3274005651473999,100000000,100000000,100,8,8,2
3625,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,13,-0.10019669,0.18602383136749268,100000000,100000000,100,8,8,2
3626,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,14,0.1406391936555563,0.3841521143913269,100000000,100000000,100,8,8,2
3627,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,14,-0.144576548,0.26975396275520325,100000000,100000000,100,8,8,2
3628,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,15,0.15858551851663363,0.4282531142234802,100000000,100000000,100,8,8,2
3629,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,15,-0.190149569,0.35579967498779297,100000000,100000000,100,8,8,2
3630,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,16,0.1717932735357478,0.4607096314430237,100000000,100000000,100,8,8,2
3631,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,16,-0.233775765,0.4380671977996826,100000000,100000000,100,8,8,2
3632,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,17,0.18235050307882078,0.48665279150009155,100000000,100000000,100,8,8,2
3633,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,17,-0.274147135,0.5140179991722107,100000000,100000000,100,8,8,2
3634,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,18,0.19119506374800316,0.5083872675895691,100000000,100000000,100,8,8,2
3635,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,18,-0.309497445,0.5802244544029236,100000000,100000000,100,8,8,2
3636,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,19,0.19767254673126308,0.5243049263954163,100000000,100000000,100,8,8,2
3637,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,19,-0.341552849,0.6400364637374878,100000000,100000000,100,8,8,2
3638,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,20,0.20328818931759507,0.5381047129631042,100000000,100000000,100,8,8,2
3639,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,20,-0.370719863,0.6942428946495056,100000000,100000000,100,8,8,2
3640,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,21,0.2090692290013787,0.5523109436035156,100000000,100000000,100,8,8,2
3641,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,21,-0.394986764,0.7389397025108337,100000000,100000000,100,8,8,2
3642,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,22,0.21618697993909392,0.5698019862174988,100000000,100000000,100,8,8,2
3643,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,22,-0.417048483,0.779356837,100000000,100000000,100,8,8,2
3644,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,23,0.22233890787879967,0.5849196314811707,100000000,100000000,100,8,8,2
3645,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,23,-0.436868163,0.8154228925704956,100000000,100000000,100,8,8,2
3646,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,24,0.2272953876083571,0.5970996022224426,100000000,100000000,100,8,8,2
3647,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,24,-0.454693534,0.84761858,100000000,100000000,100,8,8,2
3648,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,25,0.23206946725390862,0.6088313460350037,100000000,100000000,100,8,8,2
3649,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,25,-0.469223294,0.873418391,100000000,100000000,100,8,8,2
3650,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,26,0.23721751558233292,0.6214820742607117,100000000,100000000,100,8,8,2
3651,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,26,-0.481740931,0.8953133225440979,100000000,100000000,100,8,8,2
3652,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,27,0.24382068968731072,0.6377086043357849,100000000,100000000,100,8,8,2
3653,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,27,-0.494838858,0.9183343648910522,100000000,100000000,100,8,8,2
3654,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,28,0.24898867589725798,0.6504083275794983,100000000,100000000,100,8,8,2
3655,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,28,-0.508586299,0.9426159858703613,100000000,100000000,100,8,8,2
3656,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,29,0.25382970025449253,0.6623045802116394,100000000,100000000,100,8,8,2
3657,JG074D,21,HEX,#NAME?,FALSE,A21,0,HEX,JG074D.021,UNKNOWN,,10.179634,41,29,-0.521270462,0.9648340940475464,100000000,100000000,100,8,8,2
3658,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,30,0.2599467005185376,0.6773363947868347,100000000,100000000,100,8,8,2
