# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_7\data\JG069J Final TB Experiment.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-06-03 11:22:39 AM EDT
# Run End Date/Time: 2022-06-03 01:18:23 PM EDT
# Run Duration: 115 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:43:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:43:49 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","93700.71","57789.855","99728.46"
"1","A1","2","92468.32","56969.844","98473.38"
"1","A1","3","89359.766","54953.56","95268.74"
"1","A1","4","86391.38","53201.125","92324.51"
"1","A1","5","83864.61","51272.363","89705.01"
"1","A1","6","82318.766","50225.395","88270.69"
"1","A1","7","81869.0","50073.543","87860.125"
"1","A1","8","81865.57","50495.938","87742.99"
"1","A1","9","82446.17","51202.652","87744.47"
"1","A1","10","82304.21","51436.703","87424.76"
"1","A1","11","81852.836","51116.7","87034.45"
"1","A1","12","81533.37","50731.117","86628.836"
"1","A1","13","81018.3","50384.418","86189.92"
"1","A1","14","80515.5","50085.242","85779.61"
"1","A1","15","80021.15","49889.316","85459.99"
"1","A1","16","79628.87","49754.746","85132.61"
"1","A1","17","79348.48","49526.145","84834.73"
"1","A1","18","79352.055","49523.395","84693.984"
"1","A1","19","79583.1","49849.797","84534.84"
"1","A1","20","79638.414","50570.91","84489.766"
"1","A1","21","79857.31","51858.543","84537.1"
"1","A1","22","80370.49","53807.24","84553.06"
"1","A1","23","81587.984","56987.863","84593.15"
"1","A1","24","83358.08","61525.402","84433.305"
"1","A1","25","85995.92","67294.14","84422.4"
"1","A1","26","90232.84","74108.695","84589.18"
"1","A1","27","95551.18","81741.36","84687.96"
"1","A1","28","101409.65","89624.28","84632.97"
"1","A1","29","108119.44","97349.34","84639.24"
"1","A1","30","114970.914","105102.805","84895.82"
"1","A1","31","121879.55","111771.53","85047.67"
"1","A1","32","128717.86","117892.56","84980.47"
"1","A1","33","135412.75","123590.83","84837.57"
"1","A1","34","142079.0","128394.4","84784.14"
"1","A1","35","148633.45","132379.12","84871.65"
"1","A1","36","155155.67","136006.47","84919.72"
"1","A1","37","161300.55","139089.66","85050.42"
"1","A1","38","167514.12","141805.39","85009.336"
"1","A1","39","173895.33","144176.17","84995.73"
"1","A1","40","179883.55","146556.84","85148.586"
"1","A1","41","185867.17","148746.69","85026.99"
"1","A1","42","191924.56","150521.75","84952.71"
"1","A1","43","197629.27","152323.33","85104.03"
"1","A1","44","202941.89","153891.72","85364.22"
"1","A1","45","208380.08","155601.5","85363.2"
"1","A1","46","213245.8","157350.94","85356.305"
"1","A1","47","217960.28","159175.23","85371.24"
"1","A1","48","222264.77","160810.1","85184.945"
"1","A1","49","226275.1","162176.27","85076.66"
"1","A1","50","229844.02","163849.19","85102.016"
"1","A1","51","233088.22","165173.92","85194.77"
"1","A1","52","236624.05","166350.06","85297.2"
"1","A1","53","239585.1","167691.44","85319.41"
"1","A1","54","242592.39","168757.1","85350.09"
"1","A1","55","245586.4","170089.78","85318.83"
"1","A1","56","248211.16","171835.7","85267.03"
"1","A1","57","250986.14","172797.8","85411.1"
"1","A1","58","253565.53","174190.73","85576.06"
"1","A1","59","256076.5","175702.44","85561.36"
"1","A1","60","258116.66","177071.55","85642.19"
"1","A1","61","260287.52","178057.1","85483.08"
"1","A1","62","262813.72","179082.8","85345.47"
"1","A1","63","264493.03","180665.16","85302.85"
"1","A1","64","266698.94","181803.02","85424.945"
"1","A1","65","269081.56","182713.5","85554.414"
"1","A1","66","271204.2","183416.16","85454.35"
"1","A1","67","273052.38","184802.61","85240.516"
"1","A1","68","275461.1","186316.66","85236.305"
"1","A1","69","277391.88","187060.84","85643.445"
"1","A1","70","279567.62","188102.3","85644.02"
"1","A1","71","281503.12","188978.39","85556.336"
"1","A1","72","283579.75","190546.22","85532.8"
"1","A1","73","285501.1","191664.69","85552.99"
"1","A1","74","287394.2","192698.14","85686.586"
"1","A1","75","289155.22","193593.31","85725.22"
"1","A1","76","291182.0","194638.55","85717.88"
"1","A1","77","292992.53","195984.9","85699.11"
"1","A1","78","294818.8","196839.77","85968.08"
"1","A1","79","297004.53","197438.4","86051.73"
"1","A1","80","299204.5","198282.61","85994.95"
"1","A1","81","300986.66","199773.45","85905.84"
"1","A1","82","302585.5","200799.27","85947.09"
"1","A1","83","304721.1","201475.58","85864.445"
"1","A1","84","306244.3","202449.69","85840.61"
"1","A1","85","308142.06","203468.12","85874.67"
"1","A1","86","309910.12","204695.22","85782.76"
"1","A1","87","312020.34","205581.58","85675.61"
"1","A1","88","313714.66","206529.39","85709.05"
"1","A1","89","315128.25","207832.97","85816.75"
"1","A1","90","317088.6","208761.62","85860.08"
"2","A2","1","91105.11","55168.977","95064.086"
"2","A2","2","89905.4","54548.008","93866.336"
"2","A2","3","87192.01","53063.26","90911.39"
"2","A2","4","84404.586","50940.4","88063.555"
"2","A2","5","81888.1","49106.85","85613.984"
"2","A2","6","80305.1","48660.39","84220.63"
"2","A2","7","80001.57","48716.484","83947.82"
"2","A2","8","80355.586","49095.863","84248.13"
"2","A2","9","80202.67","49368.836","83932.92"
"2","A2","10","79881.23","49228.977","83358.875"
"2","A2","11","79262.04","48913.695","82996.984"
"2","A2","12","78744.43","48525.4","82505.195"
"2","A2","13","78377.39","48138.254","81996.29"
"2","A2","14","78001.27","47702.168","81708.2"
"2","A2","15","77641.53","47440.97","81565.11"
"2","A2","16","77294.44","47449.938","81356.13"
"2","A2","17","77205.5","47707.63","80998.04"
"2","A2","18","77186.69","47926.125","80921.695"
"2","A2","19","77181.29","48134.02","81019.43"
"2","A2","20","77224.22","48568.27","81052.71"
"2","A2","21","77431.96","49646.316","80897.57"
"2","A2","22","77741.47","51674.387","80872.34"
"2","A2","23","78260.87","54486.79","80941.164"
"2","A2","24","79189.73","59109.273","80927.836"
"2","A2","25","81001.19","64750.387","80956.164"
"2","A2","26","83583.6","71537.71","81185.59"
"2","A2","27","86933.85","79007.47","81358.59"
"2","A2","28","91355.59","86767.81","81578.445"
"2","A2","29","96589.984","94528.914","81696.29"
"2","A2","30","102213.26","102009.78","81831.0"
"2","A2","31","108520.695","108622.84","81983.18"
"2","A2","32","114730.0","114814.945","82026.35"
"2","A2","33","121384.805","120079.79","82085.125"
"2","A2","34","127891.02","124612.35","82168.945"
"2","A2","35","134548.89","128485.02","82273.01"
"2","A2","36","141016.08","132017.98","82370.3"
"2","A2","37","147635.95","134656.17","82410.13"
"2","A2","38","154357.81","137036.66","82490.58"
"2","A2","39","160793.56","139357.02","82475.95"
"2","A2","40","167221.19","141456.75","82574.76"
"2","A2","41","173376.61","143317.28","82600.54"
"2","A2","42","179274.2","145290.36","82754.71"
"2","A2","43","185273.62","147063.23","82751.05"
"2","A2","44","190720.52","148646.16","82672.76"
"2","A2","45","195863.16","150274.36","82610.125"
"2","A2","46","200940.86","151986.97","82795.05"
"2","A2","47","205560.95","153259.67","82783.49"
"2","A2","48","209728.64","154678.69","82803.875"
"2","A2","49","213636.84","156300.92","82831.38"
"2","A2","50","217154.83","157546.25","82928.59"
"2","A2","51","220672.08","158894.8","82863.77"
"2","A2","52","223813.67","160166.19","82817.88"
"2","A2","53","226939.45","161270.72","82973.305"
"2","A2","54","229729.94","162616.77","83064.83"
"2","A2","55","232599.44","164028.03","82986.06"
"2","A2","56","235213.98","165295.44","83063.125"
"2","A2","57","237748.36","166398.1","83143.72"
"2","A2","58","240159.1","167668.77","83132.85"
"2","A2","59","242403.31","168871.9","83159.1"
"2","A2","60","244226.69","170012.44","83212.83"
"2","A2","61","246413.25","171208.95","83328.46"
"2","A2","62","248594.64","172339.31","83329.805"
"2","A2","63","250827.36","173635.33","83353.95"
"2","A2","64","253087.38","174609.98","83248.305"
"2","A2","65","254914.62","175899.89","83245.34"
"2","A2","66","257167.3","176811.38","83238.15"
"2","A2","67","259127.72","177951.3","83225.29"
"2","A2","68","260815.33","179073.88","83303.38"
"2","A2","69","262731.4","180062.03","83301.16"
"2","A2","70","264892.62","180824.83","83386.51"
"2","A2","71","266679.72","181742.9","83319.38"
"2","A2","72","268404.66","183178.5","83375.24"
"2","A2","73","270439.03","184142.61","83355.45"
"2","A2","74","272495.56","184973.34","83467.61"
"2","A2","75","274008.16","185942.7","83434.555"
"2","A2","76","275835.22","186713.12","83569.78"
"2","A2","77","277543.9","187666.78","83535.14"
"2","A2","78","279415.88","188983.22","83683.234"
"2","A2","79","281437.28","190007.53","83790.04"
"2","A2","80","283086.34","191087.75","83667.375"
"2","A2","81","284764.6","192079.92","83614.58"
"2","A2","82","286251.34","192914.0","83763.76"
"2","A2","83","288130.03","193790.89","83651.21"
"2","A2","84","289976.47","194894.89","83550.94"
"2","A2","85","291655.62","196024.02","83630.01"
"2","A2","86","293522.7","196909.83","83706.02"
"2","A2","87","295180.1","197812.81","83672.734"
"2","A2","88","296962.3","198687.14","83822.78"
"2","A2","89","298545.9","200362.75","83951.586"
"2","A2","90","300155.78","201078.64","83969.89"
"3","A3","1","83244.664","55006.953","93792.35"
"3","A3","2","82137.625","54257.99","92367.33"
"3","A3","3","79540.79","52334.527","89531.07"
"3","A3","4","77025.15","50681.418","86987.46"
"3","A3","5","75347.164","49552.902","85223.34"
"3","A3","6","74885.55","49292.867","84653.45"
"3","A3","7","74771.56","49529.41","84322.41"
"3","A3","8","74687.055","49745.777","83775.14"
"3","A3","9","74383.45","49465.49","83233.38"
"3","A3","10","73914.1","49050.953","82722.74"
"3","A3","11","73385.49","48571.617","82259.85"
"3","A3","12","72861.03","48307.754","81924.6"
"3","A3","13","72484.59","48003.91","81520.18"
"3","A3","14","72338.734","47724.297","81332.266"
"3","A3","15","72183.62","47645.22","81189.97"
"3","A3","16","71901.62","47681.234","81001.71"
"3","A3","17","71840.99","47871.5","80877.836"
"3","A3","18","71871.24","48000.08","80805.625"
"3","A3","19","71901.766","48238.3","80767.05"
"3","A3","20","72002.97","48737.72","80629.4"
"3","A3","21","72217.36","50049.105","80438.086"
"3","A3","22","72373.56","51945.98","80459.24"
"3","A3","23","72655.44","54690.883","80719.98"
"3","A3","24","73445.586","59020.613","80782.625"
"3","A3","25","74746.16","64621.523","80847.22"
"3","A3","26","76320.18","71343.164","81031.11"
"3","A3","27","78671.32","79084.26","81057.086"
"3","A3","28","81806.01","87147.08","81111.14"
"3","A3","29","85476.22","95015.86","81175.58"
"3","A3","30","89785.67","102684.6","81387.81"
"3","A3","31","94551.86","109703.31","81457.195"
"3","A3","32","99854.14","116001.48","81503.75"
"3","A3","33","105463.336","121508.08","81542.23"
"3","A3","34","111471.21","126156.41","81608.14"
"3","A3","35","118041.79","130027.625","81608.61"
"3","A3","36","124834.94","133398.25","81600.586"
"3","A3","37","131883.73","136064.02","81724.3"
"3","A3","38","138861.14","138535.36","81779.35"
"3","A3","39","145979.11","140509.55","81712.46"
"3","A3","40","152861.52","142808.1","81765.84"
"3","A3","41","159527.89","144599.11","81800.54"
"3","A3","42","166119.92","146501.12","81715.195"
"3","A3","43","172535.3","148209.81","81673.055"
"3","A3","44","178551.25","150047.94","81811.8"
"3","A3","45","184209.38","151482.1","81846.26"
"3","A3","46","189651.67","152841.16","81878.555"
"3","A3","47","194556.34","154311.89","81875.07"
"3","A3","48","199536.23","155476.31","81830.33"
"3","A3","49","203706.78","156909.3","81767.81"
"3","A3","50","207573.38","158448.92","81676.836"
"3","A3","51","211373.58","159569.28","81716.28"
"3","A3","52","214739.25","160861.58","81812.305"
"3","A3","53","217845.31","162338.06","81868.45"
"3","A3","54","220928.28","163758.66","81809.22"
"3","A3","55","223943.72","165081.14","81737.914"
"3","A3","56","226748.98","166261.3","81872.28"
"3","A3","57","229243.52","167418.42","81934.71"
"3","A3","58","231792.67","168539.4","81852.33"
"3","A3","59","234062.06","169660.1","81803.625"
"3","A3","60","236244.47","170639.1","82027.85"
"3","A3","61","238437.75","171830.81","82006.63"
"3","A3","62","240555.53","173075.06","81894.02"
"3","A3","63","242560.52","174422.73","81795.61"
"3","A3","64","244460.89","175274.7","81851.08"
"3","A3","65","246410.92","176316.45","81875.03"
"3","A3","66","248627.4","177209.98","81789.195"
"3","A3","67","250650.28","178433.67","81826.086"
"3","A3","68","252718.8","179539.94","81990.54"
"3","A3","69","254927.62","180639.9","82010.9"
"3","A3","70","256759.38","181676.05","81891.26"
"3","A3","71","258587.33","182573.55","81812.78"
"3","A3","72","260463.69","183717.12","81931.61"
"3","A3","73","262155.9","184940.86","82154.03"
"3","A3","74","263715.12","185875.48","82117.87"
"3","A3","75","265614.56","186952.83","82117.57"
"3","A3","76","267992.88","187759.06","82157.36"
"3","A3","77","269905.4","188759.25","82199.0"
"3","A3","78","271611.94","189925.95","82179.14"
"3","A3","79","272743.78","191041.67","82112.93"
"3","A3","80","274554.4","191671.58","82149.9"
"3","A3","81","275747.4","192994.25","82117.75"
"3","A3","82","277559.72","194063.14","82054.445"
"3","A3","83","279515.88","194645.66","82184.42"
"3","A3","84","281803.72","195439.17","82203.39"
"3","A3","85","283434.28","196656.62","82236.445"
"3","A3","86","284869.53","197640.78","82206.81"
"3","A3","87","286694.56","198621.22","82409.48"
"3","A3","88","288445.06","199959.73","82372.74"
"3","A3","89","290074.0","201149.4","82383.31"
"3","A3","90","291193.9","202184.27","82281.78"
"4","A4","1","91324.336","56036.848","95000.29"
"4","A4","2","90130.32","55464.11","93885.836"
"4","A4","3","87309.336","53996.42","91143.555"
"4","A4","4","84494.625","52029.562","88314.78"
"4","A4","5","82372.484","50448.67","86020.21"
"4","A4","6","81552.12","50086.508","85066.43"
"4","A4","7","81244.95","50302.312","84666.58"
"4","A4","8","81014.34","50545.69","84339.84"
"4","A4","9","80698.66","50515.54","83775.02"
"4","A4","10","80163.4","50073.0","83192.34"
"4","A4","11","79429.5","49765.64","82725.22"
"4","A4","12","78907.586","49285.926","82337.53"
"4","A4","13","78609.875","48821.246","82023.1"
"4","A4","14","78270.336","48478.01","81680.48"
"4","A4","15","77951.59","48179.348","81436.77"
"4","A4","16","77584.71","48144.125","81200.22"
"4","A4","17","77160.17","48292.85","80968.17"
"4","A4","18","77045.44","48467.785","80792.27"
"4","A4","19","77016.21","48668.465","80776.125"
"4","A4","20","77003.12","49290.97","80850.98"
"4","A4","21","76999.266","50237.258","80835.984"
"4","A4","22","77085.27","51924.535","80785.71"
"4","A4","23","77545.35","54748.207","80787.67"
"4","A4","24","78177.9","58882.375","80867.11"
"4","A4","25","79093.195","64275.75","80874.1"
"4","A4","26","80662.26","70832.74","80897.58"
"4","A4","27","82767.14","78486.99","81021.06"
"4","A4","28","85072.36","86508.63","81063.92"
"4","A4","29","87912.34","94383.98","81130.72"
"4","A4","30","90928.555","102263.8","81206.3"
"4","A4","31","94377.96","109659.62","81313.13"
"4","A4","32","98628.12","116253.03","81456.195"
"4","A4","33","103182.375","121733.414","81569.82"
"4","A4","34","108172.28","126480.89","81637.664"
"4","A4","35","113957.234","130762.18","81590.61"
"4","A4","36","120291.06","134426.17","81624.71"
"4","A4","37","127245.914","137215.12","81639.53"
"4","A4","38","134460.98","139918.14","81583.86"
"4","A4","39","141662.6","142129.69","81605.4"
"4","A4","40","149030.94","144107.86","81605.98"
"4","A4","41","156063.97","146239.38","81783.66"
"4","A4","42","162990.03","147779.88","81629.76"
"4","A4","43","169866.81","149382.06","81530.48"
"4","A4","44","176369.22","151084.28","81622.4"
"4","A4","45","182539.28","152860.56","81745.695"
"4","A4","46","188179.44","154041.84","81803.664"
"4","A4","47","193625.95","155620.73","81696.375"
"4","A4","48","198765.55","157077.67","81604.11"
"4","A4","49","203239.25","158469.0","81653.33"
"4","A4","50","207477.47","159875.94","81755.2"
"4","A4","51","211427.7","161245.16","81719.7"
"4","A4","52","214979.56","162670.22","81762.92"
"4","A4","53","218520.02","163637.78","81811.8"
"4","A4","54","221804.72","165002.89","81837.64"
"4","A4","55","224651.08","165992.16","81785.484"
"4","A4","56","227469.8","167283.05","81853.21"
"4","A4","57","229941.77","168552.31","81868.72"
"4","A4","58","232820.34","169513.48","81808.37"
"4","A4","59","235010.52","170711.8","81850.79"
"4","A4","60","237402.02","172022.98","81797.02"
"4","A4","61","239875.84","173230.61","81806.37"
"4","A4","62","241661.61","174482.88","81808.77"
"4","A4","63","243908.58","175586.58","81935.46"
"4","A4","64","246215.31","176588.86","81898.66"
"4","A4","65","248097.02","177919.98","81923.84"
"4","A4","66","250408.19","178993.4","81944.59"
"4","A4","67","252630.42","179987.08","81981.09"
"4","A4","68","254369.95","181005.78","81756.48"
"4","A4","69","255817.73","182301.36","81666.87"
"4","A4","70","257771.34","183267.31","81858.164"
"4","A4","71","260124.1","183951.47","82012.34"
"4","A4","72","262001.36","185122.08","82004.47"
"4","A4","73","264163.88","186134.22","81949.516"
"4","A4","74","265580.25","187285.06","81954.74"
"4","A4","75","266748.53","188312.16","81897.26"
"4","A4","76","269069.84","189316.23","81879.125"
"4","A4","77","270544.72","190459.9","81854.84"
"4","A4","78","271849.0","191319.72","81907.82"
"4","A4","79","273621.06","192266.53","82053.07"
"4","A4","80","275619.5","193300.8","82006.88"
"4","A4","81","277091.75","194424.81","82026.82"
"4","A4","82","279122.56","195436.48","82199.15"
"4","A4","83","280729.22","196241.38","82254.74"
"4","A4","84","282270.62","197331.27","82166.46"
"4","A4","85","283638.5","198443.55","82085.13"
"4","A4","86","285479.47","199110.36","82177.73"
"4","A4","87","287312.72","199944.17","82169.875"
"4","A4","88","289061.0","200818.6","82237.58"
"4","A4","89","290755.7","201878.42","82299.625"
"4","A4","90","292005.06","202775.12","82292.42"
"5","A5","1","81778.58","54482.91","90408.58"
"5","A5","2","80808.43","53844.984","89395.46"
"5","A5","3","78124.27","52343.04","86531.72"
"5","A5","4","75551.12","50711.348","83928.9"
"5","A5","5","73740.38","49345.664","81915.15"
"5","A5","6","73185.95","48897.19","80894.766"
"5","A5","7","72883.555","48792.812","80476.54"
"5","A5","8","72570.29","48936.68","80004.16"
"5","A5","9","72095.26","48752.16","79232.234"
"5","A5","10","71736.29","48266.695","78682.91"
"5","A5","11","71099.71","47698.066","78341.305"
"5","A5","12","70421.33","47369.2","77964.43"
"5","A5","13","69932.555","47191.215","77597.07"
"5","A5","14","69643.56","47069.49","77233.04"
"5","A5","15","69518.38","46868.406","77018.445"
