,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Task,Comments,CT,Reaction,col,row,PRDM1,TMCC1,GBP6,ARG1,WellName,Sample,MasterMix,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
0,JG069J,1,FAM,#NAME?,FALSE,A1,0,FAM,UNKNOWN,,23.833984,0,0,0,5,4,3.5,4,A1,JG069J_001,TaqMan Fast Advanced,50,0.27671894533527175,1.7496364116668701,-0.583229592
2,JG069J,2,FAM,#NAME?,FALSE,A2,0,FAM,UNKNOWN,,24.745087,2,1,0,5,4,3,4,A2,JG069J_002,TaqMan Fast Advanced,50,0.2105632126538673,1.6666373014450073,-0.61126128
4,JG069J,3,FAM,#NAME?,FALSE,A3,0,FAM,UNKNOWN,,25.738253,4,2,0,5,4,2.5,4,A3,JG069J_003,TaqMan Fast Advanced,50,0.20431689471354472,1.6325784921646118,-0.660012353
6,JG069J,4,FAM,#NAME?,FALSE,A4,0,FAM,UNKNOWN,,25.751087,6,3,0,5,4,2,4,A4,JG069J_004,TaqMan Fast Advanced,50,0.15594487436226245,1.594961166381836,-0.718952703
8,JG069J,5,FAM,#NAME?,FALSE,A5,0,FAM,UNKNOWN,,25.933376,8,4,0,5,4,1.5,4,A5,JG069J_005,TaqMan Fast Advanced,50,0.11390769523031767,1.5096964836120605,-0.808691711
10,JG069J,6,FAM,#NAME?,FALSE,A6,0,FAM,UNKNOWN,,24.013866,10,5,0,5,3.5,3.5,4,A6,JG069J_006,TaqMan Fast Advanced,50,0.13995079224747367,1.543205738067627,-0.771506348
12,JG069J,7,FAM,#NAME?,FALSE,A7,0,FAM,UNKNOWN,,24.903034,12,6,0,5,3.5,3,4,A7,JG069J_007,TaqMan Fast Advanced,50,0.16299441682658422,1.5952872037887573,-0.752496832
14,JG069J,8,FAM,#NAME?,FALSE,A8,0,FAM,UNKNOWN,,25.949566,14,7,0,5,3.5,2.5,4,A8,JG069J_008,TaqMan Fast Advanced,50,0.1159232081163751,1.5036168098449707,-0.812213305
16,JG069J,9,FAM,#NAME?,FALSE,A9,0,FAM,UNKNOWN,,25.79397,16,8,0,5,3.5,2,4,A9,JG069J_009,TaqMan Fast Advanced,50,0.15109076122204826,1.5835269689559937,-0.812308501
18,JG069J,10,FAM,#NAME?,FALSE,A10,0,FAM,UNKNOWN,,25.91203,18,9,0,5,3.5,1.5,4,A10,JG069J_010,TaqMan Fast Advanced,50,0.091879873,1.4443237781524658,-0.806083363
20,JG069J,11,FAM,#NAME?,FALSE,A11,0,FAM,UNKNOWN,,23.741758,20,10,0,5,3,3.5,4,A11,JG069J_011,TaqMan Fast Advanced,50,0.16651301492756054,1.580993413925171,-0.742008666
22,JG069J,12,FAM,#NAME?,FALSE,A12,0,FAM,UNKNOWN,,24.68212,22,11,0,5,3,3,4,A12,JG069J_012,TaqMan Fast Advanced,50,0.20922060477357254,1.6042355298995972,-0.690345456
24,JG069J,13,FAM,#NAME?,FALSE,A13,0,FAM,UNKNOWN,,24.028543,24,12,0,5,3,2.5,4,A13,JG069J_013,TaqMan Fast Advanced,50,0.31614897811060166,1.7499971389770508,-0.559993184
26,JG069J,14,FAM,#NAME?,FALSE,A14,0,FAM,UNKNOWN,,24.081886,26,13,0,5,3,2,4,A14,JG069J_014,TaqMan Fast Advanced,50,0.311723763,1.7462530136108398,-0.553457204
28,JG069J,15,FAM,#NAME?,FALSE,A15,0,FAM,UNKNOWN,,24.243605,28,14,0,5,3,1.5,4,A15,JG069J_015,TaqMan Fast Advanced,50,0.2583065751931895,1.6605403423309326,-0.670493752
30,JG069J,16,FAM,#NAME?,FALSE,A16,0,FAM,UNKNOWN,,23.556984,30,15,0,5,2.5,3.5,4,A16,JG069J_016,TaqMan Fast Advanced,50,0.28151506860118347,1.7111881971359253,-0.562917911
32,JG069J,17,FAM,#NAME?,FALSE,A17,0,FAM,UNKNOWN,,23.963772,32,16,0,5,2.5,3,4,A17,JG069J_017,TaqMan Fast Advanced,50,0.28955196054288634,1.7199565172195435,-0.549011224
