# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_8\data\JG073Q Febrile Signature 1ng patient sample replicates.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-15 10:30:37 AM EDT
# Run End Date/Time: 2022-07-15 11:54:37 AM EDT
# Run Duration: 83 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 3 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:40:34 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:40:45 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"A","1ng_CAN_FAM","5","-","0","22.677515501361125","0.23365917827186286","0.10449556123652544",
"A","1ng_CAN_HEX","5","-","0","24.414203014302945","0.06627918746900535","0.02964095373482964",
"A","EMRI","5","-","0","30.82068604677905","0.2677272115763817","0.1197312489022516",
"A","IFI44L","5","-","0","30.53420544196223","0.20955450278127516","0.09371562264201999",
"B","1ng_CAN_FAM","5","-","0","22.61703806189626","0.1614626900825702","0.07220831017092161",
"B","1ng_CAN_HEX","5","-","0","24.3415793136851","0.08125404570885528","0.036337913930375096",
"B","EMRI","5","-","0","26.782317671005142","0.1961233915679119","0.08770904710473201",
"B","IFI44L","5","-","0","29.83533993594552","0.2703791239794447","0.12091722018297635",
"C","1ng_CAN_FAM","5","-","0","22.586045618018794","0.08027661906931065","0.0359007954485669",
"C","1ng_CAN_HEX","5","-","0","24.07521223568269","0.06782547439293125","0.03033247426975311",
"C","EMRI","5","-","0","30.651803251808538","0.13229561350037994","0.05916439698237769",
"C","IFI44L","5","-","0","26.871007863946385","0.1850579401486902","0.08276042678971177",
"D","1ng_CAN_FAM","5","-","0","22.581502669843402","0.12349223610944066","0.055227406926832694",
"D","1ng_CAN_HEX","5","-","0","24.302883137007562","0.08690334241350069","0.038864356221705636",
"D","EMRI","5","-","0","30.03534403490366","0.14345965021941762","0.06415710598379208",
"D","IFI44L","5","-","0","29.275541759639815","0.23215304081583568","0.10382199608949835",
"E","1ng_CAN_FAM","5","-","0","22.59601523987464","0.06824292285124786","0.030519162895732796",
"E","1ng_CAN_HEX","5","-","0","24.353068186067226","0.06590756289017816","0.02947475817075617",
"E","EMRI","5","-","0","31.299612187939783","0.1265202086726127","0.056581557423884085",
"E","IFI44L","5","-","0","31.37762469005275","0.24910251384898283","0.11140203086648168",
"F","1ng_CAN_FAM","5","-","0","22.649938795495256","0.06461334556309492","0.028895966586552933",
"F","1ng_CAN_HEX","5","-","0","24.337041063858276","0.07735937485912561","0.03459616417637862",
"F","EMRI","5","-","0","29.672551473013662","0.20796904041233313","0.09300658231547555",
"F","IFI44L","5","-","0","28.833041376937295","0.21640726480918737","0.0967802709876282",
"G","1ng_CAN_FAM","5","-","0","22.59056764251563","0.021279828305930153","0.009516628528316803",
"G","1ng_CAN_HEX","5","-","0","24.387736799667955","0.06915163628328183","0.030925551896951814",
"G","EMRI","5","-","0","31.075831709795334","0.23715608882913738","0.10605942717998594",
"G","IFI44L","5","-","0","29.069217133538835","0.20759365526274964","0.09283870497303302",
"H","1ng_CAN_FAM","5","-","0","22.603155021527236","0.07396054429243334","0.03307616093815301",
"H","1ng_CAN_HEX","5","-","0","24.361278241466522","0.06231147244091298","0.027866537631197234",
"H","EMRI","5","-","0","29.993228250349073","0.1210396682693783","0.05413058524487084",
"H","IFI44L","5","-","0","30.536942360518868","0.18876466206152473","0.08441812322386898",
"I","1ng_CAN_FAM","5","-","0","22.631932227771912","0.06260085921442629","0.02799595533067025",
"I","1ng_CAN_HEX","5","-","0","24.206498025179094","0.0706567242997827","0.03159864772035507",
"I","EMRI","5","-","0","31.164442861795873","0.30138882317907684","0.134785179257416",
"I","IFI44L","5","-","0","27.81898915400155","0.18679877040152026","0.08353894974623499",
"J","1ng_CAN_FAM","5","-","0","22.600803165572806","0.048810224149348165","0.021828595838988867",
"J","1ng_CAN_HEX","5","-","0","24.378232222923067","0.1407140706737963","0.06292924548346363",
"J","EMRI","5","-","0","27.87134502103396","0.1461932619285011","0.06537961430491208",
"J","IFI44L","5","-","0","32.419534562922614","0.39434159530062857","0.17635492268958342",
"K","1ng_CAN_FAM","5","-","0","22.559971141806464","0.05622059689154131","0.02514261527701995",
"K","1ng_CAN_HEX","5","-","0","24.40092581687003","0.05031119899685211","0.022499852197296107",
"K","EMRI","5","-","0","26.602936439209323","0.11629591838245962","0.052009115801789414",
"K","IFI44L","5","-","0","34.731993221646405","0.7719674063884442","0.3452343194197533",
"L","1ng_CAN_FAM","5","-","0","22.649637256791653","0.08928561923008478","0.0399297428023264",
"L","1ng_CAN_HEX","5","-","0","24.37237637038866","0.06282792508894407","0.02809750227682869",
"L","EMRI","5","-","0","28.9695227901216","0.15606448057473074","0.06979415748765867",
"L","IFI44L","5","-","0","33.0675090639519","0.3225592151261879","0.1442528663582269",
"M","1ng_CAN_FAM","5","-","0","22.633141048451535","0.06269714837437008","0.028039017152096387",
