# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_8\data\JG073N Febrile Signature Gen2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-06-02 09:40:12 AM EDT
# Run End Date/Time: 2022-06-02 11:37:57 AM EDT
# Run Duration: 117 minutes 45 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 3 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:42:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:42:48 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG073N_001","FAM","1","-","0","13.207741247538898","","",
"JG073N_001","HEX","1","-","0","8.862612803065321","","",
"JG073N_002","FAM","1","-","0","13.239443455264059","","",
"JG073N_002","HEX","1","-","0","8.69275605652852","","",
"JG073N_003","FAM","1","-","0","14.053369031811084","","",
"JG073N_003","HEX","1","-","0","8.957751318514513","","",
"JG073N_004","FAM","1","-","0","14.40726545048124","","",
"JG073N_004","HEX","1","-","0","8.799507050177334","","",
"JG073N_005","FAM","1","-","0","16.076994398342197","","",
"JG073N_005","HEX","1","-","0","8.793235108228178","","",
"JG073N_006","FAM","1","-","0","16.034631235521456","","",
"JG073N_006","HEX","1","-","0","8.851585294470087","","",
"JG073N_007","FAM","1","-","0","63.249206208423246","","",
"JG073N_007","HEX","1","-","0","8.750551659582511","","",
"JG073N_008","FAM","1","-","0","60.3120533912731","","",
"JG073N_008","HEX","1","-","0","8.906915576644886","","",
"JG073N_009","FAM","1","-","0","18.246796016078605","","",
"JG073N_009","HEX","1","-","0","11.855286943508649","","",
"JG073N_010","FAM","1","-","0","19.149487783372344","","",
"JG073N_010","HEX","1","-","0","11.933022876577013","","",
"JG073N_011","FAM","1","-","0","70.29221609934464","","",
"JG073N_011","HEX","1","-","0","11.958379916462295","","",
"JG073N_012","FAM","1","-","0","73.42515321916505","","",
"JG073N_012","HEX","1","-","0","11.989918480227555","","",
"JG073N_013","FAM","1","-","0","65.4074007159511","","",
"JG073N_013","HEX","1","-","0","11.97705295477564","","",
"JG073N_014","FAM","1","-","0","73.53134075374726","","",
"JG073N_014","HEX","1","-","0","12.153389894309825","","",
"JG073N_015","FAM","1","-","0","67.78601374213704","","",
"JG073N_015","HEX","1","-","0","12.061369200021588","","",
"JG073N_016","FAM","1","-","0","","","",
"JG073N_016","HEX","1","-","0","12.324199388514877","","",
"JG073N_017","FAM","1","-","0","21.21174641494457","","",
"JG073N_017","HEX","1","-","0","15.545145448380232","","",
"JG073N_018","FAM","1","-","0","22.718760945091425","","",
"JG073N_018","HEX","1","-","0","15.85441249539176","","",
"JG073N_019","FAM","1","-","0","23.795886655661","","",
"JG073N_019","HEX","1","-","0","15.910473927963192","","",
"JG073N_020","FAM","1","-","0","26.6954361642521","","",
"JG073N_020","HEX","1","-","0","15.78131171355837","","",
"JG073N_021","FAM","1","-","0","76.04718839668983","","",
"JG073N_021","HEX","1","-","0","15.903527145946267","","",
"JG073N_022","FAM","1","-","0","78.95816902297237","","",
"JG073N_022","HEX","1","-","0","15.964692150595788","","",
"JG073N_023","FAM","1","-","0","","","",
"JG073N_023","HEX","1","-","0","15.862915626740943","","",
"JG073N_024","FAM","1","-","0","","","",
"JG073N_024","HEX","1","-","0","16.063995878739835","","",
"JG073N_025","FAM","1","-","0","12.003960817424492","","",
"JG073N_025","HEX","1","-","0","11.513305649866151","","",
"JG073N_026","FAM","1","-","0","12.086791271636717","","",
"JG073N_026","HEX","1","-","0","11.249087977120055","","",
"JG073N_027","FAM","1","-","0","12.364812991203774","","",
"JG073N_027","HEX","1","-","0","11.384949326412833","","",
"JG073N_028","FAM","1","-","0","12.471598249526826","","",
"JG073N_028","HEX","1","-","0","11.105782577455656","","",
"JG073N_029","FAM","1","-","0","12.34967728210224","","",
"JG073N_029","HEX","1","-","0","11.198962225861731","","",
"JG073N_030","FAM","1","-","0","12.324988668978527","","",
"JG073N_030","HEX","1","-","0","11.2394646011331","","",
"JG073N_031","FAM","1","-","0","12.158183029747244","","",
"JG073N_031","HEX","1","-","0","11.382901687313108","","",
"JG073N_032","FAM","1","-","0","12.165850012629878","","",
"JG073N_032","HEX","1","-","0","11.332837068050289","","",
"JG073N_033","FAM","1","-","0","17.090842176453055","","",
"JG073N_033","HEX","1","-","0","14.155744225610196","","",
"JG073N_034","FAM","1","-","0","17.33363732585141","","",
"JG073N_034","HEX","1","-","0","14.117492850987581","","",
"JG073N_035","FAM","1","-","0","17.817291477392523","","",
"JG073N_035","HEX","1","-","0","14.138081191653914","","",
"JG073N_036","FAM","1","-","0","18.03552990176267","","",
"JG073N_036","HEX","1","-","0","14.19924178005494","","",
"JG073N_037","FAM","1","-","0","17.882196582629895","","",
"JG073N_037","HEX","1","-","0","14.303833088786359","","",
"JG073N_038","FAM","1","-","0","79.14969790796319","","",
"JG073N_038","HEX","1","-","0","14.383682133408318","","",
"JG073N_039","FAM","1","-","0","17.716622849850026","","",
"JG073N_039","HEX","1","-","0","14.415942891149484","","",
"JG073N_040","FAM","1","-","0","17.817713234511437","","",
"JG073N_040","HEX","1","-","0","14.463124247527603","","",
"JG073N_041","FAM","1","-","0","20.481365380788723","","",
"JG073N_041","HEX","1","-","0","17.99346631126992","","",
"JG073N_042","FAM","1","-","0","21.07876521980458","","",
"JG073N_042","HEX","1","-","0","18.191993205090377","","",
"JG073N_043","FAM","1","-","0","73.48341203574404","","",
"JG073N_043","HEX","1","-","0","18.155564853112644","","",
"JG073N_044","FAM","1","-","0","76.2812269284431","","",
"JG073N_044","HEX","1","-","0","18.15200476909024","","",
"JG073N_045","FAM","1","-","0","21.66613134304325","","",
"JG073N_045","HEX","1","-","0","18.286558798721643","","",
"JG073N_046","FAM","1","-","0","21.605229516202982","","",
"JG073N_046","HEX","1","-","0","18.27986458978892","","",
"JG073N_047","FAM","1","-","0","21.69130161394632","","",
"JG073N_047","HEX","1","-","0","18.433557480087366","","",
"JG073N_048","FAM","1","-","0","21.68815348983558","","",
"JG073N_048","HEX","1","-","0","18.38365410392477","","",
"JG073N_049","FAM","1","-","0","11.937682085314147","","",
"JG073N_049","HEX","1","-","0","13.65154021675048","","",
"JG073N_050","FAM","1","-","0","11.721025367909775","","",
"JG073N_050","HEX","1","-","0","13.488611303827703","","",
"JG073N_051","FAM","1","-","0","11.951994059471975","","",
"JG073N_051","HEX","1","-","0","13.474425488745048","","",
"JG073N_052","FAM","1","-","0","11.808047902548768","","",
"JG073N_052","HEX","1","-","0","13.453608267760458","","",
"JG073N_053","FAM","1","-","0","11.948386824696751","","",
"JG073N_053","HEX","1","-","0","13.497308197004365","","",
"JG073N_054","FAM","1","-","0","12.009237311259923","","",
"JG073N_054","HEX","1","-","0","13.606824528119198","","",
"JG073N_055","FAM","1","-","0","11.799336054959607","","",
"JG073N_055","HEX","1","-","0","13.571173675512515","","",
"JG073N_056","FAM","1","-","0","11.993112378822715","","",
"JG073N_056","HEX","1","-","0","13.681526675997077","","",
"JG073N_057","FAM","1","-","0","16.481702668136847","","",
"JG073N_057","HEX","1","-","0","15.865546652865028","","",
"JG073N_058","FAM","1","-","0","16.94679534582332","","",
"JG073N_058","HEX","1","-","0","15.946811562801617","","",
"JG073N_059","FAM","1","-","0","17.027009793613217","","",
"JG073N_059","HEX","1","-","0","15.919244750019057","","",
"JG073N_060","FAM","1","-","0","17.1583433246572","","",
"JG073N_060","HEX","1","-","0","15.876734213032474","","",
"JG073N_061","FAM","1","-","0","17.054609684864438","","",
"JG073N_061","HEX","1","-","0","15.934135650180227","","",
"JG073N_062","FAM","1","-","0","16.906758263798174","","",
"JG073N_062","HEX","1","-","0","15.95381325235618","","",
"JG073N_063","FAM","1","-","0","17.178808638272418","","",
"JG073N_063","HEX","1","-","0","16.01691022414472","","",
"JG073N_064","FAM","1","-","0","16.844308255775758","","",
"JG073N_064","HEX","1","-","0","15.957048632542005","","",
"JG073N_065","FAM","1","-","0","20.240399719686337","","",
"JG073N_065","HEX","1","-","0","20.393440145871402","","",
"JG073N_066","FAM","1","-","0","20.46138078049905","","",
"JG073N_066","HEX","1","-","0","20.518960474748447","","",
"JG073N_067","FAM","1","-","0","20.767486981958797","","",
"JG073N_067","HEX","1","-","0","20.36211059448903","","",
"JG073N_068","FAM","1","-","0","20.85805556723499","","",
"JG073N_068","HEX","1","-","0","20.57362273739954","","",
"JG073N_069","FAM","1","-","0","20.848703256039755","","",
"JG073N_069","HEX","1","-","0","20.549597303780835","","",
"JG073N_070","FAM","1","-","0","20.767389885408626","","",
