col,row,Material,ng RNA,IFI44L Copies,EMRI Copies,Well,WellName,Sample,MasterMix
0,0,RNA,100,7.0,5.91,1,A1,JG073N_001,TaqMan Fast Virus
1,0,RNA,100,7.0,5.573333333333333,2,A2,JG073N_002,TaqMan Fast Virus
2,0,RNA,100,7.0,5.236666666666666,3,A3,JG073N_003,TaqMan Fast Virus
3,0,RNA,100,7.0,4.9,4,A4,JG073N_004,TaqMan Fast Virus
4,0,RNA,100,7.0,4.5633333333333335,5,A5,JG073N_005,TaqMan Fast Virus
5,0,RNA,100,7.0,4.226666666666667,6,A6,JG073N_006,TaqMan Fast Virus
6,0,RNA,100,7.0,3.8900000000000006,7,A7,JG073N_007,TaqMan Fast Virus
7,0,RNA,100,7.0,,8,A8,JG073N_008,TaqMan Fast Virus
8,0,RNA,10,6.0,4.91,9,A9,JG073N_009,TaqMan Fast Virus
9,0,RNA,10,6.0,4.573333333333333,10,A10,JG073N_010,TaqMan Fast Virus
10,0,RNA,10,6.0,4.236666666666666,11,A11,JG073N_011,TaqMan Fast Virus
11,0,RNA,10,6.0,3.9000000000000004,12,A12,JG073N_012,TaqMan Fast Virus
12,0,RNA,10,6.0,3.5633333333333335,13,A13,JG073N_013,TaqMan Fast Virus
13,0,RNA,10,6.0,3.2266666666666666,14,A14,JG073N_014,TaqMan Fast Virus
14,0,RNA,10,6.0,2.8900000000000006,15,A15,JG073N_015,TaqMan Fast Virus
15,0,RNA,10,6.0,,16,A16,JG073N_016,TaqMan Fast Virus
16,0,RNA,1,5.0,3.91,17,A17,JG073N_017,TaqMan Fast Virus
17,0,RNA,1,5.0,3.5733333333333333,18,A18,JG073N_018,TaqMan Fast Virus
18,0,RNA,1,5.0,3.2366666666666664,19,A19,JG073N_019,TaqMan Fast Virus
19,0,RNA,1,5.0,2.9000000000000004,20,A20,JG073N_020,TaqMan Fast Virus
20,0,RNA,1,5.0,2.5633333333333335,21,A21,JG073N_021,TaqMan Fast Virus
21,0,RNA,1,5.0,2.2266666666666666,22,A22,JG073N_022,TaqMan Fast Virus
22,0,RNA,1,5.0,1.8900000000000001,23,A23,JG073N_023,TaqMan Fast Virus
23,0,RNA,1,5.0,,24,A24,JG073N_024,TaqMan Fast Virus
0,1,RNA,100,6.333333333333332,5.91,25,B1,JG073N_025,TaqMan Fast Virus
1,1,RNA,100,6.333333333333332,5.573333333333333,26,B2,JG073N_026,TaqMan Fast Virus
2,1,RNA,100,6.333333333333332,5.236666666666666,27,B3,JG073N_027,TaqMan Fast Virus
3,1,RNA,100,6.333333333333332,4.9,28,B4,JG073N_028,TaqMan Fast Virus
4,1,RNA,100,6.333333333333332,4.5633333333333335,29,B5,JG073N_029,TaqMan Fast Virus
5,1,RNA,100,6.333333333333332,4.226666666666667,30,B6,JG073N_030,TaqMan Fast Virus
6,1,RNA,100,6.333333333333332,3.8900000000000006,31,B7,JG073N_031,TaqMan Fast Virus
7,1,RNA,100,6.333333333333332,,32,B8,JG073N_032,TaqMan Fast Virus
8,1,RNA,10,5.333333333333333,4.91,33,B9,JG073N_033,TaqMan Fast Virus
9,1,RNA,10,5.333333333333333,4.573333333333333,34,B10,JG073N_034,TaqMan Fast Virus
10,1,RNA,10,5.333333333333333,4.236666666666666,35,B11,JG073N_035,TaqMan Fast Virus
11,1,RNA,10,5.333333333333333,3.9000000000000004,36,B12,JG073N_036,TaqMan Fast Virus
12,1,RNA,10,5.333333333333333,3.5633333333333335,37,B13,JG073N_037,TaqMan Fast Virus
13,1,RNA,10,5.333333333333333,3.2266666666666666,38,B14,JG073N_038,TaqMan Fast Virus
14,1,RNA,10,5.333333333333333,2.8900000000000006,39,B15,JG073N_039,TaqMan Fast Virus
15,1,RNA,10,5.333333333333333,,40,B16,JG073N_040,TaqMan Fast Virus
16,1,RNA,1,4.333333333333333,3.91,41,B17,JG073N_041,TaqMan Fast Virus
17,1,RNA,1,4.333333333333333,3.5733333333333333,42,B18,JG073N_042,TaqMan Fast Virus
18,1,RNA,1,4.333333333333333,3.2366666666666664,43,B19,JG073N_043,TaqMan Fast Virus
19,1,RNA,1,4.333333333333333,2.9000000000000004,44,B20,JG073N_044,TaqMan Fast Virus
20,1,RNA,1,4.333333333333333,2.5633333333333335,45,B21,JG073N_045,TaqMan Fast Virus
21,1,RNA,1,4.333333333333333,2.2266666666666666,46,B22,JG073N_046,TaqMan Fast Virus
22,1,RNA,1,4.333333333333333,1.8900000000000001,47,B23,JG073N_047,TaqMan Fast Virus
23,1,RNA,1,4.333333333333333,,48,B24,JG073N_048,TaqMan Fast Virus
0,2,RNA,100,5.666666666666667,5.91,49,C1,JG073N_049,TaqMan Fast Virus
1,2,RNA,100,5.666666666666667,5.573333333333333,50,C2,JG073N_050,TaqMan Fast Virus
2,2,RNA,100,5.666666666666667,5.236666666666666,51,C3,JG073N_051,TaqMan Fast Virus
3,2,RNA,100,5.666666666666667,4.9,52,C4,JG073N_052,TaqMan Fast Virus
4,2,RNA,100,5.666666666666667,4.5633333333333335,53,C5,JG073N_053,TaqMan Fast Virus
5,2,RNA,100,5.666666666666667,4.226666666666667,54,C6,JG073N_054,TaqMan Fast Virus
6,2,RNA,100,5.666666666666667,3.8900000000000006,55,C7,JG073N_055,TaqMan Fast Virus
7,2,RNA,100,5.666666666666667,,56,C8,JG073N_056,TaqMan Fast Virus
8,2,RNA,10,4.666666666666667,4.91,57,C9,JG073N_057,TaqMan Fast Virus
9,2,RNA,10,4.666666666666667,4.573333333333333,58,C10,JG073N_058,TaqMan Fast Virus
10,2,RNA,10,4.666666666666667,4.236666666666666,59,C11,JG073N_059,TaqMan Fast Virus
11,2,RNA,10,4.666666666666667,3.9000000000000004,60,C12,JG073N_060,TaqMan Fast Virus
12,2,RNA,10,4.666666666666667,3.5633333333333335,61,C13,JG073N_061,TaqMan Fast Virus
13,2,RNA,10,4.666666666666667,3.2266666666666666,62,C14,JG073N_062,TaqMan Fast Virus
14,2,RNA,10,4.666666666666667,2.8900000000000006,63,C15,JG073N_063,TaqMan Fast Virus
15,2,RNA,10,4.666666666666667,,64,C16,JG073N_064,TaqMan Fast Virus
16,2,RNA,1,3.666666666666667,3.91,65,C17,JG073N_065,TaqMan Fast Virus
17,2,RNA,1,3.666666666666667,3.5733333333333333,66,C18,JG073N_066,TaqMan Fast Virus
18,2,RNA,1,3.666666666666667,3.2366666666666664,67,C19,JG073N_067,TaqMan Fast Virus
19,2,RNA,1,3.666666666666667,2.9000000000000004,68,C20,JG073N_068,TaqMan Fast Virus
20,2,RNA,1,3.666666666666667,2.5633333333333335,69,C21,JG073N_069,TaqMan Fast Virus
21,2,RNA,1,3.666666666666667,2.2266666666666666,70,C22,JG073N_070,TaqMan Fast Virus
22,2,RNA,1,3.666666666666667,1.8900000000000001,71,C23,JG073N_071,TaqMan Fast Virus
23,2,RNA,1,3.666666666666667,,72,C24,JG073N_072,TaqMan Fast Virus
0,3,RNA,100,5.0,5.91,73,D1,JG073N_073,TaqMan Fast Virus
1,3,RNA,100,5.0,5.573333333333333,74,D2,JG073N_074,TaqMan Fast Virus
2,3,RNA,100,5.0,5.236666666666666,75,D3,JG073N_075,TaqMan Fast Virus
3,3,RNA,100,5.0,4.9,76,D4,JG073N_076,TaqMan Fast Virus
4,3,RNA,100,5.0,4.5633333333333335,77,D5,JG073N_077,TaqMan Fast Virus
5,3,RNA,100,5.0,4.226666666666667,78,D6,JG073N_078,TaqMan Fast Virus
6,3,RNA,100,5.0,3.8900000000000006,79,D7,JG073N_079,TaqMan Fast Virus
7,3,RNA,100,5.0,,80,D8,JG073N_080,TaqMan Fast Virus
8,3,RNA,10,4.0,4.91,81,D9,JG073N_081,TaqMan Fast Virus
9,3,RNA,10,4.0,4.573333333333333,82,D10,JG073N_082,TaqMan Fast Virus
10,3,RNA,10,4.0,4.236666666666666,83,D11,JG073N_083,TaqMan Fast Virus
11,3,RNA,10,4.0,3.9000000000000004,84,D12,JG073N_084,TaqMan Fast Virus
12,3,RNA,10,4.0,3.5633333333333335,85,D13,JG073N_085,TaqMan Fast Virus
13,3,RNA,10,4.0,3.2266666666666666,86,D14,JG073N_086,TaqMan Fast Virus
14,3,RNA,10,4.0,2.8900000000000006,87,D15,JG073N_087,TaqMan Fast Virus
15,3,RNA,10,4.0,,88,D16,JG073N_088,TaqMan Fast Virus
16,3,RNA,1,3.0,3.91,89,D17,JG073N_089,TaqMan Fast Virus
17,3,RNA,1,3.0,3.5733333333333333,90,D18,JG073N_090,TaqMan Fast Virus
