# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_6\data\JG074D_L2_500_like_competitor_sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-06 12:12:16 PM EDT
# Run End Date/Time: 2022-04-06 02:06:43 PM EDT
# Run Duration: 114 minutes 26 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:45:00 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:45:14 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","JG074D.001","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","0.0","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"1","A1","JG074D.001","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.522443856967712","10.522443856967712","0.46909404332286486","","","0.0","true","0.03999999910593033","true","3","8","","","","","","","","","","","false"
"2","A2","JG074D.002","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","21.41906721936741","21.41906721936741","0.1427095665208268","","","0.0","true","0.03999999910593033","true","3","14","","","","","","","","","","","false"
"2","A2","JG074D.002","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.504573819623047","10.504573819623047","0.4741931884088573","","","0.0","true","0.03999999910593033","true","3","8","","","","","","","","","","","false"
"3","A3","JG074D.003","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","0.0","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"3","A3","JG074D.003","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Inconclusive","Undetermined","","0.0","","","0.0","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"4","A4","JG074D.004","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","23.883890274527424","23.883890274527424","0.13654843888022494","","","0.0","true","0.03999999910593033","true","3","15","","","","","","","","","","","false"
"4","A4","JG074D.004","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.197843910648675","10.197843910648675","0.44792038408248686","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
"5","A5","JG074D.005","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","13.030169167774186","13.030169167774186","0.28466881617373124","","","0.0","true","0.03999999910593033","true","3","10","","","","","","","","","","","false"
"5","A5","JG074D.005","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.408961339428593","10.408961339428593","0.43807419776323386","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
"6","A6","JG074D.006","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","0.0","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"6","A6","JG074D.006","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.133718327935831","10.133718327935831","0.44471041357808544","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
"7","A7","JG074D.007","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","21.5392115560043","21.5392115560043","0.1491882971606852","","","0.0","true","0.03999999910593033","true","3","14","","","","","","","","","","","false"
"7","A7","JG074D.007","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.19958848528939","10.19958848528939","0.4561012385050318","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
"8","A8","JG074D.008","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","0.0","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"8","A8","JG074D.008","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.262385652883022","10.262385652883022","0.45308094206708055","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
"9","A9","JG074D.009","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","22.428228496102587","22.428228496102587","0.1488643812332038","","","0.0","true","0.03999999910593033","true","3","15","","","","","","","","","","","false"
"9","A9","JG074D.009","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.296495294102737","10.296495294102737","0.45502743108734006","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
"10","A10","JG074D.010","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","12.77520353560619","12.77520353560619","0.284710881546942","","","0.0","true","0.03999999910593033","true","3","9","","","","","","","","","","","false"
"10","A10","JG074D.010","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.279656767578011","10.279656767578011","0.423709154095481","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
"11","A11","JG074D.011","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","24.93030644258745","24.93030644258745","0.11958376608635009","","","0.0","true","0.03999999910593033","true","3","14","","","","","","","","","","","false"
"11","A11","JG074D.011","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.363761550237552","10.363761550237552","0.45872284040466216","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
"12","A12","JG074D.012","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","18.91323670223025","18.91323670223025","0.1334382925421992","","","0.0","true","0.03999999910593033","true","3","14","","","","","","","","","","","false"
"12","A12","JG074D.012","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.448603138727389","10.448603138727389","0.4737093089436701","","","0.0","true","0.03999999910593033","true","3","8","","","","","","","","","","","false"
"13","A13","JG074D.013","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","19.312373744481736","19.312373744481736","0.11075970076498028","","","0.0","true","0.03999999910593033","true","3","14","","","","","","","","","","","false"
"13","A13","JG074D.013","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.333436234943111","10.333436234943111","0.4676564160229976","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
"14","A14","JG074D.014","","FAM","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","18.7956534076456","18.7956534076456","0.14472805071836964","","","0.0","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"14","A14","JG074D.014","","HEX","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","10.259917054235753","10.259917054235753","0.45206669799086563","","","0.0","true","0.03999999910593033","true","3","7","","","","","","","","","","","false"
