# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_8\data\JG073N Febrile Signature Gen2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-06-02 09:40:12 AM EDT
# Run End Date/Time: 2022-06-02 11:37:57 AM EDT
# Run Duration: 117 minutes 45 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 3 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:42:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:42:48 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","75009.17","61140.855","142021.33"
"1","A1","2","74836.98","61201.945","141650.36"
"1","A1","3","74506.1","61915.332","141275.53"
"1","A1","4","74488.805","62359.08","141269.89"
"1","A1","5","74684.164","62806.23","141450.23"
"1","A1","6","74792.16","63686.24","141536.69"
"1","A1","7","75074.88","65184.676","141867.27"
"1","A1","8","75147.11","67550.56","142025.69"
"1","A1","9","75274.47","71798.84","142133.67"
"1","A1","10","75837.99","77996.445","142454.31"
"1","A1","11","77131.92","86890.664","142567.55"
"1","A1","12","78995.586","98234.96","142935.45"
"1","A1","13","81120.21","111346.3","142971.92"
"1","A1","14","84499.38","123916.22","143045.83"
"1","A1","15","89002.08","136236.64","143485.4"
"1","A1","16","95702.83","146366.22","143474.94"
"1","A1","17","105384.0","154854.61","143413.39"
"1","A1","18","118557.79","161282.56","143300.62"
"1","A1","19","133438.81","166095.8","143243.03"
"1","A1","20","148255.16","170349.05","143504.9"
"1","A1","21","160776.66","173456.64","143438.22"
"1","A1","22","169138.3","176080.94","143327.28"
"1","A1","23","173993.03","178467.02","143346.31"
"1","A1","24","176736.58","180684.77","143462.4"
"1","A1","25","178841.62","182487.6","143574.88"
"1","A1","26","180543.22","184192.58","143791.94"
"1","A1","27","181841.58","185927.28","143657.08"
"1","A1","28","182754.3","187653.16","143526.52"
"1","A1","29","183555.08","189430.03","143670.0"
"1","A1","30","184727.53","190807.08","143788.67"
"1","A1","31","185532.8","192421.67","143726.81"
"1","A1","32","185997.14","193777.0","143663.5"
"1","A1","33","186535.83","195457.31","143645.05"
"1","A1","34","187292.53","196720.05","143662.56"
"1","A1","35","187867.38","198155.25","143604.31"
"1","A1","36","188381.1","199877.05","143606.89"
"1","A1","37","189149.8","200949.78","143586.3"
"1","A1","38","189744.83","202109.94","143668.45"
"1","A1","39","190106.19","203729.5","143593.72"
"1","A1","40","190630.83","204669.77","143500.39"
"1","A1","41","191041.64","205704.3","143726.3"
"1","A1","42","191221.69","206962.6","143993.39"
"1","A1","43","191743.34","208231.86","144000.47"
"1","A1","44","192090.23","209459.4","143905.38"
"1","A1","45","192522.98","210892.52","143978.66"
"1","A1","46","193125.3","212207.19","144057.14"
"1","A1","47","193373.84","212975.47","143961.39"
"1","A1","48","193608.81","214286.02","143973.3"
"1","A1","49","194178.17","215869.55","143840.9"
"1","A1","50","194738.02","216981.1","143777.1"
"1","A1","51","195060.5","218246.81","143917.97"
"1","A1","52","195662.97","220001.17","144033.44"
"1","A1","53","195776.77","221652.7","144026.98"
"1","A1","54","196253.14","223638.64","144035.61"
"1","A1","55","197170.98","226045.45","144061.48"
"1","A1","56","198108.14","229294.56","143997.95"
"1","A1","57","199189.9","232794.94","144207.55"
"1","A1","58","200351.97","236856.39","144233.64"
"1","A1","59","201542.47","241892.66","144166.11"
"1","A1","60","204046.06","247117.05","144416.53"
"1","A1","61","206353.69","252831.1","144431.17"
"1","A1","62","209300.66","258426.89","144402.1"
"1","A1","63","213164.55","264251.97","144258.75"
"1","A1","64","217351.62","270302.12","144195.17"
"1","A1","65","222217.2","276344.0","144190.5"
"1","A1","66","227869.44","282698.9","144461.23"
"1","A1","67","234225.52","288905.22","144548.19"
"1","A1","68","241763.22","294946.97","144440.9"
"1","A1","69","249559.58","301020.8","144546.9"
"1","A1","70","258573.34","307020.44","144706.22"
"1","A1","71","267984.5","313011.72","144847.44"
"1","A1","72","278272.03","319033.22","144868.86"
"1","A1","73","289324.47","324573.75","144755.98"
"1","A1","74","300739.25","330172.16","144782.08"
"1","A1","75","312193.4","335253.03","144453.95"
"1","A1","76","323783.28","339765.8","144299.58"
"1","A1","77","335042.25","344460.38","144452.67"
"1","A1","78","345936.6","348331.28","144013.23"
"1","A1","79","356668.72","351868.0","143517.9"
"1","A1","80","367535.16","354911.5","143261.98"
"1","A1","81","378354.0","358033.1","142945.25"
"1","A1","82","388993.97","360778.8","142460.56"
"1","A1","83","399527.88","364431.2","142278.31"
"1","A1","84","410382.5","367596.38","142266.08"
"1","A1","85","421540.9","371010.28","142161.48"
"1","A1","86","431694.25","374366.4","141991.58"
"1","A1","87","441769.84","377657.03","141895.11"
"1","A1","88","452074.16","380446.38","141798.16"
"1","A1","89","462695.9","383647.5","141394.33"
"1","A1","90","470152.2","386230.66","141275.05"
"2","A2","1","68718.9","52748.105","125046.74"
"2","A2","2","68248.95","52789.43","124804.38"
"2","A2","3","67834.234","53267.26","124274.375"
"2","A2","4","67696.58","53596.41","124118.05"
"2","A2","5","67618.79","54166.57","124083.12"
"2","A2","6","67588.805","54917.656","123977.38"
"2","A2","7","67571.75","56204.652","123790.08"
"2","A2","8","67600.445","58652.375","123786.37"
"2","A2","9","67770.76","62788.227","123943.664"
"2","A2","10","68139.95","68836.47","123952.49"
