# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_8\data\JG073N Febrile Signature Gen2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-06-02 09:40:12 AM EDT
# Run End Date/Time: 2022-06-02 11:37:57 AM EDT
# Run Duration: 117 minutes 45 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 3 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:42:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:42:48 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","JG073N_001","FAM","UNKNOWN","FAM","None","Amp","1.1428071078909143","","","13.207741247538898","0.3459043141837702","13.207741247538898","","true","0.03999999910593033","true","3","9"
"1","A1","false","JG073N_001","HEX","UNKNOWN","HEX","None","Amp","1.1152312959998967","","","8.862612803065321","0.21911925300784965","8.862612803065321","","true","0.03999999910593033","true","3","6"
"2","A2","false","JG073N_002","FAM","UNKNOWN","FAM","None","Amp","1.1215018797593308","","","13.239443455264059","0.23557988843508515","13.239443455264059","","true","0.03999999910593033","true","3","9"
"2","A2","false","JG073N_002","HEX","UNKNOWN","HEX","None","Amp","1.106772706389639","","","8.69275605652852","0.1974139839741421","8.69275605652852","","true","0.03999999910593033","true","3","6"
"3","A3","false","JG073N_003","FAM","UNKNOWN","FAM","None","Amp","1.0843725044256778","","","14.053369031811084","0.21929376702832637","14.053369031811084","","true","0.03999999910593033","true","3","10"
"3","A3","false","JG073N_003","HEX","UNKNOWN","HEX","None","Amp","1.1163179567917467","","","8.957751318514513","0.22977630001899646","8.957751318514513","","true","0.03999999910593033","true","3","6"
"4","A4","false","JG073N_004","FAM","UNKNOWN","FAM","None","Amp","1.0315348726085702","","","14.40726545048124","0.16451447347366838","14.40726545048124","","true","0.03999999910593033","true","3","10"
"4","A4","false","JG073N_004","HEX","UNKNOWN","HEX","None","Amp","1.1099757594748103","","","8.799507050177334","0.20674037416373736","8.799507050177334","","true","0.03999999910593033","true","3","6"
"5","A5","false","JG073N_005","FAM","UNKNOWN","FAM","None","Amp","0.9163731590329623","","","16.076994398342197","0.16279412191287632","16.076994398342197","","true","0.03999999910593033","true","3","13"
"5","A5","false","JG073N_005","HEX","UNKNOWN","HEX","None","Amp","1.1126011452347666","","","8.793235108228178","0.2062788797828518","8.793235108228178","","true","0.03999999910593033","true","3","6"
"6","A6","false","JG073N_006","FAM","UNKNOWN","FAM","None","Inconclusive","0.974894985891964","","","16.034631235521456","0.13790819757846032","16.034631235521456","","true","0.03999999910593033","true","3","13"
"6","A6","false","JG073N_006","HEX","UNKNOWN","HEX","None","Amp","1.1126250326927072","","","8.851585294470087","0.21432673546961947","8.851585294470087","","true","0.03999999910593033","true","3","6"
"7","A7","false","JG073N_007","FAM","UNKNOWN","FAM","None","Inconclusive","0.9721482136954586","","","63.249206208423246","0.24483393080802","63.249206208423246","","true","0.03999999910593033","true","3","58"
"7","A7","false","JG073N_007","HEX","UNKNOWN","HEX","None","Amp","1.1255003008109157","","","8.750551659582511","0.20609326368948835","8.750551659582511","","true","0.03999999910593033","true","3","6"
"8","A8","false","JG073N_008","FAM","UNKNOWN","FAM","None","Inconclusive","0.7641125198913747","","","60.3120533912731","0.27579720454146195","60.3120533912731","","true","0.03999999910593033","true","3","53"
"8","A8","false","JG073N_008","HEX","UNKNOWN","HEX","None","Amp","1.1256424731844201","","","8.906915576644886","0.3790429491135809","8.906915576644886","","true","0.03999999910593033","true","3","6"
"9","A9","false","JG073N_009","FAM","UNKNOWN","FAM","None","Amp","0.949396823727435","","","18.246796016078605","0.3432745493663846","18.246796016078605","","true","0.03999999910593033","true","3","15"
"9","A9","false","JG073N_009","HEX","UNKNOWN","HEX","None","Inconclusive","1.1243684639681832","","","11.855286943508649","0.29941413071843076","11.855286943508649","","true","0.03999999910593033","true","3","9"
"10","A10","false","JG073N_010","FAM","UNKNOWN","FAM","None","Amp","0.8557825389900269","","","19.149487783372344","0.2901341171478306","19.149487783372344","","true","0.03999999910593033","true","3","15"
"10","A10","false","JG073N_010","HEX","UNKNOWN","HEX","None","Amp","1.1200439019675223","","","11.933022876577013","0.30750822227132446","11.933022876577013","","true","0.03999999910593033","true","3","9"
"11","A11","false","JG073N_011","FAM","UNKNOWN","FAM","None","Inconclusive","0.8469450810420962","","","70.29221609934464","0.46146901825947156","70.29221609934464","","true","0.03999999910593033","true","3","66"
"11","A11","false","JG073N_011","HEX","UNKNOWN","HEX","None","Amp","1.1205106618291782","","","11.958379916462295","0.3165936561247921","11.958379916462295","","true","0.03999999910593033","true","3","9"
"12","A12","false","JG073N_012","FAM","UNKNOWN","FAM","None","Inconclusive","0.789279479255446","","","73.42515321916505","0.5201298538604027","73.42515321916505","","true","0.03999999910593033","true","3","68"
"12","A12","false","JG073N_012","HEX","UNKNOWN","HEX","None","Amp","1.120489595579588","","","11.989918480227555","0.3287516065368008","11.989918480227555","","true","0.03999999910593033","true","3","9"
"13","A13","false","JG073N_013","FAM","UNKNOWN","FAM","None","Inconclusive","0.8596869790024729","","","65.4074007159511","0.19804448273755","65.4074007159511","","true","0.03999999910593033","true","3","62"
"13","A13","false","JG073N_013","HEX","UNKNOWN","HEX","None","Amp","1.1254151415613092","","","11.97705295477564","0.33053103283568236","11.97705295477564","","true","0.03999999910593033","true","3","9"
"14","A14","false","JG073N_014","FAM","UNKNOWN","FAM","None","Inconclusive","0.8220962206268662","","","73.53134075374726","0.39365679161264155","73.53134075374726","","true","0.03999999910593033","true","3","70"
"14","A14","false","JG073N_014","HEX","UNKNOWN","HEX","None","Amp","1.1263151943609904","","","12.153389894309825","0.3538198635247128","12.153389894309825","","true","0.03999999910593033","true","3","9"
"15","A15","false","JG073N_015","FAM","UNKNOWN","FAM","None","Inconclusive","0.8389426554041154","","","67.78601374213704","0.2751431951219586","67.78601374213704","","true","0.03999999910593033","true","3","68"
"15","A15","false","JG073N_015","HEX","UNKNOWN","HEX","None","Amp","1.1262733029985341","","","12.061369200021588","0.35569405752899763","12.061369200021588","","true","0.03999999910593033","true","3","9"
"16","A16","false","JG073N_016","FAM","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"16","A16","false","JG073N_016","HEX","UNKNOWN","HEX","None","Amp","1.1246979720744759","","","12.324199388514877","0.40238601263128987","12.324199388514877","","true","0.03999999910593033","true","3","10"
"17","A17","false","JG073N_017","FAM","UNKNOWN","FAM","None","Amp","1.0473098515470163","","","21.21174641494457","0.4838619554224083","21.21174641494457","","true","0.03999999910593033","true","3","18"
"17","A17","false","JG073N_017","HEX","UNKNOWN","HEX","None","Inconclusive","1.0620831980067673","","","15.545145448380232","0.39409828794915575","15.545145448380232","","true","0.03999999910593033","true","3","12"
"18","A18","false","JG073N_018","FAM","UNKNOWN","FAM","None","Amp","1.0000445710628685","","","22.718760945091425","0.4331284604181466","22.718760945091425","","true","0.03999999910593033","true","3","19"
"18","A18","false","JG073N_018","HEX","UNKNOWN","HEX","None","Inconclusive","1.0575348531135138","","","15.85441249539176","0.3553131556424357","15.85441249539176","","true","0.03999999910593033","true","3","13"
