# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_8\data\JG073N Febrile Signature Gen2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-06-02 09:40:12 AM EDT
# Run End Date/Time: 2022-06-02 11:37:57 AM EDT
# Run Duration: 117 minutes 45 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 3 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:42:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:42:48 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","JG073N_001","","FAM","FAM","UNKNOWN","FAM","None","Amp","13.207741247538898","13.207741247538898","0.3459043141837702","","","0.0","true","0.03999999910593033","true","3","9","","","","","","","","","","","false"
"1","A1","JG073N_001","","HEX","HEX","UNKNOWN","HEX","None","Amp","8.862612803065321","8.862612803065321","0.21911925300784965","","","0.0","true","0.03999999910593033","true","3","6","","","","","","","","","","","false"
"2","A2","JG073N_002","","FAM","FAM","UNKNOWN","FAM","None","Amp","13.239443455264059","13.239443455264059","0.23557988843508515","","","0.0","true","0.03999999910593033","true","3","9","","","","","","","","","","","false"
"2","A2","JG073N_002","","HEX","HEX","UNKNOWN","HEX","None","Amp","8.69275605652852","8.69275605652852","0.1974139839741421","","","0.0","true","0.03999999910593033","true","3","6","","","","","","","","","","","false"
"3","A3","JG073N_003","","FAM","FAM","UNKNOWN","FAM","None","Amp","14.053369031811084","14.053369031811084","0.21929376702832637","","","0.0","true","0.03999999910593033","true","3","10","","","","","","","","","","","false"
"3","A3","JG073N_003","","HEX","HEX","UNKNOWN","HEX","None","Amp","8.957751318514513","8.957751318514513","0.22977630001899646","","","0.0","true","0.03999999910593033","true","3","6","","","","","","","","","","","false"
"4","A4","JG073N_004","","FAM","FAM","UNKNOWN","FAM","None","Amp","14.40726545048124","14.40726545048124","0.16451447347366838","","","0.0","true","0.03999999910593033","true","3","10","","","","","","","","","","","false"
"4","A4","JG073N_004","","HEX","HEX","UNKNOWN","HEX","None","Amp","8.799507050177334","8.799507050177334","0.20674037416373736","","","0.0","true","0.03999999910593033","true","3","6","","","","","","","","","","","false"
"5","A5","JG073N_005","","FAM","FAM","UNKNOWN","FAM","None","Amp","16.076994398342197","16.076994398342197","0.16279412191287632","","","0.0","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"5","A5","JG073N_005","","HEX","HEX","UNKNOWN","HEX","None","Amp","8.793235108228178","8.793235108228178","0.2062788797828518","","","0.0","true","0.03999999910593033","true","3","6","","","","","","","","","","","false"
