* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
1	FAM	JG073N_001	FAM		None	UNKNOWN
1	HEX	JG073N_001	HEX		None	UNKNOWN
2	FAM	JG073N_002	FAM		None	UNKNOWN
2	HEX	JG073N_002	HEX		None	UNKNOWN
3	FAM	JG073N_003	FAM		None	UNKNOWN
3	HEX	JG073N_003	HEX		None	UNKNOWN
4	FAM	JG073N_004	FAM		None	UNKNOWN
4	HEX	JG073N_004	HEX		None	UNKNOWN
5	FAM	JG073N_005	FAM		None	UNKNOWN
5	HEX	JG073N_005	HEX		None	UNKNOWN
6	FAM	JG073N_006	FAM		None	UNKNOWN
6	HEX	JG073N_006	HEX		None	UNKNOWN
7	FAM	JG073N_007	FAM		None	UNKNOWN
7	HEX	JG073N_007	HEX		None	UNKNOWN
8	FAM	JG073N_008	FAM		None	UNKNOWN
8	HEX	JG073N_008	HEX		None	UNKNOWN
9	FAM	JG073N_009	FAM		None	UNKNOWN
9	HEX	JG073N_009	HEX		None	UNKNOWN
10	FAM	JG073N_010	FAM		None	UNKNOWN
10	HEX	JG073N_010	HEX		None	UNKNOWN
11	FAM	JG073N_011	FAM		None	UNKNOWN
11	HEX	JG073N_011	HEX		None	UNKNOWN
12	FAM	JG073N_012	FAM		None	UNKNOWN
12	HEX	JG073N_012	HEX		None	UNKNOWN
13	FAM	JG073N_013	FAM		None	UNKNOWN
13	HEX	JG073N_013	HEX		None	UNKNOWN
14	FAM	JG073N_014	FAM		None	UNKNOWN
14	HEX	JG073N_014	HEX		None	UNKNOWN
15	FAM	JG073N_015	FAM		None	UNKNOWN
15	HEX	JG073N_015	HEX		None	UNKNOWN
16	FAM	JG073N_016	FAM		None	UNKNOWN
16	HEX	JG073N_016	HEX		None	UNKNOWN
17	FAM	JG073N_017	FAM		None	UNKNOWN
17	HEX	JG073N_017	HEX		None	UNKNOWN
18	FAM	JG073N_018	FAM		None	UNKNOWN
18	HEX	JG073N_018	HEX		None	UNKNOWN
19	FAM	JG073N_019	FAM		None	UNKNOWN
19	HEX	JG073N_019	HEX		None	UNKNOWN
20	FAM	JG073N_020	FAM		None	UNKNOWN
20	HEX	JG073N_020	HEX		None	UNKNOWN
21	FAM	JG073N_021	FAM		None	UNKNOWN
21	HEX	JG073N_021	HEX		None	UNKNOWN
