# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_8\data\JG073Q Febrile Signature 1ng patient sample replicates.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-15 10:30:37 AM EDT
# Run End Date/Time: 2022-07-15 11:54:37 AM EDT
# Run Duration: 83 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 3 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:40:34 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:40:45 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","92685.93","80473.5","148814.84"
"1","A1","2","92118.695","80330.9","148161.27"
"1","A1","3","91225.23","79594.77","146125.92"
"1","A1","4","90132.61","79042.086","144592.75"
"1","A1","5","89385.58","78394.07","143888.55"
"1","A1","6","89003.95","77846.01","143236.58"
"1","A1","7","88811.28","77656.23","142720.66"
"1","A1","8","88571.56","77509.88","142512.39"
"1","A1","9","88441.94","77080.22","142458.66"
"1","A1","10","88343.81","76981.27","142145.33"
"1","A1","11","88293.81","77068.4","141879.84"
"1","A1","12","88327.15","76775.016","141728.39"
"1","A1","13","88232.43","76752.19","141645.27"
"1","A1","14","88173.08","77030.23","141432.38"
"1","A1","15","88146.414","77166.44","141325.27"
"1","A1","16","87964.27","77099.86","141423.94"
"1","A1","17","87953.68","77004.945","141457.25"
"1","A1","18","88237.03","76876.27","141505.28"
"1","A1","19","88951.61","76919.8","141405.44"
"1","A1","20","89974.55","77324.875","141171.67"
"1","A1","21","91639.21","77603.07","140976.31"
"1","A1","22","94787.73","78393.83","140929.47"
"1","A1","23","99723.0","79572.48","141143.62"
"1","A1","24","107445.31","81619.82","141186.72"
"1","A1","25","117555.484","84848.39","141204.94"
"1","A1","26","129588.81","89663.88","141143.42"
"1","A1","27","141633.45","95703.984","141151.08"
"1","A1","28","153074.0","103427.34","141024.2"
"1","A1","29","164179.75","111596.04","140761.48"
"1","A1","30","174438.89","118804.91","140692.55"
"1","A1","31","183514.12","125922.6","140882.31"
"1","A1","32","191411.84","131120.67","141016.08"
"1","A1","33","198041.02","134729.08","141161.39"
"1","A1","34","203331.19","137526.47","140893.27"
"1","A1","35","207646.5","139616.66","140822.55"
"1","A1","36","210444.94","141196.97","141038.44"
"1","A1","37","212807.0","142187.31","140859.55"
"1","A1","38","214170.6","143399.98","140768.19"
"1","A1","39","215477.25","144251.38","140873.61"
"1","A1","40","216670.98","145190.23","140882.4"
"1","A1","41","217704.45","145862.61","140908.44"
"1","A1","42","218495.67","146301.56","140681.17"
"1","A1","43","218839.31","146942.78","140600.42"
"1","A1","44","219485.81","147850.36","140693.55"
"1","A1","45","219946.94","148521.9","140581.48"
"1","A1","46","220515.84","149166.23","140487.36"
"1","A1","47","221070.19","149416.11","140428.39"
"1","A1","48","221343.42","150385.84","140402.98"
"1","A1","49","221328.17","150884.97","140528.22"
"1","A1","50","221816.25","151293.83","140651.16"
"1","A1","51","222401.56","151904.77","140598.95"
"1","A1","52","222941.72","152484.94","140492.94"
"1","A1","53","223182.89","153341.64","140439.36"
"1","A1","54","223845.02","153655.94","140422.47"
"1","A1","55","223751.47","153912.8","140192.2"
"1","A1","56","224295.53","154274.12","140119.17"
"1","A1","57","224388.77","155182.75","140107.05"
"1","A1","58","224698.16","155620.36","140170.22"
"1","A1","59","225355.52","155755.75","140449.56"
"1","A1","60","225580.45","156462.16","140538.89"
"2","A2","1","80921.63","70714.305","133949.2"
"2","A2","2","80444.93","70472.53","133294.75"
"2","A2","3","79688.73","69913.32","131590.17"
"2","A2","4","78766.36","69185.57","129979.43"
"2","A2","5","78076.14","68396.15","128997.46"
"2","A2","6","77392.36","68046.75","128313.4"
"2","A2","7","76915.98","67590.95","127799.37"
"2","A2","8","76745.68","67467.48","127417.914"
"2","A2","9","76652.01","67557.36","126876.71"
"2","A2","10","76533.055","67536.836","126681.86"
"2","A2","11","76342.484","67436.86","126627.54"
"2","A2","12","76245.29","67368.89","126507.66"
"2","A2","13","76171.0","67300.555","126470.04"
"2","A2","14","76107.305","67176.5","126605.21"
"2","A2","15","76019.0","67148.914","126470.68"
"2","A2","16","76054.07","67183.96","126392.68"
"2","A2","17","76275.2","67291.91","126467.14"
"2","A2","18","76384.76","67390.33","126531.24"
"2","A2","19","76847.516","67422.92","126584.2"
"2","A2","20","77589.625","67691.164","126490.32"
"2","A2","21","79417.1","68148.0","126232.27"
"2","A2","22","82350.03","68791.14","126160.125"
"2","A2","23","86833.73","69740.984","126282.76"
"2","A2","24","93961.805","71541.57","126415.23"
"2","A2","25","103513.32","74321.32","126379.4"
"2","A2","26","115417.83","78356.58","126282.78"
"2","A2","27","128849.125","83570.47","126071.555"
"2","A2","28","143038.98","89304.12","126064.164"
"2","A2","29","157031.81","94777.35","126340.07"
"2","A2","30","169872.64","99581.52","126461.13"
"2","A2","31","180849.53","103166.38","126466.8"
"2","A2","32","189074.31","105626.836","126651.51"
"2","A2","33","195196.06","106913.65","126720.59"
"2","A2","34","199863.89","107999.56","126687.57"
"2","A2","35","202868.44","109048.35","126631.516"
"2","A2","36","205585.55","109618.98","126666.51"
"2","A2","37","207737.95","110329.29","126564.52"
"2","A2","38","209466.66","110997.64","126478.305"
"2","A2","39","210575.23","111790.02","126511.34"
"2","A2","40","211438.66","112168.734","126636.63"
"2","A2","41","212582.12","112837.0","126535.805"
"2","A2","42","213390.69","113765.19","126463.766"
"2","A2","43","214004.4","114156.81","126511.805"
"2","A2","44","214503.42","114353.58","126423.45"
"2","A2","45","215107.92","114890.36","126214.53"
"2","A2","46","215935.14","115594.07","126157.73"
"2","A2","47","216492.38","116015.76","126230.445"
"2","A2","48","216789.9","116495.03","126134.99"
"2","A2","49","217310.34","117021.3","126075.25"
"2","A2","50","217499.06","117512.96","126112.03"
"2","A2","51","218355.4","117905.75","126255.37"
"2","A2","52","218697.4","118440.586","126247.29"
"2","A2","53","218940.22","118737.77","126219.35"
"2","A2","54","219326.4","119062.695","126093.97"
"2","A2","55","219956.89","119473.68","125946.68"
"2","A2","56","220328.86","119873.695","125920.93"
"2","A2","57","220659.05","120434.164","125946.27"
"2","A2","58","220905.3","121066.95","125963.31"
"2","A2","59","221190.45","121541.62","126046.27"
"2","A2","60","221921.02","121830.25","126039.27"
"3","A3","1","87848.58","80977.555","148279.0"
"3","A3","2","87331.99","80563.67","147160.72"
"3","A3","3","86164.555","79724.945","145391.64"
"3","A3","4","85541.2","79411.77","144354.22"
"3","A3","5","85189.76","79249.805","143700.25"
"3","A3","6","85072.2","78988.836","143253.9"
"3","A3","7","85041.94","78740.5","143007.42"
"3","A3","8","84867.14","78644.81","142742.95"
"3","A3","9","84738.45","78604.09","142544.75"
"3","A3","10","84553.4","78569.08","142422.98"
"3","A3","11","84538.14","78540.18","142385.55"
"3","A3","12","84636.766","78511.336","142224.88"
"3","A3","13","84569.29","78497.63","142120.03"
"3","A3","14","84545.55","78410.02","142182.2"
"3","A3","15","84622.56","78386.54","142263.6"
"3","A3","16","84777.77","78420.266","142191.62"
"3","A3","17","84981.54","78550.06","142030.3"
"3","A3","18","85349.54","78633.625","141920.88"
"3","A3","19","85744.51","78640.13","141894.33"
"3","A3","20","86740.89","78894.61","141856.2"
"3","A3","21","88644.8","79600.87","141721.48"
"3","A3","22","91658.91","80325.18","141597.1"
"3","A3","23","96682.4","81683.38","141434.48"
"3","A3","24","103842.88","84354.44","141375.47"
"3","A3","25","113426.85","88440.125","141464.89"
"3","A3","26","124471.766","94768.03","141547.58"
"3","A3","27","135702.9","103063.22","141375.25"
"3","A3","28","145996.98","112734.48","141350.16"
"3","A3","29","155345.78","122660.984","141660.6"
"3","A3","30","163510.03","132178.44","142029.89"
"3","A3","31","171158.38","140529.08","142024.16"
"3","A3","32","177223.34","146890.19","141846.67"
"3","A3","33","181992.56","151607.5","141764.39"
"3","A3","34","185699.83","154913.05","141841.33"
"3","A3","35","188474.5","157307.84","141899.94"
"3","A3","36","190424.45","158986.69","141965.39"
"3","A3","37","192012.58","160497.61","141910.88"
"3","A3","38","192897.28","161936.22","141885.58"
"3","A3","39","193666.06","163329.25","141901.48"
"3","A3","40","194630.95","164328.1","142108.1"
"3","A3","41","195270.11","165741.77","141949.33"
"3","A3","42","195850.36","166708.94","141760.0"
"3","A3","43","196301.67","168116.5","141690.17"
"3","A3","44","196964.58","169231.25","141769.77"
"3","A3","45","197268.17","169905.75","141758.19"
"3","A3","46","197577.23","171063.97","141707.4"
"3","A3","47","197847.06","172099.05","141778.61"
"3","A3","48","198394.4","173099.77","141789.98"
"3","A3","49","198768.5","174099.81","141587.17"
"3","A3","50","199070.81","175104.0","141513.16"
"3","A3","51","199332.78","176083.97","141635.84"
"3","A3","52","199748.45","176772.4","141738.23"
"3","A3","53","200014.03","177690.77","141598.33"
"3","A3","54","200254.58","178626.81","141188.69"
"3","A3","55","200556.78","179555.95","141135.39"
"3","A3","56","200955.42","180440.12","141312.89"
"3","A3","57","200938.28","181273.83","141343.02"
"3","A3","58","201419.12","182159.44","141410.44"
"3","A3","59","201663.25","183120.97","141352.08"
"3","A3","60","201755.14","183736.4","141295.38"
"4","A4","1","87843.69","80462.58","146246.44"
"4","A4","2","87199.29","79895.516","145063.73"
"4","A4","3","86034.82","79183.27","143304.5"
"4","A4","4","85263.81","78640.055","142338.25"
"4","A4","5","84676.805","78355.49","141564.88"
"4","A4","6","84272.25","78178.07","141191.05"
"4","A4","7","84020.484","77994.2","140872.38"
"4","A4","8","83846.31","77871.67","140678.17"
"4","A4","9","83595.37","77810.34","140579.28"
"4","A4","10","83466.195","77792.98","140442.2"
"4","A4","11","83350.51","77829.13","140243.6"
"4","A4","12","83205.45","77795.83","140061.94"
"4","A4","13","83194.76","77652.984","139846.78"
"4","A4","14","83317.32","77628.03","139767.28"
"4","A4","15","83079.664","77695.95","139920.92"
"4","A4","16","83049.79","77761.16","139836.39"
"4","A4","17","83243.914","77683.02","139732.16"
"4","A4","18","83472.234","77734.31","139715.03"
"4","A4","19","83999.11","78092.55","139530.6"
"4","A4","20","84639.36","78250.88","139445.67"
"4","A4","21","86404.88","78601.73","139574.53"
"4","A4","22","89430.72","79324.45","139615.38"
"4","A4","23","94158.95","80454.54","139479.02"
"4","A4","24","101331.48","82430.27","139393.14"
"4","A4","25","110975.336","85896.66","139447.12"
"4","A4","26","122177.195","90886.53","139430.19"
"4","A4","27","133896.03","97552.08","139388.47"
"4","A4","28","144996.42","105180.26","139516.28"
"4","A4","29","155643.83","113247.05","139524.78"
"4","A4","30","165625.78","120983.74","139338.5"
"4","A4","31","174593.88","127931.95","139274.14"
"4","A4","32","182178.05","133461.92","139408.25"
"4","A4","33","188413.33","137603.94","139315.75"
"4","A4","34","193376.89","139989.97","139239.42"
"4","A4","35","196834.81","141920.16","139299.47"
"4","A4","36","199433.73","143671.14","139331.12"
"4","A4","37","201580.89","144768.23","139386.1"
"4","A4","38","202997.31","145734.3","139376.81"
"4","A4","39","204155.66","146658.12","139310.89"
"4","A4","40","205127.12","147444.53","139289.94"
"4","A4","41","205749.05","148298.7","139177.69"
"4","A4","42","206288.64","149239.75","139117.7"
"4","A4","43","207013.98","149850.56","139184.17"
"4","A4","44","207575.92","150528.14","139139.23"
"4","A4","45","207937.05","151310.92","139089.62"
"4","A4","46","208114.52","152037.75","139050.78"
"4","A4","47","208416.8","152813.89","139014.5"
"4","A4","48","208679.45","153436.03","139037.7"
"4","A4","49","208992.0","154319.17","138866.22"
"4","A4","50","209373.81","154879.92","138805.55"
"4","A4","51","209902.55","155454.81","138880.77"
"4","A4","52","210233.88","156094.9","138938.28"
"4","A4","53","210543.03","156545.08","138952.81"
"4","A4","54","210668.8","157209.6","138718.53"
"4","A4","55","210846.97","158041.97","138620.98"
"4","A4","56","211060.48","158735.38","138628.33"
"4","A4","57","211331.78","158949.8","138705.73"
"4","A4","58","211446.55","159664.72","138716.73"
"4","A4","59","211811.44","160220.25","138669.78"
"4","A4","60","211966.31","161089.0","138643.3"
"5","A5","1","84381.25","82113.44","145837.06"
"5","A5","2","83711.94","81601.38","144719.52"
"5","A5","3","82587.91","80688.85","142945.75"
"5","A5","4","81784.625","80246.14","141766.39"
"5","A5","5","81481.58","79735.07","140753.94"
"5","A5","6","81229.3","79233.734","140212.7"
"5","A5","7","81065.36","79060.63","139919.11"
"5","A5","8","80901.484","78945.664","139658.98"
"5","A5","9","80773.88","78920.73","139502.28"
"5","A5","10","80693.88","79049.09","139403.69"
"5","A5","11","80592.38","79090.18","139333.3"
"5","A5","12","80495.805","79074.29","139097.97"
"5","A5","13","80497.58","78916.54","139000.5"
"5","A5","14","80586.195","78812.01","139052.84"
"5","A5","15","80591.57","78764.03","138998.05"
"5","A5","16","80708.266","78715.81","138944.06"
"5","A5","17","81115.0","78742.945","138942.95"
"5","A5","18","81377.24","78929.39","138898.16"
"5","A5","19","81612.984","79128.35","138771.6"
"5","A5","20","82716.67","79418.34","138650.95"
"5","A5","21","84449.9","79728.67","138446.42"
"5","A5","22","87148.54","80552.95","138408.44"
"5","A5","23","92240.3","81736.58","138484.42"
"5","A5","24","99550.24","83781.945","138596.56"
"5","A5","25","109068.65","87127.71","138599.31"
"5","A5","26","120265.695","92032.68","138676.27"
"5","A5","27","131878.25","98407.74","138847.22"
"5","A5","28","143438.78","105751.516","138913.8"
"5","A5","29","154221.64","113436.125","138889.28"
"5","A5","30","164047.64","120915.43","138881.36"
"5","A5","31","172771.69","127590.51","138931.89"
"5","A5","32","180522.22","133023.06","138962.64"
"5","A5","33","187127.4","137226.73","138948.53"
"5","A5","34","192476.98","140139.39","139061.72"
"5","A5","35","196668.52","142007.48","139125.38"
"5","A5","36","199750.92","143406.98","139061.56"
"5","A5","37","201999.53","144517.6","139005.11"
"5","A5","38","203557.38","145359.98","138977.61"
"5","A5","39","205071.97","146257.81","139000.77"
"5","A5","40","206387.69","147018.14","139038.19"
"5","A5","41","207462.56","147381.27","139113.66"
"5","A5","42","208178.06","147932.23","139119.95"
"5","A5","43","208604.12","148784.34","139014.89"
"5","A5","44","209265.22","149439.84","138829.83"
"5","A5","45","209806.67","150050.22","138770.84"
"5","A5","46","210029.4","150541.06","138861.06"
"5","A5","47","210592.4","151059.67","138845.23"
"5","A5","48","211233.3","151696.75","138871.64"
"5","A5","49","211525.38","151995.58","138871.5"
"5","A5","50","211788.81","152593.06","138863.17"
"5","A5","51","212198.84","153389.97","138790.3"
"5","A5","52","212687.84","153724.11","138697.7"
"5","A5","53","212987.66","154031.5","138554.62"
"5","A5","54","213177.81","154566.33","138464.23"
"5","A5","55","213311.64","154970.45","138432.56"
"5","A5","56","213714.44","155388.6","138477.45"
"5","A5","57","214074.92","155688.52","138652.28"
"5","A5","58","214242.31","156022.53","138519.05"
"5","A5","59","214404.1","156452.16","138477.48"
"5","A5","60","214841.53","156789.34","138570.1"
"6","A6","1","81497.13","84574.05","150383.47"
"6","A6","2","81006.1","84095.42","149393.73"
"6","A6","3","80052.64","83159.08","147513.53"
"6","A6","4","79201.414","82565.4","146318.28"
"6","A6","5","78655.086","82287.74","145259.84"
"6","A6","6","78430.336","81861.164","144729.78"
"6","A6","7","78154.15","81532.86","144447.1"
"6","A6","8","78013.375","81481.65","144052.3"
"6","A6","9","77850.45","81550.54","143860.78"
"6","A6","10","77834.35","81636.14","143813.4"
"6","A6","11","77969.85","81571.484","143717.11"
"6","A6","12","78030.26","81570.88","143477.47"
"6","A6","13","77878.52","81718.1","143338.84"
"6","A6","14","77804.695","81696.26","143292.58"
"6","A6","15","77813.39","81596.41","143234.89"
"6","A6","16","77940.92","81557.35","143292.03"
"6","A6","17","78189.12","81567.13","143223.5"
"6","A6","18","78425.266","81618.38","143167.44"
"6","A6","19","78877.914","81891.49","143200.39"
"6","A6","20","79876.95","82018.15","143216.53"
"6","A6","21","81470.26","82381.195","143107.4"
"6","A6","22","84299.79","83106.0","143037.81"
"6","A6","23","88991.266","84341.42","143126.17"
"6","A6","24","95846.266","86587.16","143138.88"
"6","A6","25","105094.805","90164.7","143060.42"
"6","A6","26","115845.805","95631.07","143008.77"
"6","A6","27","127149.88","102674.17","143106.6"
"6","A6","28","138566.48","110910.234","143077.34"
"6","A6","29","149014.34","119681.625","143088.25"
"6","A6","30","158878.39","127831.875","143039.7"
"6","A6","31","167844.9","135032.4","143052.17"
"6","A6","32","175518.56","140562.38","143013.83"
"6","A6","33","181847.97","144846.64","143060.19"
"6","A6","34","186631.17","147696.92","143008.73"
"6","A6","35","189871.6","149410.36","143030.45"
"6","A6","36","192305.17","150787.38","143183.61"
"6","A6","37","194294.67","152145.36","143145.67"
"6","A6","38","195944.53","153183.94","143030.56"
"6","A6","39","196899.02","154385.72","142923.28"
"6","A6","40","197815.17","155356.61","142816.06"
"6","A6","41","198776.83","156127.98","142763.2"
"6","A6","42","199389.67","157122.92","142859.86"
"6","A6","43","199689.39","158133.05","142949.98"
