# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_8\data\JG073Q Febrile Signature 1ng patient sample replicates.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-15 10:30:37 AM EDT
# Run End Date/Time: 2022-07-15 11:54:37 AM EDT
# Run Duration: 83 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 3 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:40:34 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:40:45 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","A","1ng_CAN_HEX","UNKNOWN","HEX","None","Amp","1.0097257730294111","","","24.371036840479597","0.9649136283950773","24.414203014302945","0.06627918746900535","true","0.03999999910593033","true","3","21"
"1","A1","false","A","1ng_CAN_FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.1050449793581063","","","22.44170692782901","0.987069314118187","22.677515501361125","0.23365917827186286","true","0.06328342203819375","true","3","18"
"2","A2","false","B","1ng_CAN_HEX","UNKNOWN","HEX","None","Amp","0.960794632404412","","","24.45790096647712","0.9489414466647148","24.3415793136851","0.08125404570885528","true","0.03999999910593033","true","3","21"
"2","A2","false","B","1ng_CAN_FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.163097019906577","","","22.428161046040472","0.9875332189398554","22.61703806189626","0.1614626900825702","true","0.06328342203819375","true","3","19"
"3","A3","false","C","1ng_CAN_HEX","UNKNOWN","HEX","None","Amp","1.057908855527224","","","23.95959396625041","0.9556863390502055","24.07521223568269","0.06782547439293125","true","0.03999999910593033","true","3","20"
"3","A3","false","C","1ng_CAN_FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.0868525178520554","","","22.508520022379372","0.9792587179559387","22.586045618018794","0.08027661906931065","true","0.06328342203819375","true","3","19"
"4","A4","false","D","1ng_CAN_HEX","UNKNOWN","HEX","None","Amp","1.017143321714123","","","24.431307795206017","0.9516892171437826","24.302883137007562","0.08690334241350069","true","0.03999999910593033","true","3","21"
"4","A4","false","D","1ng_CAN_FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.0967933912957473","","","22.49875557976972","0.9832065019429775","22.581502669843402","0.12349223610944066","true","0.06328342203819375","true","3","18"
"5","A5","false","E","1ng_CAN_HEX","UNKNOWN","HEX","None","Amp","1.0074565617018048","","","24.33730631417525","0.9544778206149535","24.353068186067226","0.06590756289017816","true","0.03999999910593033","true","3","21"
"5","A5","false","E","1ng_CAN_FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.0981575637608567","","","22.506661594482196","0.9794565732881446","22.59601523987464","0.06824292285124786","true","0.06328342203819375","true","3","18"
