# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075F L-MMMMx blocker tripartite competition matrix.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-05-04 11:29:00 AM EDT
# Run End Date/Time: 2022-05-04 12:48:19 PM EDT
# Run Duration: 79 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:39:38 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:39:44 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","FAM","0.25678110122680664","0.002407896332982655","JG075D_001","false"
"1","A1","2","FAM","0.25602826476097107","0.001182642535886895","JG075D_001","false"
"1","A1","3","FAM","0.25637519359588623","0.0010571540395418674","JG075D_001","false"
"1","A1","4","FAM","0.2559874355792999","1.9697869169537502E-4","JG075D_001","false"
"1","A1","5","FAM","0.2563146948814392","5.1820662574468546E-5","JG075D_001","false"
"1","A1","6","FAM","0.2564651668071747","-2.70124742950191E-4","JG075D_001","false"
"1","A1","7","FAM","0.25666120648384094","-5.465023975441199E-4","JG075D_001","false"
"1","A1","8","FAM","0.25747379660606384","-2.0632960658140825E-4","JG075D_001","false"
"1","A1","9","FAM","0.25780126452445984","-3.5127901944560086E-4","JG075D_001","false"
"1","A1","10","FAM","0.25887632369995117","2.5136282478554345E-4","JG075D_001","false"
"1","A1","11","FAM","0.2602839469909668","0.0011865687845409797","JG075D_001","false"
"1","A1","12","FAM","0.2600890100002289","5.19214462542876E-4","JG075D_001","false"
"1","A1","13","FAM","0.2599905729293823","-5.163993956387031E-5","JG075D_001","false"
"1","A1","14","FAM","0.25983449816703796","-6.801320331684194E-4","JG075D_001","false"
"1","A1","15","FAM","0.26024195551872253","-7.450920127440377E-4","JG075D_001","false"
"1","A1","16","FAM","0.2619284391403198","4.689742775930636E-4","JG075D_001","false"
"1","A1","17","FAM","0.26206129789352417","1.294156995372761E-4","JG075D_001","false"
"1","A1","18","FAM","0.26212891936302185","-2.7538016222523193E-4","JG075D_001","false"
"1","A1","19","FAM","0.26266491413116455","-2.1180272534272043E-4","JG075D_001","false"
"1","A1","20","FAM","0.2626005709171295","-7.485632706379433E-4","JG075D_001","false"
"1","A1","21","FAM","0.26259827613830566","-0.0012232753807219846","JG075D_001","false"
"1","A1","22","FAM","0.2632715702056885","-0.0010223986445993608","JG075D_001","false"
"1","A1","23","FAM","0.2635948956012726","-0.001171490580275443","JG075D_001","false"
"1","A1","24","FAM","0.26506978273391724","-1.6902077889097838E-4","JG075D_001","false"
"1","A1","25","FAM","0.26576724648475647","5.6025640688066314E-5","JG075D_001","false"
