,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,Reaction,Blocker,Blocker μM,Configuration,WellName,lg10_Blocker,Cycle,Fluorescence,Corr_Fluorescence
23040,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,1,0.0007222275359842177,0.015534133650362492
23041,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,1,0.0013999284736818617,0.0010849052341654897
23042,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,2,0.000774465996514667,0.014846613630652428
23043,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,2,0.0008912717411342012,0.0011979752453044057
23044,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,3,-0.00037986529502986416,0.013225684873759747
23045,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,3,0.0004371021353991832,0.0012643896043300629
23046,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,4,-0.0001817752035493549,0.012650996446609497
23047,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,4,0.0001596719930653776,0.001179467886686325
23048,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,5,0.00016436238337253845,0.012190837413072586
23049,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,5,0.0001849751813073393,0.0008353255107067525
23050,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,6,-0.0005455182303402862,0.010913738049566746
23051,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,6,0.00023041302484225125,0.00047394249122589827
23052,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,7,-0.0008042064769936544,0.009985683485865593
23053,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,7,0.00021395029026391853,0.00016556288755964488
23054,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,8,-0.0003015846521110787,0.0096465814858675
23055,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,8,-2.65170103739265e-05,4.8991052608471364e-05
23056,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,9,0.0006598958035813659,0.009662455879151821
23057,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,9,-0.00033584587626173194,-8.616896593593992e-06
23058,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,10,0.0013886916710703341,0.009498324245214462
23059,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,10,-0.0008637497382424115,0.00012093374243704602
23060,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,11,0.0012739673823832557,0.008681640960276127
23061,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,11,-0.0007868308303817026,-0.00026740547036752105
23062,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,12,0.0008179980469567082,0.007600968237966299
23063,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,12,-0.0009092571916486905,-0.00048505188897252083
23064,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,13,0.0015110822235078248,0.007409209385514259
23065,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,13,-1.9817060254837605e-05,-0.0015691263834014535
23066,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,14,0.002020792453064149,0.007075591944158077
23067,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,14,-2.5925326467305663e-05,-0.00188637210521847
23068,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,15,0.002090251114079193,0.006401393096894026
23069,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,15,-0.0011564418448734663,-0.0012408241163939238
23070,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,16,0.0025796977520138238,0.006052099633961916
23071,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,16,-0.0016650985774211268,-0.0011277541052550077
23072,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,17,0.0028521390446918015,0.005534929223358631
23073,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,17,-0.0020167154401644805,-0.0011491522891446948
23074,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,18,0.004503390618229155,0.0060844141989946365
23075,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,18,-0.002785800103964518,-0.0008130864007398486
23076,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,19,0.0054109375600996015,0.006058564875274897
23077,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,19,-0.00317688576377305,-0.0008006886928342283
23078,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,20,0.005246209199311842,0.005203198175877333
23079,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,20,-0.003137817223468233,-0.0011566178873181343
23080,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,21,0.005829461627358304,0.004926472902297974
23081,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,21,-0.004483515256738119,-0.0003268169821240008
23082,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,22,0.005854694807039311,0.004218061454594135
23083,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,22,-0.00722081903344453,0.0016945701790973544
23084,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,23,0.007278000236801834,0.00459120562300086
23085,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,23,-0.011514147069756694,0.005048329941928387
23086,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,24,0.008476094722419072,0.004790125880390406
23087,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,24,-0.017742838359689934,0.010059277527034283
23088,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,25,0.009216370723564437,0.004634874872863293
23089,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,25,-0.028297348093395958,0.018774280324578285
23090,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,26,0.00951088623297099,0.004134781658649445
23091,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,26,-0.0450414805767304,0.03278925642371178
23092,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,27,0.010324396241098939,0.00403618486598134
23093,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,27,-0.06740189410417767,0.05161326751112938
23094,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,28,0.011201701891290623,0.003986941184848547
23095,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,28,-0.10029027860187224,0.0794520303606987
23096,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,29,0.01078964984569056,0.002940243110060692
23097,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,29,-0.1409908223408923,0.11398009210824966
23098,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,30,0.009748771552864445,0.0014070819597691298
23099,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,30,-0.18788737553523874,0.15381360054016113
23100,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,31,0.007532412326287887,-0.0010354374535381794
23101,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,31,-0.23978087334567655,0.19792582094669342
23102,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,32,0.005682531326131805,-0.003194447373971343
23103,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,32,-0.29238522716251575,0.242646723985672
23104,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,33,0.004545998094148533,-0.004801607690751553
23105,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,33,-0.34521511696258456,0.28756073117256165
23106,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,34,0.003794896866300324,-0.006110596004873514
23107,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,34,-0.3973017125561949,0.33183830976486206
23108,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,35,0.0033338808949375754,-0.007195172365754843
23109,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,35,-0.4478576218833771,0.37480518221855164
23110,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,36,0.0023479762622714544,-0.008685805834829807
23111,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,36,-0.49499589535604593,0.41484567523002625
23112,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,37,0.0012832131276098839,-0.010237444192171097
23113,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,37,-0.5386080807946114,0.45186686515808105
23114,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,38,0.00047902591258545165,-0.011587499640882015
23115,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,38,-0.5809609540502737,0.48780977725982666
23116,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,39,-0.00021559922150343644,-0.012852798216044903
23117,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,39,-0.6175167868283505,0.5187888741493225
23118,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,40,-0.0011590889979424003,-0.014310618862509727
23119,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,40,-0.652449108576531,0.5483777523040771
23120,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,41,-0.001457418377254937,-0.015269340015947819
23121,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,41,-0.6833907660091039,0.5745496153831482
23122,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,42,-0.0010166659975138818,-0.015656303614377975
23123,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,HEX,JG075B_193,STANDARD,,257,L-MMMMx,3.1622776601683795,2+2,I1,0.5,42,-0.7101934204901855,0.5971773862838745
