,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,Reaction,Blocker,Blocker μM,Configuration,WellName,lg10_Blocker,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
0,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,50,-0.40986494048924316,0.30128711462020874,0.3123364960561982
4,JG075B,3,S075_WT,8.0,False,A3,100000000.0,FAM,JG075B_003,STANDARD,,4,L-MMMMx,1.0,2+2,A3,0.0,50,-0.37055795002566355,0.2745470702648163,0.3582326655804367
12,JG075B,7,S075_WT,8.0,False,A7,100000000.0,FAM,JG075B_007,STANDARD,,12,L-MMMMx,0.1,2+2,A7,-1.0,50,-0.11310453524871145,-0.009534631855785847,0.7404969799754623
14,JG075B,8,S075_WT,8.0,False,A8,100000000.0,FAM,JG075B_008,STANDARD,,14,L-MMMMx,0.0,2+2,A8,-2.0,50,0.016077551577383727,-0.01756848208606243,0.8755054543658497
32,JG075B,25,S075_WT,7.0,False,B1,10000000.0,FAM,JG075B_025,STANDARD,,32,L-MMMMx,3.1622776601683795,2+2,B1,0.5,50,-0.6213973776153164,0.461809903383255,0.04218519034569834
36,JG075B,27,S075_WT,7.0,False,B3,10000000.0,FAM,JG075B_027,STANDARD,,36,L-MMMMx,1.0,2+2,B3,0.0,50,-0.5611562671194513,0.41229066252708435,0.11188823578737528
44,JG075B,31,S075_WT,7.0,False,B7,10000000.0,FAM,JG075B_031,STANDARD,,44,L-MMMMx,0.1,2+2,B7,-1.0,50,-0.3278586378525264,0.2305314987897873,0.46102471354692515
46,JG075B,32,S075_WT,7.0,False,B8,10000000.0,FAM,JG075B_032,STANDARD,,46,L-MMMMx,0.0,2+2,B8,-2.0,50,-0.1014639301267251,-0.00707192812114954,0.7358209790415835
64,JG075B,49,S075_WT,6.0,False,C1,1000000.0,FAM,JG075B_049,STANDARD,,64,L-MMMMx,3.1622776601683795,2+2,C1,0.5,50,-0.7778656088795752,0.5825526714324951,-0.17618239868374774
68,JG075B,51,S075_WT,6.0,False,C3,1000000.0,FAM,JG075B_051,STANDARD,,68,L-MMMMx,1.0,2+2,C3,0.0,50,-0.7133206641743685,0.5310254096984863,-0.09644703775251473
76,JG075B,55,S075_WT,6.0,False,C7,1000000.0,FAM,JG075B_055,STANDARD,,76,L-MMMMx,0.1,2+2,C7,-1.0,50,-0.5419138439805774,0.3962678611278534,0.21804971655694694
78,JG075B,56,S075_WT,6.0,False,C8,1000000.0,FAM,JG075B_056,STANDARD,,78,L-MMMMx,0.0,2+2,C8,-2.0,50,-0.27848292008082565,0.1890297532081604,0.53871216690231
96,JG075B,73,S075_WT,5.0,False,D1,100000.0,FAM,JG075B_073,STANDARD,,96,L-MMMMx,3.1622776601683795,2+2,D1,0.5,50,-0.8828151368018161,0.6636770367622375,-0.3300964716119954
100,JG075B,75,S075_WT,5.0,False,D3,100000.0,FAM,JG075B_075,STANDARD,,100,L-MMMMx,1.0,2+2,D3,0.0,50,-0.7893841147864086,0.5853912830352783,-0.18768994973707465
108,JG075B,79,S075_WT,5.0,False,D7,100000.0,FAM,JG075B_079,STANDARD,,108,L-MMMMx,0.1,2+2,D7,-1.0,50,-0.6894262611789397,0.505695104598999,-0.02238925984516016
110,JG075B,80,S075_WT,5.0,False,D8,100000.0,FAM,JG075B_080,STANDARD,,110,L-MMMMx,0.0,2+2,D8,-2.0,50,-0.4345662201521491,0.3024369478225708,0.3291931949500366
128,JG075B,97,S075_WT,4.0,False,E1,10000.0,FAM,JG075B_097,STANDARD,,128,L-MMMMx,3.1622776601683795,2+2,E1,0.5,50,-0.9247987223535815,0.69486403465271,-0.37373117720888804
132,JG075B,99,S075_WT,4.0,False,E3,10000.0,FAM,JG075B_099,STANDARD,,132,L-MMMMx,1.0,2+2,E3,0.0,50,-0.878905298949675,0.6558136343955994,-0.3347851126340685
140,JG075B,103,S075_WT,4.0,False,E7,10000.0,FAM,JG075B_103,STANDARD,,140,L-MMMMx,0.1,2+2,E7,-1.0,50,-0.79919446444713,0.5862783193588257,-0.17605224070127345
142,JG075B,104,S075_WT,4.0,False,E8,10000.0,FAM,JG075B_104,STANDARD,,142,L-MMMMx,0.0,2+2,E8,-2.0,50,-0.5366300932032516,0.3830114006996155,0.19254411412494288
160,JG075B,121,S075_WT,3.0,False,F1,1000.0,FAM,JG075B_121,STANDARD,,160,L-MMMMx,3.1622776601683795,2+2,F1,0.5,50,-0.9550586716572824,0.7135834693908691,-0.39968432461555026
164,JG075B,123,S075_WT,3.0,False,F3,1000.0,FAM,JG075B_123,STANDARD,,164,L-MMMMx,1.0,2+2,F3,0.0,50,-0.9474286878258997,0.7074906826019287,-0.3761835946556429
172,JG075B,127,S075_WT,3.0,False,F7,1000.0,FAM,JG075B_127,STANDARD,,172,L-MMMMx,0.1,2+2,F7,-1.0,50,-0.8746292236457286,0.6478590369224548,-0.26516829151712606
