,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Task,Comments,CT,Reaction,WT_lg10_Copies,SNV_lg10_Copies,Blocker μM,WellName,Sample,Blocker,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
0,JG075F,1,FAM,#NAME?,FALSE,A1,0,FAM,UNKNOWN,,28.998768,0,1,-2,0,A1,JG075F_001,L-MMMMx,50,-0.817090181,0.5361329913139343,-0.276139306
2,JG075F,2,FAM,#NAME?,FALSE,A2,0,FAM,UNKNOWN,,28.94876,2,1,1,0,A2,JG075F_002,L-MMMMx,50,-0.796138944,0.5272485613822937,-0.248892023
4,JG075F,3,FAM,#NAME?,FALSE,A3,0,FAM,UNKNOWN,,28.855942,4,1,2,0,A3,JG075F_003,L-MMMMx,50,-0.75856817,0.5042809247970581,-0.187073098
6,JG075F,4,FAM,#NAME?,FALSE,A4,0,FAM,UNKNOWN,,28.817017,6,1,3,0,A4,JG075F_004,L-MMMMx,50,-0.587690407,0.40364956855773926,0.04319232
8,JG075F,5,FAM,#NAME?,FALSE,A5,0,FAM,UNKNOWN,,28.955921,8,1,4,0,A5,JG075F_005,L-MMMMx,50,-0.44199678,0.29534295201301575,0.26658504319290305
10,JG075F,6,FAM,#NAME?,FALSE,A6,0,FAM,UNKNOWN,,29.67391,10,1,5,0,A6,JG075F_006,L-MMMMx,50,-0.270970217,0.17062294483184814,0.5017722450564233
12,JG075F,7,FAM,#NAME?,FALSE,A7,0,FAM,UNKNOWN,,inf,12,1,6,0,A7,JG075F_007,L-MMMMx,50,-0.107767319,0.00226261,0.736923531
14,JG075F,8,FAM,#NAME?,FALSE,A8,0,FAM,UNKNOWN,,inf,14,1,7,0,A8,JG075F_008,L-MMMMx,50,0.019215123,-0.005303513,0.9062500416698035
16,JG075F,9,FAM,#NAME?,FALSE,A9,0,FAM,UNKNOWN,,28.981903,16,1,-2,0.1,A9,JG075F_009,L-MMMMx,50,-0.845716595,0.5551077723503113,-0.284912797
18,JG075F,10,FAM,#NAME?,FALSE,A10,0,FAM,UNKNOWN,,28.71695,18,1,1,0.1,A10,JG075F_010,L-MMMMx,50,-0.854458202,0.5549580454826355,-0.311463295
20,JG075F,11,FAM,#NAME?,FALSE,A11,0,FAM,UNKNOWN,,29.05385,20,1,2,0.1,A11,JG075F_011,L-MMMMx,50,-0.750114197,0.49443280696868896,-0.164149487
22,JG075F,12,FAM,#NAME?,FALSE,A12,0,FAM,UNKNOWN,,29.25972,22,1,3,0.1,A12,JG075F_012,L-MMMMx,50,-0.614601245,0.38729479908943176,0.042546486
24,JG075F,13,FAM,#NAME?,FALSE,A13,0,FAM,UNKNOWN,,29.09834,24,1,4,0.1,A13,JG075F_013,L-MMMMx,50,-0.458830753,0.2838056683540344,0.25879850511287184
26,JG075F,14,FAM,#NAME?,FALSE,A14,0,FAM,UNKNOWN,,29.987448,26,1,5,0.1,A14,JG075F_014,L-MMMMx,50,-0.285067319,0.17107626795768738,0.5118962454070342
28,JG075F,15,FAM,#NAME?,FALSE,A15,0,FAM,UNKNOWN,,inf,28,1,6,0.1,A15,JG075F_015,L-MMMMx,50,-0.136472674,0.003900982,0.7256427621051688
30,JG075F,16,FAM,#NAME?,FALSE,A16,0,FAM,UNKNOWN,,inf,30,1,7,0.1,A16,JG075F_016,L-MMMMx,50,-0.012336883,-0.001310756,0.8638805757204209
32,JG075F,17,FAM,#NAME?,FALSE,A17,0,FAM,UNKNOWN,,28.937487,32,1,-2,0.3162277660168379,A17,JG075F_017,L-MMMMx,50,-0.869609055,0.5669455528259277,-0.328834771
34,JG075F,18,FAM,#NAME?,FALSE,A18,0,FAM,UNKNOWN,,29.0453,34,1,1,0.3162277660168379,A18,JG075F_018,L-MMMMx,50,-0.828546046,0.5391237735748291,-0.2754811
36,JG075F,19,FAM,#NAME?,FALSE,A19,0,FAM,UNKNOWN,,28.97384,36,1,2,0.3162277660168379,A19,JG075F_019,L-MMMMx,50,-0.762696904,0.4911033511161804,-0.176063667
38,JG075F,20,FAM,#NAME?,FALSE,A20,0,FAM,UNKNOWN,,28.793407,38,1,3,0.3162277660168379,A20,JG075F_020,L-MMMMx,50,-0.614160929,0.4034348726272583,0.029063739002583633
40,JG075F,21,FAM,#NAME?,FALSE,A21,0,FAM,UNKNOWN,,28.961084,40,1,4,0.3162277660168379,A21,JG075F_021,L-MMMMx,50,-0.448394407,0.29448428750038147,0.26898084832878427
42,JG075F,22,FAM,#NAME?,FALSE,A22,0,FAM,UNKNOWN,,30.126959,42,1,5,0.3162277660168379,A22,JG075F_022,L-MMMMx,50,-0.25923744,0.16408130526542664,0.506577092
44,JG075F,23,FAM,#NAME?,FALSE,A23,0,FAM,UNKNOWN,,inf,44,1,6,0.3162277660168379,A23,JG075F_023,L-MMMMx,50,-0.139225428,0.004260933,0.7002378711547929
46,JG075F,24,FAM,#NAME?,FALSE,A24,0,FAM,UNKNOWN,,inf,46,1,7,0.3162277660168379,A24,JG075F_024,L-MMMMx,50,-0.000709198,-0.00346887,0.8688079108402834
48,JG075F,25,FAM,#NAME?,FALSE,B1,0,FAM,UNKNOWN,,29.046516,48,2,-2,0,B1,JG075F_025,L-MMMMx,50,-0.707794907,0.4608570635318756,-0.118812893
50,JG075F,26,FAM,#NAME?,FALSE,B2,0,FAM,UNKNOWN,,28.373947,50,2,1,0,B2,JG075F_026,L-MMMMx,50,-0.738758019,0.4896934926509857,-0.160510218
52,JG075F,27,FAM,#NAME?,FALSE,B3,0,FAM,UNKNOWN,,29.1019,52,2,2,0,B3,JG075F_027,L-MMMMx,50,-0.665194048,0.44830143451690674,-0.054062076
54,JG075F,28,FAM,#NAME?,FALSE,B4,0,FAM,UNKNOWN,,29.16596,54,2,3,0,B4,JG075F_028,L-MMMMx,50,-0.587288101,0.3666285574436188,0.095039042
56,JG075F,29,FAM,#NAME?,FALSE,B5,0,FAM,UNKNOWN,,29.13736,56,2,4,0,B5,JG075F_029,L-MMMMx,50,-0.447818266,0.2795747220516205,0.3016507200653298
58,JG075F,30,FAM,#NAME?,FALSE,B6,0,FAM,UNKNOWN,,29.778948,58,2,5,0,B6,JG075F_030,L-MMMMx,50,-0.274333942,0.17633873224258423,0.5499262377338002
60,JG075F,31,FAM,#NAME?,FALSE,B7,0,FAM,UNKNOWN,,inf,60,2,6,0,B7,JG075F_031,L-MMMMx,50,-0.120622774,0.004435379,0.7277617209679773
62,JG075F,32,FAM,#NAME?,FALSE,B8,0,FAM,UNKNOWN,,inf,62,2,7,0,B8,JG075F_032,L-MMMMx,50,-0.008033062,-0.001139909,0.866614053
64,JG075F,33,FAM,#NAME?,FALSE,B9,0,FAM,UNKNOWN,,28.874723,64,2,-2,0.1,B9,JG075F_033,L-MMMMx,50,-0.780122515,0.5104594826698303,-0.197408408
66,JG075F,34,FAM,#NAME?,FALSE,B10,0,FAM,UNKNOWN,,29.290007,66,2,1,0.1,B10,JG075F_034,L-MMMMx,50,-0.739445667,0.48092231154441833,-0.141926135
68,JG075F,35,FAM,#NAME?,FALSE,B11,0,FAM,UNKNOWN,,28.96427,68,2,2,0.1,B11,JG075F_035,L-MMMMx,50,-0.737972486,0.47460824251174927,-0.141040386
70,JG075F,36,FAM,#NAME?,FALSE,B12,0,FAM,UNKNOWN,,29.122551,70,2,3,0.1,B12,JG075F_036,L-MMMMx,50,-0.611997681,0.3900352418422699,0.048794076
72,JG075F,37,FAM,#NAME?,FALSE,B13,0,FAM,UNKNOWN,,29.229486,72,2,4,0.1,B13,JG075F_037,L-MMMMx,50,-0.454407057,0.277616411,0.2705790288232639
74,JG075F,38,FAM,#NAME?,FALSE,B14,0,FAM,UNKNOWN,,30.112183,74,2,5,0.1,B14,JG075F_038,L-MMMMx,50,-0.302262622,0.16518035531044006,0.49049696072485555
76,JG075F,39,FAM,#NAME?,FALSE,B15,0,FAM,UNKNOWN,,inf,76,2,6,0.1,B15,JG075F_039,L-MMMMx,50,-0.129578776,0.002597637,0.757234333
78,JG075F,40,FAM,#NAME?,FALSE,B16,0,FAM,UNKNOWN,,inf,78,2,7,0.1,B16,JG075F_040,L-MMMMx,50,-0.039145067,-0.002484303,0.8632298784204989
80,JG075F,41,FAM,#NAME?,FALSE,B17,0,FAM,UNKNOWN,,29.238516,80,2,-2,0.3162277660168379,B17,JG075F_041,L-MMMMx,50,-0.813561302,0.5319311618804932,-0.245493737
82,JG075F,42,FAM,#NAME?,FALSE,B18,0,FAM,UNKNOWN,,29.07608,82,2,1,0.3162277660168379,B18,JG075F_042,L-MMMMx,50,-0.793560682,0.5139594078063965,-0.214198591
84,JG075F,43,FAM,#NAME?,FALSE,B19,0,FAM,UNKNOWN,,28.996922,84,2,2,0.3162277660168379,B19,JG075F_043,L-MMMMx,50,-0.742580011,0.48722100257873535,-0.15768901
86,JG075F,44,FAM,#NAME?,FALSE,B20,0,FAM,UNKNOWN,,28.954283,86,2,3,0.3162277660168379,B20,JG075F_044,L-MMMMx,50,-0.649615402,0.40878334641456604,-0.016261289
88,JG075F,45,FAM,#NAME?,FALSE,B21,0,FAM,UNKNOWN,,29.053463,88,2,4,0.3162277660168379,B21,JG075F_045,L-MMMMx,50,-0.452219617,0.28789904713630676,0.25470408437699055
90,JG075F,46,FAM,#NAME?,FALSE,B22,0,FAM,UNKNOWN,,30.232214,90,2,5,0.3162277660168379,B22,JG075F_046,L-MMMMx,50,-0.270050815,0.16879917681217194,0.5407087849347527
92,JG075F,47,FAM,#NAME?,FALSE,B23,0,FAM,UNKNOWN,,inf,92,2,6,0.3162277660168379,B23,JG075F_047,L-MMMMx,50,-0.123863561,0.003729715,0.6866971613645992
