,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,Reaction,Blocker,Blocker μM,WellName,lg10_Blocker,CT,ΔCT,Cycle,Fluorescence,Corr_Fluorescence
7,JG075A,8,S075_WT,8.0,False,A8,100000000.0,EVAGREEN,JG075A_008,STANDARD,,7,L-MMMMx,3.1622776601683795,A8,0.5,17.666266626662665,7.889588958895889,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[-0.004075891058357021, -0.0045491825201485, -0.003908879393426184, -0.0013421071705982184, 0.0008853021931992206, 0.001854894634231449, 0.00404476215376955, 0.007091101161329704, 0.01037414094647806, 0.014824555938675947, 0.017526192558036724, 0.023187579737714344, 0.03166840345862222, 0.04353542446635294, 0.062141812032251914, 0.08798799563749457, 0.1256865027835805, 0.17452772655797724, 0.23542494663532804, 0.30712722692942546, 0.37992350518952006, 0.44893664446344567, 0.5037919946228189, 0.5553672224717443, 0.5961409681389331, 0.6242535341662366, 0.6434959862635383, 0.6568101297694123, 0.6689655403989534, 0.6740997454049189, 0.6837581279709818, 0.6926655635584731, 0.6950640580424435, 0.6992314229419999, 0.7031787111650918, 0.705720767423004, 0.7078112206159551, 0.7117981424576199, 0.7148251600761257, 0.7177132398428565, 0.7223051248346828, 0.7248050153261689, 0.7235833090336591, 0.7265712435005166, 0.731083751161812, 0.7357829772039398, 0.7383007028237839]","[0.17824041843414307, 0.1313180774450302, 0.08680734783411026, 0.0464685782790184, 0.005394885782152414, -0.0384027399122715, -0.07955773174762726, -0.11885794997215271, -0.1576455682516098, -0.19390511512756348, -0.23395180702209473, -0.26758888363838196, -0.29512014985084534, -0.3153182566165924, -0.3209215998649597, -0.31084638833999634, -0.27510377764701843, -0.21523043513298035, -0.12924860417842865, -0.019867300987243652, 0.09188316762447357, 0.1954408586025238, 0.2683384120464325, 0.33413249254226685, 0.3765348792076111, 0.39151814579963684, 0.3872922956943512, 0.3702280819416046, 0.3506544828414917, 0.315875768661499, 0.29089459776878357, 0.26428720355033875, 0.22358401119709015, 0.18671149015426636, 0.14936237037181854, 0.10897008329629898, 0.06759979575872421, 0.03033651039004326, -0.009005547501146793, -0.048648491501808167, -0.08460167050361633, -0.1250852793455124, -0.17362837493419647, -0.2130550742149353, -0.2491801530122757, -0.28490087389945984, -0.32534584403038025]"
8,JG075A,9,S075_WT,8.0,False,A9,100000000.0,EVAGREEN,JG075A_009,STANDARD,,8,L-MMMMx,1.7782794100389228,A9,0.25,17.077407740774078,7.300730073007301,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[-0.0067040885091364365, -0.005730450136208224, -0.004549946293006415, -0.0024531902537684174, 0.0006859024305908342, 0.003657598123172011, 0.0064634381313640596, 0.008630736506992588, 0.012162807528840717, 0.017038072893463197, 0.024312273115595865, 0.03246666995020187, 0.04329694155209626, 0.060010493550984104, 0.08335073152856973, 0.11649594141424559, 0.16283694441700136, 0.2228007377302677, 0.2923391325436693, 0.3702431383506549, 0.4461643072484535, 0.5153992846930024, 0.5760829786502917, 0.6249364778371076, 0.6652709508984467, 0.6955764670600662, 0.7162009214183281, 0.7297003520910305, 0.7406525521167291, 0.751716827208281, 0.757107769987891, 0.7603049919794905, 0.767396657369418, 0.7715867015062688, 0.7751656172634024, 0.7785087129900272, 0.7823986425595733, 0.7841136773099309, 0.7859188785425419, 0.7904196062116504, 0.7930452233487206, 0.7968768034242566, 0.8022502413556635, 0.8026995324595414, 0.8043285842762729, 0.8077930029130848, 0.81382722134081]","[0.152790829539299, 0.10572558641433716, 0.059108324348926544, 0.014475304633378983, -0.02790042757987976, -0.07063867896795273, -0.1137361004948616, -0.15821635723114014, -0.19974105060100555, -0.23835691809654236, -0.2717776596546173, -0.3032922148704529, -0.3290119171142578, -0.34199076890945435, -0.3406188189983368, -0.3180132210254669, -0.26683077216148376, -0.18614675104618073, -0.084727942943573, 0.03480745479464531, 0.15004882216453552, 0.25081053376197815, 0.3330535888671875, 0.38967710733413696, 0.4278517961502075, 0.44430777430534363, 0.43979838490486145, 0.41985902190208435, 0.3944033980369568, 0.3691904544830322, 0.33169132471084595, 0.2894414961338043, 0.255625456571579, 0.21552567183971405, 0.17410242557525635, 0.1321684718132019, 0.09141875803470612, 0.04595908522605896, 0.0006946719950065017, -0.03873229771852493, -0.08222001791000366, -0.12309609353542328, -0.1606331169605255, -0.20883390307426453, -0.2544797658920288, -0.29615098237991333, -0.3322570323944092]"
9,JG075A,10,S075_WT,8.0,False,A10,100000000.0,EVAGREEN,JG075A_010,STANDARD,,9,L-MMMMx,1.0,A10,0.0,16.420342034203422,6.643664366436646,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[-0.0075953770301409405, -0.005981270390413024, -0.0043631453421353545, -0.0021239009394585055, 0.0010127696904324017, 0.003838206321141055, 0.0060324225293836835, 0.009180295161190684, 0.014528851987604641, 0.02165943538910298, 0.02913130828386803, 0.0395542618848871, 0.0543432989452517, 0.07580754564371966, 0.10701169905978736, 0.14906046374113588, 0.2038899970017443, 0.2712997362176259, 0.34738252220449395, 0.42744656022370314, 0.5047470891412238, 0.5761647229885983, 0.6375533999362532, 0.6868482635032324, 0.7266990963245971, 0.7554192677433001, 0.776741714161985, 0.7911289378907206, 0.8035264438737112, 0.8124817700836446, 0.8213685081147701, 0.8273714600211768, 0.8310860108285376, 0.8319840425693688, 0.837553116445787, 0.8414627527312345, 0.8461103449758326, 0.8522044542049569, 0.8545237915451666, 0.8556773500324081, 0.8595705824035018, 0.8640610713878123, 0.8659498334995812, 0.8696160533109601, 0.8740152748791681, 0.8785590490617821]","[0.16385215520858765, 0.11321809887886047, 0.0625927522778511, 0.013312498107552528, -0.03402428701519966, -0.08203507959842682, -0.13141284883022308, -0.17872536182403564, -0.2212720811367035, -0.2599596381187439, -0.29790809750556946, -0.32946568727493286, -0.3515680730342865, -0.3592146039009094, -0.3457683324813843, -0.308836966753006, -0.24422752857208252, -0.15237435698509216, -0.041738808155059814, 0.07751855999231339, 0.1907912641763687, 0.2913239300251007, 0.37013787031173706, 0.4227614402770996, 0.45493295788764954, 0.4629998803138733, 0.45504626631736755, 0.432073712348938, 0.4047922194004059, 0.3700563311576843, 0.3351719081401825, 0.2940423786640167, 0.2479570358991623, 0.19577226042747498, 0.15370309352874756, 0.10804024338722229, 0.0639755129814148, 0.023043371737003326, -0.026063432916998863, -0.0776948481798172, -0.1233932226896286, -0.16779817640781403, -0.21783742308616638, -0.2640274167060852, -0.3086300194263458, -0.3529195785522461]"
10,JG075A,11,S075_WT,8.0,False,A11,100000000.0,EVAGREEN,JG075A_011,STANDARD,,10,L-MMMMx,0.5623413251903491,A11,-0.25,13.579057905790581,3.8023802380238045,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]","[-0.013439801343092507, -0.010795165573776515, -0.007534612362499039, -0.004075643348240941, -0.0004018821399946657, 0.004483759526156971, 0.011335448860294702, 0.020427896381151996, 0.03310713133616502, 0.050423334524130906, 0.0739108499273996, 0.10536422724359068, 0.14644634448195373, 0.1974960966046333, 0.2574826792485791, 0.3258418638160517, 0.3971575511889858, 0.46833947509923646, 0.5363046904887558, 0.5974579327327492, 0.6525693601054574, 0.6988298848438331, 0.7346546025784999, 0.7643900551929791, 0.788604654833637, 0.8062099082037228, 0.8183079601797181, 0.8306311531278845, 0.8390912792924266, 0.8461587241376705, 0.8527091704473079, 0.8578587885271629, 0.8613768226424331, 0.8672814611561019, 0.8700197038259502, 0.8745230737362969, 0.879997137021525, 0.8841026294387537, 0.8887432858001015, 0.8932158295626693, 0.8975595640648751, 0.9042155899306553]","[0.09495454281568527, 0.04151223227381706, -0.010596239939332008, -0.06227502226829529, -0.11348865181207657, -0.16207782924175262, -0.20640932023525238, -0.24588823318481445, -0.277599573135376, -0.29926908016204834, -0.30757400393486023, -0.2986280024051666, -0.26882997155189514, -0.21744601428508759, -0.1467084139585495, -0.05783909186720848, 0.037432849407196045, 0.13241510093212128, 0.22043125331401825, 0.2936953604221344, 0.3538753092288971, 0.3948877155780792, 0.4133003056049347, 0.41852593421936035, 0.41179561614990234, 0.39075207710266113, 0.35778212547302246, 0.3252997100353241, 0.2844514548778534, 0.24058720469474792, 0.19560332596302032, 0.14758582413196564, 0.0960349515080452, 0.04965251684188843, -0.003587073413655162, -0.053004100918769836, -0.10031899064779282, -0.15059766173362732, -0.19971737265586853, -0.24920116364955902, -0.29896390438079834, -0.34371912479400635]"
11,JG075A,12,S075_WT,8.0,False,A12,100000000.0,EVAGREEN,JG075A_012,STANDARD,,11,L-MMMMx,0.3162277660168379,A12,-0.5000000000000001,13.644664466446645,3.867986798679869,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]","[-0.011559678121621897, -0.009774376268336002, -0.00730386694895161, -0.0041463611459636954, 0.00031804946779275136, 0.004393183634128416, 0.01015280163650514, 0.017920247746446898, 0.02904921646331524, 0.04423313097205867, 0.06528207789924427, 0.09563479659965021, 0.1367904011724505, 0.1882482419496999, 0.2508733501800983, 0.32232172760521305, 0.3962326463409782, 0.47077698736690793, 0.5416336403713984, 0.6046787823886309, 0.6600055524222519, 0.7058520709866183, 0.7440882742246766, 0.775552523262629, 0.7979789861453392, 0.8164019030852612, 0.8306353263552568, 0.840730669566086, 0.8487015407280225, 0.8554175674885868, 0.8622448986613098, 0.8677500082810868, 0.8720294482464965, 0.8759409561194879, 0.880074962723412, 0.8841412618956075, 0.8876340846257299, 0.8913099926549822, 0.8935150530616399, 0.8978511911202859, 0.9028439261266231, 0.9092789945688594]","[0.10605620592832565, 0.0500728115439415, -0.004426694940775633, -0.0574384406208992, -0.10761994868516922, -0.15864446759223938, -0.20602107048034668, -0.24904951453208923, -0.2847982347011566, -0.31176555156707764, -0.32603153586387634, -0.3201492428779602, -0.290872186422348, -0.23928457498550415, -0.16351309418678284, -0.06863391399383545, 0.03157815337181091, 0.13316196203231812, 0.22675970196723938, 0.30344080924987793, 0.3634069859981537, 0.4028427004814148, 0.4257974922657013, 0.4340869188308716, 0.4228040874004364, 0.4028511643409729, 0.37382546067237854, 0.33583831787109375, 0.2932504117488861, 0.24794501066207886, 0.2028806507587433, 0.15495288372039795, 0.10437081009149551, 0.05299193412065506, 0.0020949013996869326, -0.048948757350444794, -0.10123433917760849, -0.1531234234571457, -0.20819778740406036, -0.2586570978164673, -0.3076944649219513, -0.35360831022262573]"
12,JG075A,13,S075_WT,8.0,False,A13,100000000.0,EVAGREEN,JG075A_013,STANDARD,,12,L-MMMMx,0.1778279410038923,A13,-0.75,12.735373537353736,2.9586958695869594,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]","[-0.013879154798771793, -0.01099132274215704, -0.008164372327405672, -0.005428909515526766, -0.0009580446770791063, 0.004787426325334788, 0.012222583076227434, 0.022411794659378155, 0.038258856672215784, 0.06051512894350548, 0.09315528542583908, 0.13768888532828533, 0.1945316687956663, 0.2626657674376603, 0.338600175064996, 0.4157866472357347, 0.48994967982297755, 0.5579037207339271, 0.6183115757152874, 0.6669982834239423, 0.707589384165541, 0.7389468976668088, 0.7647180526302252, 0.7837699881249146, 0.7992236864734161, 0.8113698492586235, 0.8213484934814326, 0.8293771636704546, 0.8351437450794278, 0.8396245458458649, 0.843094469151923, 0.8475030486578495, 0.8518233332690663, 0.8541184500645925, 0.8569436665085313, 0.8595535402915573, 0.8628717549131891, 0.866773574568307, 0.8706122006204781, 0.8754713923509015]","[0.055515218526124954, 0.001846536761149764, -0.0519539900124073, -0.10595264285802841, -0.1561931073665619, -0.20367327332496643, -0.24749425053596497, -0.285351037979126, -0.3109551668167114, -0.3226794898509979, -0.31191644072532654, -0.2753969132900238, -0.21222059428691864, -0.12459176033735275, -0.020070545375347137, 0.08716214448213577, 0.18784725666046143, 0.2750861644744873, 0.34598302841186523, 0.39149653911590576, 0.419478178024292, 0.4274635314941406, 0.4233510494232178, 0.40468737483024597, 0.37823137640953064, 0.34461256861686707, 0.30629977583885193, 0.2637641131877899, 0.2163296639919281, 0.16611072421073914, 0.11370261758565903, 0.06332727521657944, 0.012760716490447521, -0.04219155013561249, -0.09599582850933075, -0.15026645362377167, -0.20300310850143433, -0.2544758915901184, -0.3060855269432068, -0.3554850220680237]"
13,JG075A,14,S075_WT,8.0,False,A14,100000000.0,EVAGREEN,JG075A_014,STANDARD,,13,L-MMMMx,0.1,A14,-1.0,11.42874287428743,1.6520652065206534,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]","[-0.01728432255198448, -0.015639169577707786, -0.012729057372318888, -0.008598821466828388, -0.003190772927535722, 0.005110392150848084, 0.017085263390785702, 0.03524648835474147, 0.06384405702765779, 0.10491656861818614, 0.1616238821754172, 0.23406645791309486, 0.31784628529024533, 0.40663225154334753, 0.4932777822067429, 0.5715619404718737, 0.6402601576182221, 0.6974819100398603, 0.7402595754994493, 0.7723000533140978, 0.7989735336603575, 0.8190288052185586, 0.8312125098480253, 0.8414962228404608, 0.851449765771507, 0.8589453637907233, 0.8639156397465358, 0.8678958458917202, 0.8720250083867076, 0.8738029064598574, 0.876274392858033, 0.8797552154091987, 0.8811351258958453, 0.8831680002484807, 0.88739712753698, 0.8903258317627479, 0.8913492598690084, 0.8939395370295178, 0.8981947564502442, 0.9019055640825175]","[-0.07540760189294815, -0.13132698833942413, -0.18450698256492615, -0.2350446730852127, -0.2828151285648346, -0.3243202567100525, -0.35786956548690796, -0.3780216872692108, -0.3755728602409363, -0.34610822796821594, -0.2827848494052887, -0.18538512289524078, -0.06343340128660202, 0.06935962289571762, 0.19751732051372528, 0.3075675964355469, 0.3968585133552551, 0.4612959921360016, 0.4944532811641693, 0.5043581128120422, 0.5026401281356812, 0.4865897595882416, 0.4534927010536194, 0.41628098487854004, 0.3783542811870575, 0.3351046144962311, 0.2863861322402954, 0.2355235368013382, 0.1849835216999054, 0.12935160100460052, 0.0752217173576355, 0.023277655243873596, -0.033216144889593124, -0.08829589188098907, -0.13861942291259766, -0.1917591542005539, -0.24902495741844177, -0.302897572517395, -0.3531646132469177, -0.40461060404777527]"
22,JG075A,32,S075_WT,7.0,False,B8,10000000.0,EVAGREEN,JG075A_032,STANDARD,,22,L-MMMMx,3.1622776601683795,B8,0.5,21.499549954995498,8.546554655465545,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]","[-0.003910207394881839, -0.0030759197239221213, -0.001973334473900801, -0.0005562124231494847, 0.0006905401144307891, 0.002168874087200264, 0.0026558171287224103, 0.004000442685500783, 0.007302803859703431, 0.009919833712749541, 0.01069984534494136, 0.011526261338878957, 0.012848262705055295, 0.01565845140195187, 0.018987455175306308, 0.02496932419849986, 0.03214328439365855, 0.04385232139402226, 0.06321053668557232, 0.09241313731701568, 0.13655012580027054, 0.1959816726441182, 0.2709375427428966, 0.3532038337874479, 0.43195407239765765, 0.49679489256970527, 0.5524985122599236, 0.5945640937058194, 0.6214035398298532, 0.6428759334388056, 0.6592773156447392, 0.6715031860406322, 0.6766041428443504, 0.6843268635166665, 0.6886316249606089, 0.6924382138377669, 0.6943329209923218, 0.7002928263852228, 0.7024245645975207, 0.7038663475664951, 0.7072947656664366, 0.7109089113067462, 0.7138230832057041, 0.7139305343493907, 0.7186895410995326, 0.7208448392962044, 0.7237769564169051, 0.7248877986707958, 0.7285675599685204, 0.7318183974385783, 0.7334681468116756, 0.739042835450725]","[0.002451722975820303, 0.0009613152360543609, 5.193359174882062e-05, -0.00017628617933951318, -0.0007734586833976209, -0.0008691177354194224, -0.003111736150458455, -0.0034969544503837824, 0.00035750551614910364, 0.002727809827774763, 0.0011198617285117507, -0.0003875928814522922, -0.0008218063157983124, 0.0019668033346533775, 0.0058789607137441635, 0.01553617138415575, 0.027774978429079056, 0.0498349629342556, 0.0884600281715393, 0.14840413630008698, 0.2406901866197586, 0.36609819531440735, 0.5251256823539734, 0.6999847292900085, 0.8672293424606323, 1.0043516159057617, 1.1216864585876465, 1.2094866037368774, 1.2643131017684937, 1.3075166940689087, 1.339738368988037, 1.3629176616668701, 1.3706670999526978, 1.3840943574905396, 1.3901195526123047, 1.3950660228729248, 1.3958719968795776, 1.4054816961288452, 1.4068011045455933, 1.4066262245178223, 1.4107537269592285, 1.4152833223342896, 1.4182971715927124, 1.4152326583862305, 1.4222416877746582, 1.4236119985580444, 1.4266647100448608, 1.4257732629776, 1.4304449558258057, 1.434187889099121, 1.434463381767273, 1.4432388544082642]"
23,JG075A,33,S075_WT,7.0,False,B9,10000000.0,EVAGREEN,JG075A_033,STANDARD,,23,L-MMMMx,1.7782794100389228,B9,0.25,20.836783678367837,7.883788378837885,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]","[-0.006026972906829909, -0.004405352393580878, -0.0033496118788450373, -0.0012035615265069848, 0.0010253340979869384, 0.0028172140310220866, 0.00446327527572441, 0.0066796753010293745, 0.009140042267327574, 0.011341799872437547, 0.013632237699104403, 0.01642508668787533, 0.01922327520581511, 0.021902287634573855, 0.026570687528922738, 0.03258415335358969, 0.042866214945251314, 0.0586694597908889, 0.08450331293701999, 0.12233002382985078, 0.17660942044599023, 0.24953786581468698, 0.3339966666200146, 0.42291969913734817, 0.5047621306499391, 0.5716601558126906, 0.6276492476500188, 0.6671477816396244, 0.6929701850737233, 0.7149511000276431, 0.7314667591671287, 0.7422454520181858, 0.7535778045020295, 0.7605835970517156, 0.7618391020133974, 0.7673401381779322, 0.7705124790645387, 0.7726328776581893, 0.7770333102536313, 0.7797930211335399, 0.7825097955933279, 0.7857666881995566, 0.7888548076466957, 0.7898874835972898, 0.7906553849571399, 0.7948727322534521, 0.7964433244827885, 0.7968061922795004, 0.8005512389544855, 0.8036053395456828, 0.8043306347655671]","[0.0030124664772301912, 0.0018713694298639894, -0.0004951990558765829, -0.0005005891434848309, -0.00032656925031915307, -0.0010989519068971276, -0.0021871200297027826, -0.0020401605870574713, -0.0013648656895384192, -0.0012496159179136157, -0.0009423200972378254, 0.0004529989673756063, 0.0018598813330754638, 0.003008675528690219, 0.008465693332254887, 0.016835590824484825, 0.03444957360625267, 0.06402024626731873, 0.11531323194503784, 0.19257798790931702, 0.305472731590271, 0.45875394344329834, 0.6370052695274353, 0.8249244093894958, 0.9975097179412842, 1.1377314329147339, 1.254328727722168, 1.3352140188217163, 1.3864821195602417, 1.4294312000274658, 1.4605447053909302, 1.479234218597412, 1.4991227388381958, 1.5096415281295776, 1.5077075958251953, 1.5149677991867065, 1.5171849727630615, 1.5171239376068115, 1.5220006704330444, 1.5233242511749268, 1.5245548486709595, 1.5269551277160645, 1.5289897918701172, 1.5265733003616333, 1.5235834121704102, 1.5280636548995972, 1.526811957359314, 1.5229449272155762, 1.5264023542404175, 1.5283634662628174, 1.525281310081482]"
24,JG075A,34,S075_WT,7.0,False,B10,10000000.0,EVAGREEN,JG075A_034,STANDARD,,24,L-MMMMx,1.0,B10,0.0,20.256725672567256,7.303730373037304,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]","[-0.007474845416158018, -0.005812132546985827, -0.003557089743572277, -0.00152996777029918, 0.0012195869948500929, 0.0037881757585293166, 0.005830958515807959, 0.007535314207827934, 0.009513417101463289, 0.012194356164458214, 0.014619658387657882, 0.0171502924568843, 0.020959358435203086, 0.026451311895481524, 0.03257833904669835, 0.04141399374721868, 0.056176856105317426, 0.0769821113249721, 0.10882117329190079, 0.15667725393464468, 0.22123205149265782, 0.30183884989954596, 0.393095366757052, 0.48550698340918835, 0.5702286872177162, 0.6406001586748433, 0.6934547817499792, 0.7356064562228861, 0.7648340480527074, 0.786047281833547, 0.8020006940562219, 0.8139054220482893, 0.8225433490294849, 0.8274960100437094, 0.8329520180138099, 0.8362558104020166, 0.8395734745567238, 0.8441289186381399, 0.8453697811796267, 0.849933592358297, 0.8535570959363252, 0.8566583164962703, 0.8572074623002749, 0.8595904336169711, 0.8638006248432631, 0.8664622425172038, 0.8695201963768735, 0.8688508285965311, 0.8708055366458699, 0.8738758209646512, 0.8774682782081306]","[0.2761825621128082, 0.22732773423194885, 0.17975567281246185, 0.13169001042842865, 0.0851888582110405, 0.03829580545425415, -0.009735936298966408, -0.05850057676434517, -0.10667238384485245, -0.15332213044166565, -0.20052549242973328, -0.2475007325410843, -0.2917073965072632, -0.3322696089744568, -0.371456503868103, -0.4047775864601135, -0.4252626895904541, -0.43266233801841736, -0.41616716980934143, -0.36498549580574036, -0.27764102816581726, -0.1555342823266983, -0.010364477522671223, 0.137306809425354, 0.2683247923851013, 0.36826589703559875, 0.4302724301815033, 0.46910062432289124, 0.47994038462638855, 0.4734242260456085, 0.45551741123199463, 0.4288427233695984, 0.3950934410095215, 0.3533633351325989, 0.312723308801651, 0.2674224078655243, 0.22215154767036438, 0.17956122756004333, 0.12979285418987274, 0.08722066134214401, 0.04261213168501854, -0.0031274515204131603, -0.054393816739320755, -0.10168884694576263, -0.14502683281898499, -0.1917184293270111, -0.2375517040491104, -0.2914568781852722, -0.3396793603897095, -0.3854859471321106, -0.430161714553833]"
