# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075A EGFR Blocker Stoichiometry.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-28 09:18:02 AM EDT
# Run End Date/Time: 2022-04-28 11:14:02 AM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:34:39 PM EDT
"Well","Well Position","Cycle Number","EVAGREEN","ROX"
"1","A1","1","292885.53","164151.45"
"1","A1","2","290721.75","162808.4"
"1","A1","3","287353.66","160780.5"
"1","A1","4","286000.1","159896.64"
"1","A1","5","285471.7","159409.42"
"1","A1","6","285311.25","158619.45"
"1","A1","7","285155.12","158272.11"
"1","A1","8","285390.78","158037.81"
"1","A1","9","286636.97","157931.7"
"1","A1","10","287916.72","158134.8"
"1","A1","11","290398.06","158186.98"
"1","A1","12","293596.25","157849.73"
"1","A1","13","297611.53","157757.4"
"1","A1","14","303586.12","158096.48"
"1","A1","15","312136.56","158077.98"
"1","A1","16","323428.5","158061.08"
"1","A1","17","337984.2","158043.67"
"1","A1","18","355759.12","157910.92"
"1","A1","19","375476.44","157869.64"
"1","A1","20","397147.1","158100.8"
"1","A1","21","418137.34","158131.52"
"1","A1","22","437983.16","157936.86"
"1","A1","23","455692.8","157801.31"
"1","A1","24","471047.25","157863.64"
"1","A1","25","483356.44","157912.72"
"1","A1","26","491724.34","157824.33"
"1","A1","27","498495.22","157850.69"
"1","A1","28","504477.6","157970.45"
"1","A1","29","508692.2","158261.62"
"1","A1","30","511677.3","158428.23"
"1","A1","31","513841.1","158272.69"
"1","A1","32","515975.78","158139.58"
"1","A1","33","517523.6","158237.3"
"1","A1","34","519253.56","158299.16"
"1","A1","35","520967.47","158319.14"
"1","A1","36","521199.97","158502.83"
"1","A1","37","522196.72","158507.36"
"1","A1","38","523797.66","158399.3"
"1","A1","39","525186.44","158466.23"
"1","A1","40","526002.75","158457.39"
"1","A1","41","526401.3","158404.67"
"1","A1","42","527438.06","158647.12"
"1","A1","43","528883.94","158630.92"
"1","A1","44","530456.9","158776.98"
"1","A1","45","531211.06","158806.58"
"1","A1","46","532847.94","158691.98"
"1","A1","47","535120.4","158715.05"
"1","A1","48","537811.7","158678.14"
"1","A1","49","541290.3","158675.88"
"1","A1","50","545923.56","158615.38"
"1","A1","51","552714.5","158678.92"
"1","A1","52","562588.6","158839.95"
"1","A1","53","576800.75","158887.97"
"1","A1","54","595030.94","158906.11"
"1","A1","55","617965.1","158816.33"
"1","A1","56","644955.5","158861.47"
"1","A1","57","673517.44","158982.33"
"1","A1","58","704002.7","159096.22"
