# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075A EGFR Blocker Stoichiometry.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-28 09:18:02 AM EDT
# Run End Date/Time: 2022-04-28 11:14:02 AM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:34:39 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","JG075A_001","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Amp","56.82155523094502","56.82155523094502","0.3623648700435512","","","","true","0.061949304555889984","true","3","48","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"2","A2","JG075A_002","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Amp","55.330618260536475","55.330618260536475","0.3769408782888849","","","","true","0.061949304555889984","true","3","47","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"3","A3","JG075A_003","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Amp","56.24623879868038","56.24623879868038","0.3478152417842669","","","","true","0.061949304555889984","true","3","46","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"4","A4","JG075A_004","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Amp","54.97579335378484","54.97579335378484","0.3535081885793072","","","","true","0.061949304555889984","true","3","46","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"5","A5","JG075A_005","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Amp","54.48511280789129","54.48511280789129","0.32079533116906517","","","","true","0.061949304555889984","true","3","45","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"6","A6","JG075A_006","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Amp","52.770202340056784","52.770202340056784","0.3162837734080879","","","","true","0.061949304555889984","true","3","44","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"7","A7","JG075A_007","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Amp","51.99153974097705","51.99153974097705","0.2805150781874337","","","","true","0.061949304555889984","true","3","43","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"8","A8","JG075A_008","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Inconclusive","61.33061185063812","61.33061185063812","0.36632491709193143","","","","true","0.061949304555889984","true","3","50","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"9","A9","JG075A_009","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Amp","60.40766280452088","60.40766280452088","0.36331405829586133","","","","true","0.061949304555889984","true","3","51","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"10","A10","JG075A_010","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Inconclusive","59.585645889397874","59.585645889397874","0.36388989081611023","","","","true","0.061949304555889984","true","3","50","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
"11","A11","JG075A_011","1.0E8","S075_WT","EVAGREEN","STANDARD","EVAGREEN","None","Amp","55.01416590312229","55.01416590312229","0.3542247440047451","","","","true","0.061949304555889984","true","3","46","","","","","65.298","0.07193484730819483","-2.4601","154.96792951897115","20.467666872413975","0.8169237451023769","false"
